e_v1,e_v2,e_v3,e_v4,e_v5,e_v6,e_v7,e_v8,e_v9,e_v10,e_v11,e_v12,e_v13,e_v14,e_v15,e_v16,e_v17,e_v18,e_v19,A,J,P,Q,D,B,O,F,H,M,E,R,I,C,N,G,L,v_v1,v_v2,v_v3,v_v4,v_v5,v_v6,v_v7,v_v8,v_v9,v_v10,v_v11,v_v12,v_v13,v_v14,v_v15,v_v16,v_v17,v_v18,v_v19
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.3273450858709872,1.9609482908760847,0.10193595205581267,0.2627663459993723,1.585893832460936,0.02078166867820918,2.1095976506473177,3.2630585808204997,3.6622397945876535,1.61351609275886,0.08866328245115122,0.5176001519711604,0.022409166138411672,3.5712020008745817,0.8133460030969264,0.8133460030969268,2.7578559977776544,2.757855997777655,1.5192334715539324,1.519233471553932,0.10142644567600928,1.1371960805477137,1.1371960805477133,1.137196080547714,1.1371960805477137,0.04851535132647611,0.05291109434953318,0.05291109434953318,0.05291109434953316,0.05291109434953323,0.07089700518042498,-0.017985910830891787
3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,4.038963727134637,8.861609055842942,0.11502928519668736,0.7132606011637672,3.053307544338442,0.026670292042313328,6.27880510553245,15.762454608882859,6.1138898117524665,5.951029113933337,0.10630778526123447,1.119499694547959,0.030547187519236834,4.2649572350194065,0.8556554429853572,0.8556554429853572,3.4093017920340496,3.409301792034049,1.661366338828133,1.6613663388281328,0.1742429061583569,1.573692547047559,1.5736925470475585,1.573692547047559,1.5736925470475587,0.08858463209405978,0.08565827406429705,0.08565827406429698,0.08565827406429696,0.08565827406429709,0.10283212907749624,-0.017173855013199207
1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.3059496740921321,1.918954893955084,0.10175989675987447,0.258892499610811,1.5710883430542755,0.020703723953795217,2.076583510619017,8.190472451307036,3.635736232808619,1.5832832820461846,0.08842815268205884,0.5119416257845529,0.022301419905070483,3.5925674700800116,0.8450463335026089,0.8450463335026092,2.7475211365774035,2.747521136577402,1.5161279178762441,1.516127917876244,0.10046660521685963,1.1309266134842995,1.1309266134843001,1.1309266134842995,1.1309266134842997,0.04800097013384041,0.05246563508301915,0.05246563508301911,0.052465635083019165,0.0524656350830191,0.0704624786355571,-0.01799684355253794
1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.8655401979959692,1.1169550193982891,0.09753612246367815,0.17719378819172033,1.2409575334219718,0.018843540077481548,1.3954710766128624,0.32317844241507704,3.0299108230430676,0.9830754943208355,0.08280408855814604,0.38857126870750386,0.019729697019464743,4.034506151455772,1.556909651006539,1.5569096510065392,2.477596500449234,2.4775965004492346,1.4252608549655155,1.4252608549655155,0.07778494164157145,0.9745507038421466,0.974550703842147,0.974550703842147,0.974550703842147,0.03604789044084924,0.04173705120072227,0.04173705120072224,0.041737051200722325,0.04173705120072221,0.059996292602340316,-0.01825924140161803
1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,2.326391733949997,1.367217432076074,0.10834598017578932,0.4364835085980181,2.1992165863812176,0.02364186808172303,3.6477739002407548,2.19699885546698,4.722584208322511,3.1100711810794563,0.09726258650187124,0.7601388697871574,0.026362356464980734,3.889291227225207,0.7894593844166601,0.7894593844166602,3.0998318428085465,3.099831842808548,1.6065135631892553,1.6065135631892564,0.13689281779162416,1.356425461827666,1.356425461827666,1.3564254618276663,1.3564254618276665,0.06785626447906509,0.0690365533125591,0.06903655331255912,0.06903655331255912,0.06903655331255912,0.086624660028277,-0.0175881067157179
1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.8738211863402834,1.5795837566883137,0.1058075600103554,0.35933836593093854,1.9373394391303775,0.022504014365979336,2.9515848550639188,2.577368230308278,4.2779153356940505,1.130425396853084,0.09384826411215202,0.6547427368502865,0.024789808789419557,3.7714321155541737,0.8000734459851035,0.8000734459851035,2.9713586695690695,2.97135866956907,1.5772017047229538,1.577201704722954,0.12275099327332656,1.2714059715727895,1.27140597157279,1.2714059715727895,1.2714059715727892,0.0600785935562482,0.06267239971707836,0.06267239971707834,0.06267239971707834,0.06267239971707833,0.08041798236636498,-0.01774558264928662
1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.2836014040311545,1.9316752516756892,0.10157359469628909,0.254837653449819,1.5555215892522953,0.020621278316223887,2.491460170340662,3.2103403501630816,3.6078145734572518,1.5740166497928791,0.0881793994773635,0.5060031668191741,0.02218745081153275,3.586078323260352,0.8125140213620098,0.8125140213620097,2.7735643018983427,2.7735643018983427,1.5498384532864622,1.5498384532864633,0.09945200319837603,1.1242738454135033,1.124273845413504,1.1242738454135035,1.124273845413503,0.04745790416793358,0.05199409903044248,0.0519940990304425,0.05199409903044246,0.05199409903044251,0.07000251200636859,-0.018008412975926123
1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.2937957374615371,1.0587686043563849,0.08904085764142584,0.06360865052219461,0.677388321796939,0.015159057137652069,0.32571511593411817,1.6479028478674982,1.900218523559507,0.5752583844181007,0.07159156872788158,0.19279173527635035,0.014633633245632138,4.069299756414727,0.7665004478219778,0.7665004478219778,3.30279930859275,3.3027993085927494,2.672140755879226,2.6721407558792265,0.034877891852656696,0.5957806608608662,0.5957806608608671,0.595780660860866,0.5957806608608665,0.014963267703631515,0.0199146241490252,0.019914624149025208,0.01991462414902519,0.019914624149025232,0.03870225984418458,-0.018787635695159392
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.3139961424464242,1.9520689935703552,0.10386566813637953,0.30804584305683774,1.576667517674843,0.02163815424093266,2.0890001793474755,3.2470665063156914,3.6457295946333317,1.601491383169288,0.0912442091320129,0.5140727415124255,0.023593060535781776,3.5757060186357763,0.8130962972089036,0.8130962972089035,2.762609721426873,2.7626097214268737,1.5173059413372751,1.5173059413372754,0.11200804933599176,1.133295730753606,1.1332957307536053,1.133295730753606,1.1332957307536062,0.05422336267763177,0.05778468665835964,0.05778468665835963,0.05778468665835969,0.057784686658359716,0.07565078935301321,-0.017866102694653566
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.9482129665114857,1.6881148598839024,0.0984316443132487,0.192843367312818,2.272983363981802,0.019236363646439495,1.5236211677317393,2.772225982022311,4.846031646435499,1.2610632248619495,0.08399377293981582,0.7902746261700222,0.020272833045192916,3.7130006384048735,0.8044645331533143,0.8044645331533143,2.9085361052515593,2.9085361052515575,1.44750747176081,1.4475074717608103,0.08253262603373246,1.3784960074570156,1.3784960074570154,1.3784960074570167,1.3784960074570158,0.03851423223680339,0.04401839379692905,0.04401839379692909,0.04401839379692907,0.044018393796929074,0.062221984298698005,-0.018203590501768976
