e_v2,e_v3,e_v13,e_v4,e_v5,e_v6,e_v7,e_v8,e_v9,e_v10,e_v11,e_v12,e_v14,e_v15,e_v16,e_v17,e_v18,e_v19,e_v21,e_v1,e_v20,e_v22,A,J,P,Q,D,B,O,F,H,M,E,R,I,C,N,G,L,v_v2,v_v3,v_v13,v_v4,v_v5,v_v6,v_v7,v_v8,v_v9,v_v10,v_v11,v_v12,v_v14,v_v15,v_v16,v_v17,v_v18,v_v19,v_v21
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.326786161737047,1.960577446141907,0.10213336533645448,0.26232507081847334,1.5855082550745845,0.019975451463358444,2.108735266951518,3.2623906492493986,3.661550210532003,1.6130131207470486,0.08446011378825283,0.5174526588279609,0.021752847738843017,3.5713899661702153,0.8133356197113889,0.8133356197113888,2.758054346458827,2.7580543464588265,1.519153426828202,1.5191534268282028,0.10186740498177889,1.1370335146488455,1.1370335146488457,1.1370335146488453,1.1370335146488457,0.04845697481481663,0.05341043016696233,0.05341043016696229,0.05341043016696236,0.0534104301669623,0.07138408241530876,-0.01797365224834643
1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.3500405533636202,2.006531558232537,0.10232467857738613,0.2665189696817544,1.6014971749307034,0.020051364290821053,2.144612512585584,3.345172551250122,3.6901168682880874,1.64598077555036,0.08467284527713666,0.5235745816916666,0.021862174236795828,3.5836758231774537,0.8145928476119215,0.8145928476120503,2.769082975565411,2.7690829755654125,1.5224360165457287,1.5224360165457258,0.10290371921206515,1.1437432398076748,1.1437432398076615,1.143743239807675,1.1437432398076657,0.04900954789435177,0.05389417131771056,0.05389417131770975,0.05389417131770972,0.053894171317709745,0.0718559442076128,-0.017961772889903086
1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.3264080365135207,1.959832742276748,0.10213023291844998,0.26225680029497667,1.585247366900319,0.019974208750461225,2.1081518423619725,3.298695281917232,3.661083606841105,1.6124779247976972,0.0844566309823079,0.5173528663761403,0.021751058037101745,3.571767462899015,0.8138942756032604,0.8138942756032616,2.7578731872957536,2.7578731872957536,1.5190992421766565,1.5190992421766571,0.10185044670248644,1.1369234984166103,1.1369234984166101,1.1369234984166108,1.1369234984166103,0.04844793829980339,0.05340250840268306,0.05340250840268309,0.053402508402683006,0.05340250840268298,0.07137635515821007,-0.01797384675552705
1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.3218751435987024,1.9509116974170748,0.10209262773002156,0.2614381954049485,1.5821176184852253,0.019959290348632808,2.101157740811334,3.2077208276315576,3.655484763145907,1.6060642789112418,0.08441482007973491,0.5161559505131093,0.02172957319973338,3.576293592267146,0.8205967330546243,0.8205967330580749,2.7556968592092708,2.7556968592094218,1.5184476361753527,1.5184476361758177,0.1016468839934151,1.1356023390407937,1.1356023390407675,1.135602339040774,1.1356023390405872,0.04833948106587324,0.05330740292750552,0.053307402927498374,0.05330740292749834,0.05330740292749837,0.07128358478239206,-0.017976181854893795
1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.335343207239852,1.952948865141213,0.10220406678611885,0.26386939206101984,1.591404442669705,0.02000350253317304,2.121937870464735,3.248651153600802,3.672091476188467,1.625132177190125,0.0845387263602177,0.5197088510836431,0.0217932456993116,3.5752593796716483,0.8131211433129133,0.8131211433129132,2.7621382363587346,2.762138236358736,1.520372652962964,1.5203726529629644,0.10225025050875802,1.1395153328870122,1.1395153328870122,1.139515332887013,1.1395153328870125,0.04866103070325681,0.05358921980550123,0.053589219805501215,0.053589219805501284,0.05358921980550128,0.07155848188503923,-0.017969262079538022
1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.3332228940240967,1.9548326517366523,0.10218658105447165,0.26348684788782945,1.5899448338514137,0.01999656465687229,2.1186665266543834,3.252043885104235,3.669482717403983,1.6052299795290157,0.08451928361107468,0.5191501782639212,0.021783254061661296,3.5743033753015125,0.8131742625229232,0.8131742625228485,2.7611291127786455,2.7611291127786357,1.5200717871867493,1.5200717871867293,0.10215555135663365,1.1389017742352412,1.1389017742352407,1.1389017742352316,1.1389017742352339,0.048610547355360065,0.053545004001273835,0.05354500400127499,0.05354500400127504,0.05354500400127501,0.07151535184254094,-0.01797034784126584
1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.3260657416486805,1.9600993292902829,0.10212739672063204,0.26219499683144326,1.5850111748295583,0.01997308356221714,2.114107295277992,3.2615295116544325,3.660661159066835,1.6123647545866657,0.08445347753961861,0.5172625231578136,0.021749437589365036,3.5716323218004944,0.8133222269410734,0.8133222269410915,2.758310094859403,2.7583100948594117,1.5196511208917753,1.519651120891789,0.10183509236659591,1.1368238816010219,1.136823881601037,1.1368238816010257,1.1368238816010263,0.04843975663638858,0.05339533573020779,0.05339533573020765,0.05339533573020761,0.05339533573020768,0.07136935859925185,-0.017974022869044207
1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.3094531465072763,1.9490364570859606,0.10198905631333566,0.2591930668356351,1.5735191945990976,0.019918207831463162,2.0755453448966,3.241604992683118,3.6400912431478516,1.5973932785182459,0.08429967253443753,0.5128699768300345,0.021670407974327777,3.577245937736745,0.8130104902345477,0.8130104902340234,2.7642354475026933,2.764235447502629,1.5311891561831479,1.531189156183028,0.10108646794842008,1.131959823371025,1.1319598233710124,1.1319598233709907,1.1319598233710293,0.048041035013559025,0.053045432934866986,0.05304543293487096,0.053045432934870906,0.05304543293487089,0.07102804615686831,-0.017982613221997363
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.3266003347099633,1.960454132373905,0.10216045063790977,0.26291592219094284,1.5853800470238135,0.019986197221279235,2.1084485471608363,3.262168548187938,3.661320909845925,1.6128458865090325,0.08449022921478822,0.5174036175158366,0.021768323320144455,3.5714524714389992,0.8133321661376902,0.8133321661376904,2.758120305301309,2.7581203053013086,1.5191268014376933,1.5191268014376926,0.10201405223837287,1.1369794516252425,1.1369794516252432,1.1369794516252425,1.1369794516252427,0.04853512620781473,0.05347892603055818,0.05347892603055822,0.05347892603055821,0.05347892603055815,0.07145089642463387,-0.01797197039407569
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.3220908547692372,1.9574589068598587,0.10209441956269509,0.2614771591443993,1.5915765926417778,0.019960001165004702,2.1014905808993065,3.2567738941057214,3.6723991275679464,1.608786103290247,0.084416812277162,0.5197747488551062,0.021730596886566526,3.572971121406046,0.8132481460087625,0.8132481460092906,2.759722975396801,2.759722975396766,1.5184787308332979,1.5184787308332213,0.10165658244626569,1.1395876621175478,1.1395876621175942,1.1395876621175507,1.1395876621175243,0.04834464773821056,0.05331193470803889,0.053311934708034886,0.05331193470803488,0.05331193470803492,0.07128800529845544,-0.017976070590420525
