e_v1,e_v2,e_v3,e_v4,e_v5,e_v6,e_v7,e_v8,e_v9,e_v10,e_v11,e_v12,e_v13,e_v14,e_v15,e_v16,e_v17,e_v18,e_v19,A,J,P,Q,D,B,O,F,H,M,E,R,I,C,N,G,L,v_v1,v_v2,v_v3,v_v4,v_v5,v_v6,v_v7,v_v8,v_v9,v_v10,v_v11,v_v12,v_v13,v_v14,v_v15,v_v16,v_v17,v_v18,v_v19
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.7031845545428707,2.8238978649718387,0.09571445836710796,0.1458234953278161,1.1027973646311313,0.01744420352289328,1.1431679951507938,4.82076886593012,2.7663243750566213,2.973402332792589,0.07734343301161636,0.3386790212995642,0.018107508803329436,3.1656298888532004,0.8300707151527563,0.8300707151527564,2.335559173700444,2.335559173700444,1.370010187075738,1.370010187075738,0.06790180383443392,0.8976471827902726,0.8976471827902727,0.8976471827902722,0.8976471827902724,0.030816589497594492,0.03708521433683943,0.03708521433683941,0.03708521433683943,0.037085214336839464,0.05545768944463628,-0.018372475107796823
0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.03336032834997806,0.037034505107300046,0.0823755324123866,0.007546538078410806,0.2270658212717367,0.01228216053697405,0.06284764564393476,0.03359990925414099,0.8165414106917629,0.07716211853904258,0.06268539588653704,0.054999602470473745,0.010672673996173289,0.4752926864495872,0.11630388333437996,0.11630388333437995,0.35898880311520726,0.3589888031152072,0.2923890466571127,0.2923890466571128,0.0044842854920014346,0.06211547096609301,0.06211547096609299,0.06211547096609296,0.06211547096609303,0.0019236660082490521,0.0025606194837523824,0.002560619483752378,0.002560619483752402,0.0025606194837523855,0.021763423897643835,-0.019202804413891456
1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.8847987697857961,3.808495960670751,0.09789829169964662,0.18065791135824516,1.2566254868417222,0.018301944297821466,1.4253400566855001,0.10159953504636265,3.059383673409719,3.7644829481406927,0.07976010703605448,0.39429786289484803,0.019342767415268282,2.7694090396115736,0.2766200169557355,0.2766200169557355,2.4927890226558382,2.492789022655838,1.4307393802709827,1.4307393802709825,0.07926182624329493,0.9827878161415611,0.9827878161415612,0.9827878161415612,0.9827878161415609,0.03660171451657695,0.04266011172671796,0.04266011172671796,0.04266011172671795,0.042660111726717936,0.06089684551584254,-0.018236733789124587
1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.9540686093097275,4.196569866428874,0.09865094423960567,0.19372820071310254,1.3118866671898615,0.018598384130115997,1.5326913254010728,29.843951011923668,3.162707383018809,4.064736133438248,0.08059409812343231,0.4146028047836021,0.019769678700193836,2.629432051219595,0.0861173432805533,0.08611734328055323,2.5433147079390417,2.5433147079390412,1.4489649079244504,1.4489649079244509,0.08322750035379185,1.0111222996607985,1.011122299660798,1.0111222996607987,1.0111222996607983,0.0386509889051737,0.04457651144861819,0.044576511448618183,0.04457651144861822,0.044576511448618183,0.06276647531042627,-0.01818996386180806
1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.08303821626401847,7.6258138817987575,0.08392656855835663,0.018518894770128903,0.34723000411327193,0.012875586017824047,0.1509980195105747,13.521333931440248,1.1336500567610472,0.2625975391633466,0.06438064413721546,0.08966502177262485,0.0115275089870425,1.6757783790849177,0.853733829771613,0.8537338297716129,0.8220445493133044,0.8220445493133045,0.5687468331176188,0.5687468331176189,0.01126199207798032,0.24203572411770508,0.2420357241177054,0.24203572411770527,0.24203572411770516,0.00464459650263056,0.006617395575349741,0.00661739557534974,0.006617395575349779,0.006617395575349781,0.025723542586807802,-0.019106147011458078
1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.06922894906365626,8.122526694587792,0.08351249156435332,0.015483801845248809,0.3173508761708779,0.012716984886233297,0.1269464552341288,14.422091023136275,1.0573947780976267,24.822176490640622,0.06392782934859735,0.08088182427095446,0.011299047263453838,1.5692376970060748,0.8545768854640426,0.8545768854640428,0.7146608115420329,0.714660811542033,0.5043545067425989,0.5043545067425989,0.009436224840740273,0.2008700799586938,0.2008700799586941,0.2008700799586947,0.2008700799586937,0.0039007574702390932,0.005535467370501174,0.005535467370501179,0.005535467370501168,0.0055354673705010305,0.024667416040246602,-0.019131948669745418
1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.686620869762709,3.572047910081394,0.10483546309372407,0.32626661372580096,1.8220712089144604,0.02105015916369907,0.19659475583823222,6.174332942382574,4.07862496761068,4.493257101827574,0.08746803857627244,0.6091882829055647,0.023300620100852872,2.8589172102547016,0.837983801313242,0.8379838013132419,2.02093340894146,2.02093340894146,0.6741040318233023,0.6741040318233024,0.11660059150701312,1.2302287856111447,1.2302287856111447,1.230228785611145,1.2302287856111447,0.05637286546347351,0.060227726043539626,0.06022772604353964,0.06022772604353956,0.060227726043539674,0.07803363462873267,-0.017805908585193063
1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,3.0585515910637824,4.197997269579491,0.11195022884781933,0.556304645011695,2.585506446896002,0.023905835381548765,6.336220594437906,7.307841516649752,5.3614664642865995,6.047621895273766,0.0954220322267465,0.9199494344096989,0.027413689959181236,2.628932336680995,0.8424202224422136,0.8424202224422137,1.786512114238782,1.7865121142387812,0.16620793012566887,0.1662079301256685,0.15600957503544233,1.4642946090776707,1.4642946090776712,1.4642946090776714,1.4642946090776712,0.0779850375829034,0.0780245374525387,0.07802453745253866,0.07802453745253884,0.07802453745253864,0.09538917694705032,-0.017364639494511627
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.7314477468604723,2.853694086047541,0.08784469237010202,0.05141340199069011,1.127704615572069,0.014382645070139071,1.187163315483379,4.874638923383942,2.8143595802676082,3.0275221232783074,0.06867386416426993,0.34759114358583315,0.013698248858987192,3.1526770034475504,0.8304660347620634,0.8304660347620634,2.3222109686854884,2.3222109686854875,1.380983199501921,1.3809831995019213,0.029116348635669972,0.9121114205478965,0.9121114205478956,0.9121114205478964,0.9121114205478962,0.012300919505175064,0.016815429130494903,0.016815429130494917,0.016815429130494972,0.016815429130494827,0.035677532870227326,-0.01886210373973241
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,2.9712335280580735,3.174646062673898,0.11159538057729887,0.5421522125147576,0.4723595442807054,0.023762519471498423,4.638868702298752,5.455126814734618,1.4384679924260382,3.643288033888797,0.0950241668717868,0.12751060572142695,0.02720725214550947,3.017159558455365,0.8342494707439257,0.8342494707439256,2.1829100877114396,2.182910087711439,1.6340206671196082,1.634020667119609,0.15403574415103233,0.3948536764407984,0.39485367644079855,0.39485367644079855,0.3948536764407985,0.07689359393497555,0.07714215021605678,0.0771421502160568,0.07714215021605675,0.07714215021605689,0.09452878393711492,-0.017386633721058153
