e_v1,e_v2,e_v3,e_v4,e_v5,e_v6,e_v7,e_v8,e_v9,e_v10,e_v11,e_v12,e_v13,e_v14,e_v15,e_v16,e_v17,e_v18,e_v19,A,J,P,Q,D,B,O,F,H,M,E,R,I,C,N,G,L,v_v1,v_v2,v_v3,v_v4,v_v5,v_v6,v_v7,v_v8,v_v9,v_v10,v_v11,v_v12,v_v13,v_v14,v_v15,v_v16,v_v17,v_v18,v_v19
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3.32,0.53,2.26,0.703184555,2.823897865,0.095714458,0.145823495,1.102797365,0.017444204,1.143167995,4.820768866,2.766324375,2.973402333,0.077343433,0.338679021,0.018107509,3.165629889,0.830070715,0.830070715,2.335559174,2.335559174,1.370010187,1.370010187,0.067901804,0.897647183,0.897647183,0.897647183,0.897647183,0.030816589,0.037085214,0.037085214,0.037085214,0.037085214,0.055457689,-0.018372475
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3.32,0.53,2.26,1.852846624,9.668019098,0.10592568,0.355184099,1.92465134,0.021485307,2.919301242,17.22501157,4.256093075,7.909098163,0.088683665,0.649702296,0.023927328,3.821769846,0.856643202,0.856643202,2.965126644,2.965126644,1.575536026,1.575536026,0.122595494,1.266995124,1.266995124,1.266995124,1.266995124,0.059626324,0.06296917,0.06296917,0.06296917,0.06296917,0.080707424,-0.017738253
1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3.32,0.53,2.26,0.696520531,2.788787484,0.095627672,0.144528481,1.09686615,0.01741019,1.132789242,12.00673488,2.754850141,2.944261139,0.07724749,0.336562257,0.018058524,3.180976652,0.852036147,0.852036147,2.328940504,2.328940504,1.367324169,1.367324169,0.067455118,0.894161218,0.894161218,0.894161218,0.894161218,0.030591898,0.03686322,0.03686322,0.03686322,0.03686322,0.055241091,-0.018377871
1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3.32,0.53,2.26,0.453165024,1.569733465,0.09203753,0.09630006,0.861284044,0.016008038,0.751839813,0.448762336,2.286633736,1.874396048,0.073285142,0.254297481,0.016039204,3.776794516,1.754104461,1.754104461,2.022690055,2.022690055,1.232468857,1.232468857,0.049328185,0.740893013,0.740893013,0.740893013,0.740893013,0.021678236,0.027649948,0.027649948,0.027649948,0.027649948,0.046251098,-0.01860115
1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3.32,0.53,2.26,1.229912717,2.052101934,0.101307208,0.24475266,1.517683133,0.019647945,1.959212304,3.427289019,3.539702987,5.253561007,0.083541876,0.491616043,0.021281189,3.525381246,0.815783539,0.815783539,2.709597707,2.709597707,1.504356064,1.504356064,0.097405778,1.107835866,1.107835866,1.107835866,1.107835866,0.046086181,0.051319597,0.051319597,0.051319597,0.051319597,0.069344553,-0.018024956
1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3.32,0.53,2.26,1.264553503,2.018235417,0.101608217,0.251055508,1.54216958,0.019767213,2.012692647,3.366260172,3.583819606,1.692011541,0.083876357,0.500918658,0.021452953,3.542316967,0.814903827,0.814903827,2.72741314,2.72741314,1.509867342,1.509867342,0.099028759,1.118517039,1.118517039,1.118517039,1.118517039,0.046947018,0.052081741,0.052081741,0.052081741,0.052081741,0.070088004,-0.018006263
1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3.32,0.53,2.26,0.668711699,2.786385415,0.09525977,0.139110684,1.071863945,0.017266062,1.305890984,4.75295395,2.706328333,2.905984417,0.076840859,0.327662843,0.017850961,3.182029927,0.829560878,0.829560878,2.352469049,2.352469049,1.407617127,1.407617127,0.06556579,0.879286132,0.879286132,0.879286132,0.879286132,0.029644014,0.035921776,0.035921776,0.035921776,0.035921776,0.05432252,-0.018400744
1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,10,3.32,0.53,2.26,0.193456382,2.020600424,0.086860822,0.042402917,0.5396483,0.014003135,0.232716598,3.370521566,1.594419105,1.695286297,0.067594353,0.14851586,0.013151633,3.541130923,0.814966225,0.814966225,2.726164698,2.726164698,2.235140765,2.235140765,0.024536028,0.466487905,0.466487905,0.466487905,0.466487905,0.010274704,0.014261324,0.014261324,0.014261324,0.014261324,0.033184692,-0.018923368
1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,10,3.32,0.53,2.26,0.698308299,2.818671788,0.097038037,0.166405195,1.098459566,0.01796364,1.135573773,4.811320793,2.757934043,2.963962142,0.078807569,0.337130715,0.018855566,3.167908454,0.830000508,0.830000508,2.337907946,2.337907946,1.368048585,1.368048585,0.074760049,0.895099312,0.895099312,0.895099312,0.895099312,0.034293433,0.040466616,0.040466616,0.040466616,0.040466616,0.058756814,-0.018290198
1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,10,3.32,0.53,2.26,0.436137361,2.911734766,0.091749533,0.092850634,1.348461871,0.015895974,0.72498849,4.979584534,3.230576626,3.134403156,0.072967842,0.428131826,0.015877811,3.127631191,0.83121263,0.83121263,2.296418561,2.296418561,1.219225534,1.219225534,0.047905447,1.02928758,1.02928758,1.02928758,1.02928758,0.020997119,0.026908327,0.026908327,0.026908327,0.026908327,0.045527395,-0.018619068
1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,10,3.32,0.53,2.26,0.636799268,2.836322451,0.094825692,0.132865525,1.150763051,0.01709614,1.039677084,4.843231409,2.858619284,2.995907987,0.076361257,0.296110713,0.017606249,3.160220828,0.830236577,0.830236577,2.329984251,2.329984251,1.341381753,1.341381753,0.063345568,0.92525693,0.92525693,0.92525693,0.92525693,0.028535366,0.034810202,0.034810202,0.034810202,0.034810202,0.053237937,-0.018427734
