e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,e_vATP,CO2,GLCo,ETOH,GLY,F26BP,P,G6P,TRIO,NAD,ACE,P2G,BPG,GLCi,F6P,PEP,PYR,F16P,P3G,NADH,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH,v_vATP
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.308881638,1.033245614,0.777523537,1.545559767,0.170114452,0.044843711,0.000329574,0.098758692,0.112812815,0.073616842,8.523152464,0.60190764,0.356484038,0.044440233,88.14952688,77.34952688,6,2.4,77.34952688,77.34952688,136.4968074,136.4968074,136.4968074,136.4968074,136.4968074,136.4968074,3.640449265,88.14952688,129.2159089,18.20224632,84.53276406
0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.299261145,1.025716189,0.775225856,1.545545577,0.169953309,0.044579733,0.000326228,0.100932692,0.111729709,0.073055517,8.483448739,0.598432669,0.354544642,0.044454423,88.00954741,77.20954741,6,2.4,77.20954741,77.20954741,136.2340908,136.2340908,136.2340908,136.2340908,136.2340908,136.2340908,3.637000804,88.00954741,128.9600892,18.18500402,84.30108357
1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.308747865,1.041980868,0.777491482,1.545559569,0.170112208,0.044840019,0.000329527,0.098788901,0.112797653,0.073608982,8.522597288,0.601859093,0.356456919,0.044440431,88.14757883,77.34757883,6,2.4,77.34757883,77.34757883,136.4931514,136.4931514,136.4931514,136.4931514,136.4931514,136.4931514,3.64040125,88.14757883,129.2123489,18.20200625,84.52954015
1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.319125846,1.039286231,0.779026716,1.545570637,0.170215853,0.045031686,0.000332524,0.098468276,0.113749073,0.074071205,8.545478169,0.604135047,0.35782802,0.044429363,88.16825897,77.42825897,5.94,2.4,77.42825897,77.42825897,136.6434216,136.6434216,136.6434216,136.6434216,136.6434216,136.6434216,3.642619261,88.16825897,129.3581831,18.2130963,84.7798483
1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.315969818,1.037607843,0.778650429,1.545567674,0.17019105,0.044982385,0.000331671,0.098558143,0.113480661,0.073944488,8.540451523,0.603584841,0.357480629,0.044432326,88.16246165,77.41046165,6,2.376,77.41046165,77.41046165,136.6104809,136.6104809,136.6104809,136.6104809,136.6104809,136.6104809,3.64208848,88.16246165,129.3263039,18.2104424,84.70368457
1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.308779621,1.039907199,0.777499091,1.545559616,0.170112741,0.044840895,0.000329538,0.09878173,0.114027125,0.073610848,8.522729071,0.601870617,0.356463356,0.044440384,88.14804127,77.34804127,6,2.4,77.34804127,77.34804127,136.4940193,136.4940193,136.4940193,136.4940193,136.4940193,136.4940193,3.640412648,88.14804127,129.213194,18.20206324,84.53030547
1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.308860117,1.034650863,0.77751838,1.545559735,0.170114091,0.044843117,0.000329566,0.098763552,0.113068969,0.073615578,8.523063146,0.605114871,0.356479675,0.044440265,88.14921349,77.34921349,6,2.4,77.34921349,77.34921349,136.4962193,136.4962193,136.4962193,136.4962193,136.4962193,136.4962193,3.64044154,88.14921349,129.2153362,18.2022077,84.53224542
1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.303044902,1.035288621,0.785141887,1.545667446,0.17050517,0.044750495,0.000328002,0.098941251,0.113208467,0.073380978,8.513240384,0.611543756,0.355824607,0.044332554,88.13775564,77.33775564,6,2.4,77.33775564,77.33775564,136.4314581,136.4314581,136.4314581,136.4314581,136.4314581,136.4314581,3.648810637,88.13775564,129.1338368,18.24405319,84.39216236
1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.308714507,1.033303367,0.7777404,1.54556286,0.170125649,0.044841034,0.000330698,0.09876391,0.112824006,0.073610065,8.522868318,0.602180683,0.356465106,0.04443714,88.14919038,77.34919038,6,2.4,77.34919038,77.34919038,136.4949363,136.4949363,136.4949363,136.4949363,136.4949363,136.4949363,3.640688894,88.14919038,129.2135585,18.20344447,84.52873625
1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.308745102,1.033292792,0.777700696,1.545562294,0.170123599,0.044841524,0.000330492,0.098762955,0.112821957,0.073611306,8.522920332,0.602130688,0.357755598,0.044437706,88.14925199,77.34925199,6,2.4,77.34925199,77.34925199,136.4952788,136.4952788,136.4952788,136.4952788,136.4952788,136.4952788,3.640645029,88.14925199,129.2139888,18.20322515,84.52947356
