e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,e_vATP,CO2,GLCo,ETOH,GLY,F26BP,P,G6P,TRIO,NAD,ACE,P2G,BPG,GLCi,F6P,PEP,PYR,F16P,P3G,NADH,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH,v_vATP
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.308881638,1.033245614,0.777523537,1.545559767,0.170114452,0.044843711,0.000329574,0.098758692,0.112812815,0.073616842,8.523152464,0.60190764,0.356484038,0.044440233,88.14952688,77.34952688,6,2.4,77.34952688,77.34952688,136.4968074,136.4968074,136.4968074,136.4968074,136.4968074,136.4968074,3.640449265,88.14952688,129.2159089,18.20224632,84.53276406
0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,8.139332474,7.076275244,36968.19844,1.582830625,0.760792998,25912297.31,-365672582,0.263471408,1.307667057,95260076.79,1.987429752,85114507.9,170350990.6,0.007169375,78.64187987,67.84187987,6,2.4,67.84187987,-17.2743501,-41.83772388,323.8351543,153.4839586,127.5716305,32.31144574,32.31144574,16.28097016,78.64187987,-0.250494583,7.255681185,136.1389597
1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.290428548,2.238675662,0.773129733,1.545532576,0.169805738,0.044340136,0.000323202,0.102931308,0.110748107,0.072547155,8.447389033,0.59527111,0.352783298,0.044467424,87.88124144,77.08124144,6,2.4,77.08124144,77.08124144,135.9932689,135.9932689,135.9932689,135.9932689,135.9932689,135.9932689,3.6338428,87.88124144,128.7255833,18.169214,84.08868369
1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.786923266,1.419683058,0.863508436,1.546176156,0.175411805,0.056726793,0.000535379,0.086814387,0.173575239,0.104004761,9.746892732,0.734256777,0.440066539,0.043823844,88.92638865,81.12638865,3,2.4,81.12638865,81.12638865,143.4837142,143.4837142,143.4837142,143.4837142,143.4837142,143.4837142,3.753812629,88.92638865,135.9760889,18.76906315,96.49940049
1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.646649549,1.291647456,0.838797181,1.54598332,0.174028896,0.052954728,0.000460826,0.090027266,0.152796204,0.093551586,9.45806968,0.695808283,0.414121353,0.04401668,88.71611555,80.31611555,6,1.2,80.31611555,80.31611555,142.0111392,142.0111392,142.0111392,142.0111392,142.0111392,142.0111392,3.724218379,88.71611555,134.5627024,18.62109189,92.89317379
1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.281012866,2.854103673,0.770909094,1.545518744,0.169648814,0.044087577,0.000320023,0.105064691,0.445669651,0.07201245,8.409354645,0.591930694,0.350925542,0.044481256,87.74468473,76.94468473,6,2.4,76.94468473,76.94468473,135.7369463,135.7369463,135.7369463,135.7369463,135.7369463,135.7369463,3.630484622,87.74468473,128.4759771,18.15242311,83.86258475
1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.306094508,1.21525248,0.776856301,1.545555653,0.170067723,0.044766908,0.000328599,0.099388206,0.145999129,0.073453395,8.511603648,1.064597748,0.355919909,0.044444347,88.1089492,77.3089492,6,2.4,77.3089492,77.3089492,136.420652,136.420652,136.420652,136.420652,136.420652,136.420652,3.63944927,88.1089492,129.1417535,18.19724635,84.46560862
1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,5.909685037,1.327907199,1.646826042,1.551598322,0.19514553,0.039449735,0.00024469,0.113080664,0.168617322,0.060536518,7.890643112,2.288340453,0.317871362,0.038401678,87.23525438,76.43525438,6,2.4,76.43525438,76.43525438,131.989937,131.989937,131.989937,131.989937,131.989937,131.989937,4.176114351,87.23525438,123.6377083,20.88057176,75.20490784
1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.292466519,1.039129579,0.799187995,1.545860864,0.171211516,0.044582911,0.000442316,0.09927385,0.113951057,0.072957715,8.495334227,0.629548617,0.354638462,0.044139136,88.11631777,77.31631777,6,2.4,77.31631777,77.31631777,136.3130033,136.3130033,136.3130033,136.3130033,136.3130033,136.3130033,3.663926443,88.11631777,128.9851504,18.31963221,84.13766534
1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.294953086,1.038210557,0.795858251,1.545815599,0.171045689,0.044622147,0.000424932,0.099195467,0.11377352,0.073056724,8.499536552,0.625252446,0.489509524,0.044184401,88.12136909,77.32136909,6,2.4,77.32136909,77.32136909,136.3408495,136.3408495,136.3408495,136.3408495,136.3408495,136.3408495,3.660377735,88.12136909,129.020094,18.30188867,84.19744988
1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.23291648,1.064241431,0.884463456,1.546909396,0.175144539,0.171867215,0.000893739,0.101189204,0.118776027,0.070671546,8.395893309,0.745496822,1.170307779,0.043090604,87.99305959,77.19305959,6,2.4,77.19305959,77.19305959,135.6456535,135.6456535,135.6456535,135.6456535,135.6456535,135.6456535,3.748093138,87.99305959,128.1494672,18.74046569,82.71281526
