e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,GLCo,ETOH,GLY,G6P,TRIO,ACE,P3G,PEP,GLCi,F6P,BPG,PYR,F16P,P2G,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.240981824,0.693960413,0.146704067,0.655901142,0.710718556,40.92814553,0.369112823,0.698693477,0.424314824,0.575383123,0.615137418,2.261813467,1.044855255,0.108441821,0.554258196,1.044855255,1.044855255,1.701092678,1.701092678,1.701092678,1.701092678,1.701092678,1.701092678,0.249396914,2.261813467,1.20229885,0.388617831
0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.154967522,0.449837795,0.123711069,0.441949847,0.511352644,60.0972178,0.229114052,0.460303414,0.329406889,0.357388925,0.42575592,1.6444683,0.861882313,0.069735385,0.356425301,0.861882313,0.861882313,1.471855461,1.471855461,1.471855461,1.471855461,1.471855461,1.471855461,0.210308818,1.644468283,1.051237825,0.251909165
1,0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.27227538,0.342409831,0.109036902,0.341527628,0.408648445,44.42336722,0.173157307,0.352420142,0.275647145,0.26801985,0.332917319,2.130662117,0.755671448,0.122523921,0.626233374,0.755671448,0.755671448,1.31959339,1.31959339,1.31959339,1.31959339,1.31959339,1.31959339,0.185362733,2.130662117,0.948867923,0.191749506
1,1,0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.246990036,0.709716004,0.147872469,0.669101707,0.722309906,41.60703742,0.378870628,0.713773702,0.429517493,0.590220129,0.62649151,2.235560464,1.054948091,0.044458207,0.568077083,1.054948091,1.054948091,1.71245522,1.71245522,1.71245522,1.71245522,1.71245522,1.71245522,0.251383197,2.235560464,1.209688825,0.397440962
1,1,1,0.4,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.328702397,0.90835005,0.160529299,0.830155837,0.85837533,50.50808719,0.510447153,0.901054026,0.488443189,0.785761039,0.762360696,1.923999276,1.171270787,0.147916079,0.302406205,1.171270787,1.171270787,1.833865547,1.833865547,1.833865547,1.833865547,1.833865547,1.833865547,0.272899809,1.923999276,1.28806593,0.508676028
1,1,1,1,0.4,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.262964705,0.426104819,0.120797606,0.420115798,0.489594077,43.39364003,0.50531748,0.436628786,0.318335351,0.33732597,0.405803795,2.16828603,0.840314268,0.118334117,0.604818822,0.840314268,0.840314268,1.442009836,1.442009836,1.442009836,1.442009836,1.442009836,1.442009836,0.205355931,2.16828603,1.031297974,0.238618699
1,1,1,1,1,0.4,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.262296381,0.432735331,0.121627973,0.42623558,0.495723009,43.31940814,0.500880351,0.443252136,0.321470205,0.994957718,0.411408812,2.171030211,0.846433487,0.118033371,0.603281676,0.846433487,0.846433487,1.450535189,1.450535189,1.450535189,1.450535189,1.450535189,1.450535189,0.206767554,2.171030211,1.03700008,0.242331785
1,1,1,1,1,1,0.4,1,1,1,1,1,1,1,1,1,50,50,0.15,0.250950849,1.087795609,0.10655218,0.326689123,0.392867362,42.05245899,0.428464466,0.336693945,0.267024141,0.756790631,0.318960932,2.218545089,0.951243299,0.112927882,0.577186954,0.951243299,0.951243299,1.293321057,1.293321057,1.293321057,1.293321057,1.293321057,1.293321057,0.181138706,2.218545089,0.931043646,0.609165541
1,1,1,1,1,1,1,0.4,1,1,1,1,1,1,1,1,50,50,0.15,0.249130578,1.00906723,0.113974841,0.372768238,0.44134131,41.84796271,0.417338972,1.433131581,0.293187645,0.721836782,0.362096485,2.226336591,0.968227172,0.11210876,0.57300033,0.968227172,0.968227172,1.371376694,1.371376694,1.371376694,1.371376694,1.371376694,1.371376694,0.19375723,2.226336591,0.983862234,0.565077649
1,1,1,1,1,1,1,1,0.4,1,1,1,1,1,1,1,50,50,0.15,0.247315872,0.933749475,0.121333553,1.639959487,0.493543346,41.64374291,0.406377836,1.238984693,0.320356817,0.687826866,0.40941411,2.234152073,0.985206918,0.111292143,0.568826506,0.985206918,0.985206918,1.44751413,1.44751413,1.44751413,1.44751413,1.44751413,1.44751413,0.20626704,2.234152073,1.034980049,0.522899706
1,1,1,1,1,1,1,1,1,0.4,1,1,1,1,1,1,50,50,0.15,0.245115465,0.846494443,0.130201809,1.235033837,0.562474121,41.39564472,0.39325892,1.029180032,0.354815366,0.647680485,1.561146399,2.243693512,1.005860415,0.110301959,0.563765569,1.005860415,1.005860415,1.537683943,1.537683943,1.537683943,1.537683943,1.537683943,1.537683943,0.221343076,2.243693512,1.094997791,0.474036888
1,1,1,1,1,1,1,1,1,1,0.4,1,1,1,1,1,50,50,0.15,0.2470101,0.921361486,0.122569455,1.578855154,3.565496155,41.6092979,0.404543597,1.208230015,0.325044409,0.682177124,2.174737899,2.235473697,0.988072694,0.111154545,0.568123229,0.988072694,0.988072694,1.460182956,1.460182956,1.460182956,1.460182956,1.460182956,1.460182956,0.208368073,2.235473697,1.043446809,0.515962432
1,1,1,1,1,1,1,1,1,1,1,0.4,1,1,1,1,50,50,0.15,0.245611214,0.865773277,0.128208963,1.319522299,2.666452338,41.45158656,0.396198302,1.07418592,2.796693008,0.656622599,1.708621605,2.241537587,1.001200957,0.110525046,0.564905792,1.001200957,1.001200957,1.517568878,1.517568878,1.517568878,1.517568878,1.517568878,1.517568878,0.217955237,2.241537587,1.081658404,0.484833035
1,1,1,1,1,1,1,1,1,1,1,1,0.4,1,1,1,50,50,0.15,0.241094662,0.697935598,0.18696582,0.66912819,0.744485472,40.94093209,0.369763442,0.706749849,0.46125765,0.577304055,0.63535952,2.261315404,1.043787363,0.108492598,0.554517722,1.043787363,1.043787363,1.69673079,1.69673079,1.69673079,1.69673079,1.69673079,1.69673079,0.127136757,2.261315404,1.442457276,0.390843935
1,1,1,1,1,1,1,1,1,1,1,1,1,0.4,1,1,50,50,0.15,0.125723144,0.359822873,0.111701022,0.358083989,0.426062536,17.01135687,0.182043139,0.370031191,0.285043119,0.282260535,0.348415458,1.409453147,0.774551271,0.056575415,0.289163231,0.774551271,0.774551271,1.347601733,1.347601733,1.347601733,1.347601733,1.347601733,1.347601733,0.189891738,1.409453147,0.967818257,0.201500809
