e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,GLCo,ETOH,GLY,G6P,TRIO,ACE,P3G,PEP,GLCi,F6P,BPG,PYR,F16P,P2G,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.240981824,0.693960413,0.146704067,0.655901142,0.710718556,40.92814553,0.369112823,0.698693477,0.424314824,0.575383123,0.615137418,2.261813467,1.044855255,0.108441821,0.554258196,1.044855255,1.044855255,1.701092678,1.701092678,1.701092678,1.701092678,1.701092678,1.701092678,0.249396914,2.261813467,1.20229885,0.388617831
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.301774657,0.845956036,0.15691557,0.78058067,0.817481468,31.72271843,0.467348244,0.842770517,0.471127568,0.722616206,0.721036854,2.660584206,1.136622188,0.135798596,0.694081711,1.136622188,1.136622188,1.799508996,1.799508996,1.799508996,1.799508996,1.799508996,1.799508996,0.266756469,2.660584206,1.265996057,0.47373538
1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.212097042,1.215916064,0.175015839,1.063088489,1.04069522,37.60503365,0.749096927,1.181984429,0.562073237,1.121246103,0.951356707,2.396156582,1.325066519,0.095443669,0.487823197,1.325066519,1.325066519,1.969220043,1.969220043,1.969220043,1.969220043,1.969220043,1.969220043,0.297526926,2.396156582,1.374166192,0.680912996
1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.18010248,0.524695191,0.131952601,0.509556715,0.576917455,33.78906657,0.269956392,0.534384117,0.36184903,0.421932757,0.486759769,2.563490406,0.92455784,0.810461159,0.414235703,0.92455784,0.92455784,1.555286373,1.555286373,1.555286373,1.555286373,1.555286373,1.555286373,0.224319422,2.563490406,1.10664753,0.293829307
1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.063863953,0.168223324,0.072544558,0.17034354,0.215439778,17.73212559,0.086602171,0.173984979,0.161548336,0.129881725,0.16812486,3.472678517,0.506197917,0.028738779,1.468870911,0.506197917,0.506197917,0.918190773,0.918190773,0.918190773,0.918190773,0.918190773,0.918190773,0.123325749,3.472678517,0.671539275,0.094205062
1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.220958983,1.035038463,0.167079776,0.9282646,0.937013841,38.6356574,0.260774126,1.017991327,0.520879841,0.918987005,0.842950191,2.353420073,1.23757721,0.099431542,0.508205661,1.23757721,1.23757721,1.89553288,1.89553288,1.89553288,1.89553288,1.89553288,1.89553288,0.28403562,2.353420073,1.327461641,0.579621539
1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.222628417,1.002984014,0.165511,0.903747555,0.917631811,38.82866282,0.269290913,0.988574651,0.512985775,0.298575566,0.822952999,2.345526416,1.221252911,0.100182788,0.512045359,1.221252911,1.221252911,1.880834774,1.880834774,1.880834774,1.880834774,1.880834774,1.880834774,0.2813687,2.345526416,1.318097373,0.561671048
1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,50,50,0.15,0.232040499,0.409644906,0.181741049,1.192992404,1.13644915,39.91032356,0.319025164,1.343386935,0.598697102,0.432027133,1.053525916,2.301911675,1.130107154,0.104418225,0.533693148,1.130107154,1.130107154,2.03081316,2.03081316,2.03081316,2.03081316,2.03081316,2.03081316,0.308959783,2.301911675,1.412893593,0.229401148
1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,50,50,0.15,0.234556167,0.483791072,0.171969368,1.009112458,0.999751376,40.19762391,0.332829213,0.312198112,0.546007303,0.470641956,0.908263138,2.290501999,1.105993355,0.105550275,0.539479184,1.105993355,1.105993355,1.94106371,1.94106371,1.94106371,1.94106371,1.94106371,1.94106371,0.292347926,2.290501999,1.356367857,0.270923
1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,50,50,0.15,0.236811373,0.554036344,0.163153529,0.246136478,0.889162737,40.45455144,0.345393884,0.432992518,0.501272966,0.50638178,0.793738564,2.280359584,1.084462149,0.106565118,0.544666159,1.084462149,1.084462149,1.858663945,1.858663945,1.858663945,1.858663945,1.858663945,1.858663945,0.277360999,2.280359584,1.303941946,0.310260353
1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,50,50,0.15,0.238576796,0.611634907,0.156213947,0.402162021,0.809737754,40.65527217,0.355357096,0.538225537,0.467812107,0.535122073,0.241607217,2.272475758,1.067662937,0.107359558,0.548726631,1.067662937,1.067662937,1.792810326,1.792810326,1.792810326,1.792810326,1.792810326,1.792810326,0.26556371,2.272475758,1.261682906,0.342515548
1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,50,50,0.15,0.23881738,0.619667021,0.15526558,0.425280162,0.159374639,40.68259808,0.356723591,0.553354082,0.463354381,0.539091492,0.274449339,2.271405146,1.065377375,0.107467821,0.549279975,1.065377375,1.065377375,1.783741219,1.783741219,1.783741219,1.783741219,1.783741219,1.783741219,0.263951487,2.271405146,1.255838245,0.347013532
1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,50,50,0.15,0.239735819,0.650741656,0.151639175,0.517991406,0.372350473,40.78685561,0.361959682,0.612948719,0.06456011,0.554362909,0.408623058,2.267326291,1.056660402,0.107881119,0.551392385,1.056660402,1.056660402,1.748905477,1.748905477,1.748905477,1.748905477,1.748905477,1.748905477,0.257786598,2.267326291,1.23333228,0.364415328
1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,50,50,0.15,0.240664853,0.682848581,0.0390888,0.61941916,0.618762047,40.89221925,0.367287696,0.676326142,0.324627474,0.570002523,0.559731599,2.263213616,1.047856109,0.108299184,0.553529162,1.047856109,1.047856109,1.713317012,1.713317012,1.713317012,1.713317012,1.713317012,1.713317012,0.664509605,2.263213616,0.384297803,0.382395205
1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,50,50,0.15,0.476183397,1.206807571,0.174648887,1.056433338,1.03568558,144.2021079,0.741361472,1.173803338,0.560121067,1.110712869,0.94606456,3.725550819,1.320824665,0.214282529,1.095221813,1.320824665,1.320824665,1.96583709,1.96583709,1.96583709,1.96583709,1.96583709,1.96583709,0.296903108,3.725550819,1.372030874,0.67581224
1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,50,50,0.15,0.240594235,0.680383977,0.016177113,0.611424808,0.598843853,40.88421377,0.366881586,0.671395425,0.303215979,0.568806893,0.547663644,2.263525762,1.048524873,0.108267406,0.553366742,1.048524873,1.048524873,1.716034719,1.716034719,1.716034719,1.716034719,1.716034719,1.716034719,0.027501092,2.263525762,1.661032535,0.381015027
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,50,50,0.15,0.225300275,0.231180956,0.088311316,0.233287127,0.289457426,39.13682746,0.283109515,0.238889727,0.207665962,0.334761026,0.229658533,2.332993371,1.195226983,0.101385124,0.518190633,1.195226983,1.195226983,1.095840611,1.095840611,1.095840611,1.095840611,1.095840611,1.095840611,0.150129237,2.332993371,0.795582137,1.294613354
