e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,GLCo,ETOH,GLY,G6P,TRIO,ACE,P3G,PEP,GLCi,F6P,BPG,PYR,F16P,P2G,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.240981824,0.693960413,0.146704067,0.655901142,0.710718556,40.92814553,0.369112823,0.698693477,0.424314824,0.575383123,0.615137418,2.261813467,1.044855255,0.108441821,0.554258196,1.044855255,1.044855255,1.701092678,1.701092678,1.701092678,1.701092678,1.701092678,1.701092678,0.249396914,2.261813467,1.20229885,0.388617831
1.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1.01,1,50,50,0.15,0.241634857,0.695568563,0.145620828,0.656950816,0.710973636,40.81416106,0.370159511,0.700104868,0.423773751,0.57694846,0.615773993,2.266259562,1.046003534,0.108735686,0.555760171,1.046003534,1.046003534,1.702488673,1.702488673,1.702488673,1.702488673,1.702488673,1.702488673,0.247555408,2.266259562,1.207377858,0.389518395
1,1.01,1,1,1,1,1.01,1,1,1,1,1,1,1,1,1,50,50,0.15,0.240641424,0.694935244,0.14731037,0.662718781,0.716714136,40.88956335,0.371000579,0.706476652,0.427009729,0.577591745,0.621005805,2.263317167,1.048077974,0.108288641,0.553475276,1.048077974,1.048077974,1.706992212,1.706992212,1.706992212,1.706992212,1.706992212,1.706992212,0.250427628,2.263317167,1.206136956,0.389163737
1,1,1.01,1,1,1,1,1,1,1.01,1,1,1,1,1,1,50,50,0.15,0.240858451,0.692778652,0.146789293,0.652618626,0.711558824,40.91416343,0.368803433,0.696575956,0.424693009,0.574695277,0.610272227,2.262358258,1.044939218,0.109470166,0.553974437,1.044939218,1.044939218,1.701922391,1.701922391,1.701922391,1.701922391,1.701922391,1.701922391,0.249541798,2.262358258,1.202838794,0.387956045
1,1,1,1.01,1,1,1,1,1.01,1,1,1,1,1,1,1,50,50,0.15,0.239951453,0.689844132,0.146678439,0.648706381,0.710466038,40.81131969,0.367260968,0.693141835,0.42420114,0.57220875,0.614890467,2.266370534,1.04357793,0.107978154,0.557407225,1.04357793,1.04357793,1.700843146,1.700843146,1.700843146,1.700843146,1.700843146,1.700843146,0.249353346,2.266370534,1.202136454,0.386312714
1,1,1,1,1.01,1,1,1,1,1,1,1,1,1.01,1,1,50,50,0.15,0.242158747,0.700173684,0.147168286,0.661114875,0.715305371,41.25144656,0.370282207,0.704644587,0.426377258,0.581222611,0.619626064,2.271755471,1.0488538,0.108971436,0.556965117,1.0488538,1.0488538,1.705610336,1.705610336,1.705610336,1.705610336,1.705610336,1.705610336,0.250186086,2.271755471,1.205238163,0.392097263
1,1,1,1,1,1.01,1,1.01,1,1,1,1,1,1,1,1,50,50,0.15,0.240753083,0.69426518,0.147131531,0.660700593,0.71494132,40.90222063,0.367795355,0.696695528,0.426213742,0.571497949,0.619269599,2.262823723,1.047020652,0.108338888,0.553732092,1.047020652,1.047020652,1.705252803,1.705252803,1.705252803,1.705252803,1.705252803,1.705252803,0.250123604,2.262823723,1.205005596,0.388788501
1,1.01,1,1,1,1,1.01,1,1,1,1,1,1,1,1,1,50,50,0.15,0.240641424,0.694935244,0.14731037,0.662718781,0.716714136,40.88956335,0.371000579,0.706476652,0.427009729,0.577591745,0.621005805,2.263317167,1.048077974,0.108288641,0.553475276,1.048077974,1.048077974,1.706992212,1.706992212,1.706992212,1.706992212,1.706992212,1.706992212,0.250427628,2.263317167,1.206136956,0.389163737
1,1,1,1,1,1.01,1,1.01,1,1,1,1,1,1,1,1,50,50,0.15,0.240753083,0.69426518,0.147131531,0.660700593,0.71494132,40.90222063,0.367795355,0.696695528,0.426213742,0.571497949,0.619269599,2.262823723,1.047020652,0.108338888,0.553732092,1.047020652,1.047020652,1.705252803,1.705252803,1.705252803,1.705252803,1.705252803,1.705252803,0.250123604,2.262823723,1.205005596,0.388788501
1,1,1,1.01,1,1,1,1,1.01,1,1,1,1,1,1,1,50,50,0.15,0.239951453,0.689844132,0.146678439,0.648706381,0.710466038,40.81131969,0.367260968,0.693141835,0.42420114,0.57220875,0.614890467,2.266370534,1.04357793,0.107978154,0.557407225,1.04357793,1.04357793,1.700843146,1.700843146,1.700843146,1.700843146,1.700843146,1.700843146,0.249353346,2.266370534,1.202136454,0.386312714
1,1,1.01,1,1,1,1,1,1,1.01,1,1,1,1,1,1,50,50,0.15,0.240858451,0.692778652,0.146789293,0.652618626,0.711558824,40.91416343,0.368803433,0.696575956,0.424693009,0.574695277,0.610272227,2.262358258,1.044939218,0.109470166,0.553974437,1.044939218,1.044939218,1.701922391,1.701922391,1.701922391,1.701922391,1.701922391,1.701922391,0.249541798,2.262358258,1.202838794,0.387956045
1,1,1,1,1,1,1,1,1,1,1.01,1,1,1,1,1.01,50,50,0.15,0.240893583,0.690858899,0.146656673,0.650849042,0.700814999,40.91814521,0.368604355,0.694669195,0.424104603,0.573882937,0.608606342,2.262203097,1.045690502,0.108402112,0.554055241,1.045690502,1.045690502,1.70063121,1.70063121,1.70063121,1.70063121,1.70063121,1.70063121,0.249316344,2.262203097,1.201998523,0.390749794
1,1,1,1,1,1,1,1,1,1,1,1.01,1.01,1,1,1,50,50,0.15,0.240962843,0.693292736,0.146268781,0.653688642,0.705092421,40.92599449,0.369003425,0.697343146,0.418176882,0.575060278,0.611761765,2.261897268,1.04503491,0.108433279,0.554214539,1.04503491,1.04503491,1.701825887,1.701825887,1.701825887,1.701825887,1.701825887,1.701825887,0.251143497,2.261897268,1.199538894,0.388243932
1,1,1,1,1,1,1,1,1,1,1,1.01,1.01,1,1,1,50,50,0.15,0.240962843,0.693292736,0.146268781,0.653688642,0.705092421,40.92599449,0.369003425,0.697343146,0.418176882,0.575060278,0.611761765,2.261897268,1.04503491,0.108433279,0.554214539,1.04503491,1.04503491,1.701825887,1.701825887,1.701825887,1.701825887,1.701825887,1.701825887,0.251143497,2.261897268,1.199538894,0.388243932
1,1,1,1,1.01,1,1,1,1,1,1,1,1,1.01,1,1,50,50,0.15,0.242158747,0.700173684,0.147168286,0.661114875,0.715305371,41.25144656,0.370282207,0.704644587,0.426377258,0.581222611,0.619626064,2.271755471,1.0488538,0.108971436,0.556965117,1.0488538,1.0488538,1.705610336,1.705610336,1.705610336,1.705610336,1.705610336,1.705610336,0.250186086,2.271755471,1.205238163,0.392097263
1.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1.01,1,50,50,0.15,0.241634857,0.695568563,0.145620828,0.656950816,0.710973636,40.81416106,0.370159511,0.700104868,0.423773751,0.57694846,0.615773993,2.266259562,1.046003534,0.108735686,0.555760171,1.046003534,1.046003534,1.702488673,1.702488673,1.702488673,1.702488673,1.702488673,1.702488673,0.247555408,2.266259562,1.207377858,0.389518395
1,1,1,1,1,1,1,1,1,1,1.01,1,1,1,1,1.01,50,50,0.15,0.240893583,0.690858899,0.146656673,0.650849042,0.700814999,40.91814521,0.368604355,0.694669195,0.424104603,0.573882937,0.608606342,2.262203097,1.045690502,0.108402112,0.554055241,1.045690502,1.045690502,1.70063121,1.70063121,1.70063121,1.70063121,1.70063121,1.70063121,0.249316344,2.262203097,1.201998523,0.390749794
