e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,GLCo,ETOH,GLY,G6P,TRIO,ACE,P3G,PEP,GLCi,F6P,BPG,PYR,F16P,P2G,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.240981824,0.693960413,0.146704067,0.655901142,0.710718556,40.92814553,0.369112823,0.698693477,0.424314824,0.575383123,0.615137418,2.261813467,1.044855255,0.108441821,0.554258196,1.044855255,1.044855255,1.701092678,1.701092678,1.701092678,1.701092678,1.701092678,1.701092678,0.249396914,2.261813467,1.20229885,0.388617831
7,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,50,50,0.15,0.859708333,1.767842197,0.192850957,1.444670173,1.312361714,101.4499293,1.305803199,1.664813076,0.662885373,1.833129987,1.245991251,5.901981319,1.560454236,0.38686875,1.977329166,1.560454236,1.560454236,2.130916841,2.130916841,2.130916841,2.130916841,2.130916841,2.130916841,0.327846628,5.901981319,1.475223586,0.98999163
1,7,1,1,1,7,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.182426932,1.944000651,0.197248522,1.558994514,1.388714746,34.07185178,0.579124184,1.814343744,0.689638161,0.642159476,1.331329082,2.550571947,1.629315943,0.082092119,0.419581942,1.629315943,1.629315943,2.169991522,2.169991522,2.169991522,2.169991522,2.169991522,2.169991522,0.335322487,2.550571947,1.499346549,1.088640365
1,1,7,1,1,1,1,1,1,1,7,1,1,1,1,1,50,50,0.15,0.194739358,0.517145905,0.142541364,0.374346015,0.156305168,35.55455944,0.287726137,0.472665921,0.406090918,0.437636099,0.251335392,2.484227148,0.97499712,0.613428979,0.447900524,0.97499712,0.97499712,1.660392534,1.660392534,1.660392534,1.660392534,1.660392534,1.660392534,0.242320318,2.484227148,1.175751897,0.289601707
1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.07914035,0.314730324,0.1045236,0.314987882,0.38030374,20.17151643,0.074043815,0.324330562,0.260082978,0.245565285,0.307910783,3.30793848,0.724006055,0.035613157,1.274159634,0.724006055,0.724006055,1.271763128,1.271763128,1.271763128,1.271763128,1.271763128,1.271763128,0.177690121,3.30793848,0.916382887,0.176248981
1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.07914035,0.314730324,0.1045236,0.314987882,0.38030374,20.17151643,0.074043815,0.324330562,0.260082978,0.245565285,0.307910783,3.30793848,0.724006055,0.035613157,1.274159634,0.724006055,0.724006055,1.271763128,1.271763128,1.271763128,1.271763128,1.271763128,1.271763128,0.177690121,3.30793848,0.916382887,0.176248981
1,7,1,1,1,7,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.182426932,1.944000651,0.197248522,1.558994514,1.388714746,34.07185178,0.579124184,1.814343744,0.689638161,0.642159476,1.331329082,2.550571947,1.629315943,0.082092119,0.419581942,1.629315943,1.629315943,2.169991522,2.169991522,2.169991522,2.169991522,2.169991522,2.169991522,0.335322487,2.550571947,1.499346549,1.088640365
1,1,1,1,1,1,7,1,7,1,1,1,1,1,1,1,50,50,0.15,0.226965312,0.27267496,0.20126797,0.479281542,1.462136533,39.32841865,0.291839605,0.77592193,0.714794133,0.357976909,1.414360603,2.325244715,1.179069891,0.10213439,0.522020217,1.179069891,1.179069891,2.205441804,2.205441804,2.205441804,2.205441804,2.205441804,2.205441804,0.342155549,2.325244715,1.521130705,0.152697978
1,1,1,1,1,1,1,7,1,7,1,1,1,1,1,1,50,50,0.15,0.232320702,0.417690624,0.180655807,0.573094264,1.120478466,39.94236084,0.320551775,0.205856228,0.592676879,0.436264067,0.360678385,2.300635775,1.127416229,0.104544316,0.534337615,1.127416229,1.127416229,2.020925708,2.020925708,2.020925708,2.020925708,2.020925708,2.020925708,0.307114872,2.300635775,1.406695964,0.23390675
1,1,1,1,1,1,7,1,7,1,1,1,1,1,1,1,50,50,0.15,0.226965312,0.27267496,0.20126797,0.479281542,1.462136533,39.32841865,0.291839605,0.77592193,0.714794133,0.357976909,1.414360603,2.325244715,1.179069891,0.10213439,0.522020217,1.179069891,1.179069891,2.205441804,2.205441804,2.205441804,2.205441804,2.205441804,2.205441804,0.342155549,2.325244715,1.521130705,0.152697978
1,1,1,1,1,1,1,7,1,7,1,1,1,1,1,1,50,50,0.15,0.232320702,0.417690624,0.180655807,0.573094264,1.120478466,39.94236084,0.320551775,0.205856228,0.592676879,0.436264067,0.360678385,2.300635775,1.127416229,0.104544316,0.534337615,1.127416229,1.127416229,2.020925708,2.020925708,2.020925708,2.020925708,2.020925708,2.020925708,0.307114872,2.300635775,1.406695964,0.23390675
1,1,7,1,1,1,1,1,1,1,7,1,1,1,1,1,50,50,0.15,0.194739358,0.517145905,0.142541364,0.374346015,0.156305168,35.55455944,0.287726137,0.472665921,0.406090918,0.437636099,0.251335392,2.484227148,0.97499712,0.613428979,0.447900524,0.97499712,0.97499712,1.660392534,1.660392534,1.660392534,1.660392534,1.660392534,1.660392534,0.242320318,2.484227148,1.175751897,0.289601707
1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,7,50,50,0.15,0.22738544,0.283404807,0.101463321,0.255970834,0.219799227,39.37670772,0.29405698,0.281969746,0.049896848,0.363917289,0.218738379,2.323296939,1.175000467,0.102323448,0.522986512,1.175000467,1.175000467,1.239054091,1.239054091,1.239054091,1.239054091,1.239054091,1.239054091,0.172487646,2.323296939,0.894078798,1.110946844
1,1,1,1,1,1,1,1,1,1,1,1,7,1,7,1,50,50,0.15,0.240599838,0.680579352,0.017980955,0.612057258,0.600416564,40.88484888,0.366913796,0.671785894,0.304904208,0.568901703,0.548617398,2.263500996,1.048471816,0.108269927,0.553379627,1.048471816,1.048471816,1.715819195,1.715819195,1.715819195,1.715819195,1.715819195,1.715819195,0.213973359,2.263500996,1.287872476,0.381124437
7,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,50,50,0.15,0.859708333,1.767842197,0.192850957,1.444670173,1.312361714,101.4499293,1.305803199,1.664813076,0.662885373,1.833129987,1.245991251,5.901981319,1.560454236,0.38686875,1.977329166,1.560454236,1.560454236,2.130916841,2.130916841,2.130916841,2.130916841,2.130916841,2.130916841,0.327846628,5.901981319,1.475223586,0.98999163
1,1,1,1,1,1,1,1,1,1,1,1,7,1,7,1,50,50,0.15,0.240599838,0.680579352,0.017980955,0.612057258,0.600416564,40.88484888,0.366913796,0.671785894,0.304904208,0.568901703,0.548617398,2.263500996,1.048471816,0.108269927,0.553379627,1.048471816,1.048471816,1.715819195,1.715819195,1.715819195,1.715819195,1.715819195,1.715819195,0.213973359,2.263500996,1.287872476,0.381124437
1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,7,50,50,0.15,0.22738544,0.283404807,0.101463321,0.255970834,0.219799227,39.37670772,0.29405698,0.281969746,0.049896848,0.363917289,0.218738379,2.323296939,1.175000467,0.102323448,0.522986512,1.175000467,1.175000467,1.239054091,1.239054091,1.239054091,1.239054091,1.239054091,1.239054091,0.172487646,2.323296939,0.894078798,1.110946844
