e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,GLCi,G6P,F6P,F16P,TRIO,BPG,P3G,P2G,PEP,PYR,ACE,GLCo,ETOH,GLY,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.92814553,0.240981824,0.369112823,0.575383123,0.693960413,0.698693477,0.655901142,0.615137418,0.710718556,0.424314824,0.146704067,50,50,0.15,1.1582124110397052,1.1282124110397052,0.01,0.01,1.1282124110397052,1.1282124110397052,1.75281825519773,1.75281825519773,1.75281825519773,1.75281825519773,1.75281825519773,1.75281825519773,0.2680785403457062,1.1582124110397052,1.2166611745063176,0.5036065668816803
0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,126.4324171,0.03875024,0.050751491,0.074318262,0.096206309,0.099460928,0.097438295,0.095874655,0.125204558,0.099913799,0.048686134,50,50,0.15,0.40235579495352103,0.37235579495352106,0.01,0.01,0.37235579495352106,0.37235579495352106,0.6551469345823961,0.6551469345823961,0.6551469345823961,0.6551469345823961,0.6551469345823961,0.6551469345823961,0.08962418454443281,0.40235579495352103,0.4758985654935305,0.08956465532464597
1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.24758912,0.326240588,0.039884605,0.057891365,0.074853557,0.077358089,0.075760679,0.074330661,0.097562872,0.079537332,0.039930363,50,50,0.15,0.33754303626698456,0.3075430362669846,0.01,0.01,0.3075430362669846,0.3075430362669846,0.5437695032722717,0.5437695032722717,0.5437695032722717,0.5437695032722717,0.5437695032722717,0.5437695032722717,0.07356380160998514,0.33754303626698456,0.3966419000523014,0.0713165692616975
1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41.96111689,0.250137408,0.383978582,0.597967976,0.717902944,0.721595975,0.675934573,0.632354872,0.728281561,0.432185866,0.148468361,50,50,0.15,1.1747087673671597,1.1447087673671597,0.01,0.01,1.1447087673671597,1.1447087673671597,1.7704869092773134,1.7704869092773134,1.7704869092773134,1.7704869092773134,1.7704869092773134,1.7704869092773134,0.27127195154616923,1.1747087673671597,1.227943006184975,0.5189306254570059
1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,59.84748059,0.419306953,0.653342203,0.989332714,1.099425465,1.076747861,0.976922795,0.882371784,0.974982147,0.536162501,0.170072163,50,50,0.15,1.4008468723008694,1.3708468723008693,0.01,0.01,1.3708468723008693,1.3708468723008693,1.9819342062116265,1.9819342062116265,1.9819342062116265,1.9819342062116265,1.9819342062116265,1.9819342062116265,0.31033136295635944,1.4008468723008694,1.3612714802989077,0.7597595383901121
1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,48.86434723,0.313234375,0.904538857,0.08978263,0.116300143,0.12026494,0.117831448,0.116144987,0.150902894,0.118175943,0.056138402,50,50,0.15,0.45705123055925556,0.42705123055925553,0.01,0.01,0.42705123055925553,0.42705123055925553,0.7479413500438253,0.7479413500438253,0.7479413500438253,0.7479413500438253,0.7479413500438253,0.7479413500438253,0.10327566416168803,0.45705123055925556,0.5413900217204493,0.10616111107468573
1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,49.13517249,0.315772004,0.928706782,2.776448615,0.107432114,0.11108348,0.108833553,0.107203536,0.139604296,0.110223153,0.052936385,50,50,0.15,0.4335947969692915,0.4035947969692915,0.01,0.01,0.4035947969692915,0.4035947969692915,0.7082906117826265,0.7082906117826265,0.7082906117826265,0.7082906117826265,0.7082906117826265,0.7082906117826265,0.0974120043711341,0.4335947969692915,0.5134666030403583,0.0988989821559565
1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,43.9259902,0.267768935,0.537800941,1.123471077,1.99068778,0.068135982,0.066716558,0.065355697,0.085950308,0.070728894,0.035987631,50,50,0.15,0.8900432499978073,0.8600432499978072,0.01,0.01,0.8600432499978072,0.8600432499978072,0.4927551802037251,0.4927551802037251,0.4927551802037251,0.4927551802037251,0.4927551802037251,0.4927551802037251,0.06632408434017743,0.8900432499978073,0.3601070115233702,1.2273313197918894
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,43.82259101,0.266834248,0.531399314,1.100846052,1.93105347,5.141631486,0.075927643,0.074496456,0.097776861,0.079698217,0.040001454,50,50,0.15,0.8992222011488988,0.8692222011488988,0.01,0.01,0.8692222011488988,0.8692222011488988,0.5446843627280928,0.5446843627280928,0.5446843627280928,0.5446843627280928,0.5446843627280928,0.5446843627280928,0.07369429697465181,0.8992222011488988,0.3972957687787892,1.1937600395697048
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,43.73179585,0.266014112,0.525815067,1.081227051,1.879748281,4.849769941,12.48100297,0.08287153,0.108561128,0.087741281,0.043514809,50,50,0.15,0.9072862991859221,0.877286299185922,0.01,0.01,0.877286299185922,0.877286299185922,0.5896796524293516,0.5896796524293516,0.5896796524293516,0.5896796524293516,0.5896796524293516,0.5896796524293516,0.08014143333040226,0.9072862991859221,0.42939678576854706,1.1648929459424924
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,43.48090134,0.263750835,0.510561998,1.028195543,1.742968714,4.132845834,9.784966174,23.56478996,0.140409051,0.110793485,0.053168196,50,50,0.15,0.9295895280832391,0.8995895280832391,0.01,0.01,0.8995895280832391,0.8995895280832391,0.7111721910393352,0.7111721910393352,0.7111721910393352,0.7111721910393352,0.7111721910393352,0.7111721910393352,0.09783660468587345,0.9295895280832391,0.5154989816675882,1.088006865127143
