e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,GLCo,ETOH,GLY,G6P,TRIO,ACE,P3G,PEP,GLCi,F6P,BPG,PYR,F16P,P2G,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.270191757,0.359790484,0.111696184,0.358053294,0.426030436,44.19363181,0.554582448,0.369998478,0.285025912,0.282233962,0.348386797,2.138985218,0.774516843,0.121586291,0.621441042,0.774516843,0.774516843,1.347551014,1.347551014,1.347551014,1.347551014,1.347551014,1.347551014,0.189883512,2.138985218,0.96778399,0.201482671
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.315806214,0.410358864,0.118771841,0.405520762,0.474879678,37.03337084,0.644885008,0.420871467,0.310755863,0.324117607,0.392395957,2.420295435,0.825474054,0.142112796,0.726354292,0.825474054,0.825474054,1.421147145,1.421147145,1.421147145,1.421147145,1.421147145,1.421147145,0.201912129,2.420295435,1.017322887,0.229800964
1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.256735238,0.49138803,0.128448657,0.479708189,0.548294987,42.70001985,0.789670724,0.501533167,0.347849699,0.392973582,0.459967927,2.194097968,0.897585018,0.115530857,0.590491047,0.897585018,0.897585018,1.519992739,1.519992739,1.519992739,1.519992739,1.519992739,1.519992739,0.218362717,2.194097968,1.083267305,0.275177297
1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.248731513,0.335618848,0.107962473,0.335041435,0.401770747,41.80308352,0.511464164,0.345539271,0.271901957,0.262490368,0.32682446,2.22805115,0.748098648,0.335787543,0.57208248,0.748098648,0.748098648,1.308250742,1.308250742,1.308250742,1.308250742,1.308250742,1.308250742,0.183536204,2.22805115,0.941178333,0.187946555
1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.150461256,0.220763836,0.08595188,0.222944754,0.277545057,30.09193046,0.308442869,0.228176132,0.200471315,0.170838405,0.219618127,2.740727132,0.59665423,0.067707565,1.038182668,0.59665423,0.59665423,1.069680712,1.069680712,1.069680712,1.069680712,1.069680712,1.069680712,0.146118195,2.740727132,0.777444322,0.123627748
1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.245813275,0.625846154,0.141294239,0.598036363,0.659021939,41.4743801,0.397399065,0.63308934,0.400724465,0.512340888,0.564941208,2.240659906,0.999302867,0.110615974,0.565370533,0.999302867,0.999302867,1.648131888,1.648131888,1.648131888,1.648131888,1.648131888,1.648131888,0.240200207,2.240659906,1.167731475,0.350473846
1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.267483823,0.383512981,0.115130577,0.380434631,0.44925755,43.89445859,0.535843981,0.393914487,0.297372086,0.156075816,0.36921519,2.149884716,0.799091412,0.12036772,0.615212792,0.799091412,0.799091412,1.383415555,1.383415555,1.383415555,1.383415555,1.383415555,1.383415555,0.195721981,2.149884716,0.991971593,0.214767269
1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,50,50,0.15,0.270547581,0.194279388,0.119998687,0.414303668,0.483751009,44.23289245,0.557070084,0.430347278,0.315334631,0.198217216,0.400471297,2.137559981,0.771294698,0.121746411,0.622259436,0.771294698,0.771294698,1.433792939,1.433792939,1.433792939,1.433792939,1.433792939,1.433792939,0.203997768,2.137559981,1.025797402,0.108796457
1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,50,50,0.15,0.270395681,0.258401065,0.11678879,0.391680194,0.460796073,44.21613369,0.556007396,0.182958282,0.303429055,0.230749634,0.379627947,2.138168212,0.77267002,0.121678057,0.621910067,0.77267002,0.77267002,1.400635444,1.400635444,1.400635444,1.400635444,1.400635444,1.400635444,0.198540942,2.138168212,1.003553559,0.144704597
1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,50,50,0.15,0.270304472,0.301051026,0.114649051,0.170987304,0.445946872,44.20606975,0.555369819,0.260327833,0.295624992,0.252402304,0.366235549,2.138533569,0.773495983,0.121637013,0.621700287,0.773495983,0.773495983,1.378403391,1.378403391,1.378403391,1.378403391,1.378403391,1.378403391,0.194903387,2.138533569,0.988596617,0.168588574
