e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,GLCi,G6P,F6P,F16P,TRIO,BPG,P3G,P2G,PEP,PYR,ACE,GLCo,ETOH,GLY,v_EX_GLCo,v_EX_ETOH,v_EX_GLY,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44.19363181,0.270191757,0.554582448,0.282233962,0.359790484,0.369998478,0.358053294,0.348386797,0.426030436,0.285025912,0.111696184,50,50,0.15,-2.1358020927413155,1.2918124853623325,0.21244305750461187,2.1358020927413155,0.7621277714334722,0.01,0.6818371606539217,0.7621277714334722,0.7621277714334722,1.3118124853623325,1.3118124853623325,1.3118124853623325,1.3118124853623325,1.3118124853623325,1.3118124853623325,0.01,2.1358020927413155,1.2918124853623325,0.21244305750461187
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34.79125328,0.331894243,0.676317405,0.338881948,0.427953376,0.438476059,0.421823515,0.40736887,0.491306753,0.319212658,0.121030427,50,50,0.15,-2.5143464423901407,1.3860946172301203,0.2526907405695301,2.5143464423901407,0.8293926788998252,0.01,0.8374768817451579,0.8293926788998252,0.8293926788998252,1.4060946172301203,1.4060946172301203,1.4060946172301203,1.4060946172301203,1.4060946172301203,1.4060946172301203,0.01,2.5143464423901407,1.3860946172301203,0.2526907405695301
1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,42.00614174,0.250538297,0.920316567,0.456996746,0.564426908,0.57334296,0.544690989,0.518020609,0.609991794,0.377729565,0.135835669,50,50,0.15,-2.2170026582387434,1.5318205192671392,0.3332733455353646,2.2170026582387434,0.9425469324012519,0.01,0.6322278629187459,0.9425469324012519,0.9425469324012519,1.5518205192671393,1.5518205192671393,1.5518205192671393,1.5518205192671393,1.5518205192671393,1.5518205192671393,0.01,2.2170026582387434,1.5318205192671392,0.3332733455353646
1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,35.85260486,0.197239034,0.40624908,0.214845877,0.276433215,0.285281578,0.277826085,0.272554927,0.339678839,0.237148888,0.09763171,50,50,0.15,-2.467488453908709,1.1460124081266783,0.16322365338140385,2.467488453908709,0.664618030754041,0.01,0.8964352115773342,0.664618030754041,0.664618030754041,1.1660124081266783,1.1660124081266783,1.1660124081266783,1.1660124081266783,1.1660124081266783,1.1660124081266783,0.01,2.467488453908709,1.1460124081266783,0.16322365338140385
1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,18.08048759,0.065981412,0.127504939,0.086005308,0.111393955,0.115185396,0.112853983,0.111199394,0.1446608,0.113796738,0.054383267,50,50,0.15,-3.4433034012031105,0.6661240500411156,0.06577403661488115,3.4433034012031105,0.3759490433279984,0.01,1.5286771789375562,0.3759490433279984,0.3759490433279984,0.6861240500411157,0.6861240500411157,0.6861240500411157,0.6861240500411157,0.6861240500411157,0.6861240500411157,0.01,3.4433034012031105,0.6661240500411156,0.06577403661488115
1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,39.55109056,0.228904182,0.30212208,0.76532606,0.888331016,0.882405568,0.814344665,0.749226791,0.845421806,0.482992843,0.159400875,50,50,0.15,-2.31283350227717,1.7548110409102138,0.5245268164676056,2.31283350227717,1.1496689286889097,0.01,0.5765822867941303,1.1496689286889097,1.1496689286889097,1.7748110409102138,1.7748110409102138,1.7748110409102138,1.7748110409102138,1.7748110409102138,1.7748110409102138,0.01,2.31283350227717,1.7548110409102138,0.5245268164676056
1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,43.79788883,0.26661106,0.529876618,0.11552654,0.391440549,0.401886847,0.387869219,0.376103102,0.456895518,0.301387053,0.116231679,50,50,0.15,-2.1502131140556697,1.3378638813564498,0.23113125829585943,2.1502131140556697,0.7944975698261546,0.01,0.6728577721147577,0.7944975698261546,0.7944975698261546,1.3578638813564499,1.3578638813564499,1.3578638813564499,1.3578638813564499,1.3578638813564499,1.3578638813564499,0.01,2.1502131140556697,1.3378638813564498,0.23113125829585943
1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,44.24894427,0.270693091,0.55808909,0.170128798,0.138860154,0.452488211,0.434754684,0.419194806,0.504215368,0.32579277,0.122765877,50,50,0.15,-2.133797472357911,1.4034143479648264,0.08199181720473406,2.133797472357911,0.7527030825847802,0.01,0.6855471948865655,0.7527030825847802,0.7527030825847802,1.4234143479648265,1.4234143479648265,1.4234143479648265,1.4234143479648265,1.4234143479648265,1.4234143479648265,0.01,2.133797472357911,1.4034143479648264,0.08199181720473406
1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,44.22435236,0.270470172,0.556528397,0.214318185,0.226021963,0.125448764,0.402968113,0.390045044,0.472291817,0.309414927,0.118410749,50,50,0.15,-2.134688436495904,1.3598272690383528,0.13345766194923994,2.134688436495904,0.7566424654937964,0.01,0.6840229855010539,0.7566424654937964,0.7566424654937964,1.3798272690383528,1.3798272690383528,1.3798272690383528,1.3798272690383528,1.3798272690383528,1.3798272690383528,0.01,2.134688436495904,1.3598272690383528,0.13345766194923994
1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,44.21023391,0.270342211,0.555633576,0.243214093,0.282954798,0.227272374,0.115814269,0.371872736,0.45220699,0.298925071,0.115557385,50,50,0.15,-2.1352001568456678,1.3310463496402711,0.1670744090057069,2.1352001568456678,0.759060379322989,0.01,0.6830698887613396,0.759060379322989,0.759060379322989,1.3510463496402711,1.3510463496402711,1.3510463496402711,1.3510463496402711,1.3510463496402711,1.3510463496402711,0.01,2.1352001568456678,1.3310463496402711,0.1670744090057069
1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,44.20197082,0.270267326,0.555110266,0.261805086,0.319567305,0.29450358,0.228620037,0.130530159,0.439602432,0.292265288,0.113718957,50,50,0.15,-2.135499722383595,1.3124074995011714,0.18869274886675272,2.135499722383595,0.7605501241839621,0.01,0.6824747990998166,0.7605501241839621,0.7605501241839621,1.3324074995011714,1.3324074995011714,1.3324074995011714,1.3324074995011714,1.3324074995011714,1.3324074995011714,0.01,2.135499722383595,1.3124074995011714,0.18869274886675272
1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,44.20023054,0.270251555,0.55500009,0.265915635,0.327661279,0.309556159,0.25419417,0.173190444,0.099096852,0.290802051,0.113312174,50,50,0.15,-2.1355628193460734,1.3082731764517905,0.19347194257479047,2.1355628193460734,0.7608725595132905,0.01,0.6823451299163916,0.7608725595132905,0.7608725595132905,1.3282731764517905,1.3282731764517905,1.3282731764517905,1.3282731764517905,1.3282731764517905,1.3282731764517905,0.01,2.1355628193460734,1.3082731764517905,0.19347194257479047
1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,41.65047734,0.247375665,0.406736941,0.465669187,0.558047992,0.532289234,0.456679796,0.365898869,0.338969926,0.060306552,0.142174237,50,50,0.15,-2.2305694307921287,1.5928467037259864,0.329506830037282,2.2305694307921287,0.9711767668816342,0.01,0.6246963319552473,0.9711767668816342,0.9711767668816342,1.6128467037259864,1.6128467037259864,1.6128467037259864,1.6128467037259864,1.6128467037259864,1.6128467037259864,0.01,2.2305694307921287,1.5928467037259864,0.329506830037282
1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,43.74922026,0.266171459,0.526884062,0.308979146,0.390198803,0.396059844,0.374868224,0.351733941,0.409573087,0.237862834,0.031925329,50,50,0.15,-2.151993742269225,1.3463350169082975,0.23039805161286633,2.151993742269225,0.7983665342605819,0.01,0.6718136040043216,0.7983665342605819,0.7983665342605819,1.3663350169082975,1.3663350169082975,1.3663350169082975,1.3663350169082975,1.3663350169082975,1.3663350169082975,0.01,2.151993742269225,1.3463350169082975,0.23039805161286633
1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,145.721789,0.514954116,1.020627881,0.507357453,0.620379048,0.627794229,0.593334018,0.560830682,0.654754741,0.398747956,0.14083241,50,50,0.15,-3.5906648518152524,1.579994028209908,0.3663110273939567,3.5906648518152524,0.9831525278019324,0.01,1.29875616200666,0.9831525278019324,0.9831525278019324,1.599994028209908,1.599994028209908,1.599994028209908,1.599994028209908,1.599994028209908,1.599994028209908,0.01,3.5906648518152524,1.579994028209908,0.3663110273939567
1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,43.63561421,0.26514595,0.519937009,0.316143295,0.398251557,0.402886954,0.379213288,0.352593304,0.405497584,0.226471963,0.013292842,50,50,0.15,-2.1561573909118987,1.3601465379943456,0.23515290769112687,2.1561573909118987,0.8076497228427363,0.01,0.6692538340345813,0.8076497228427363,0.8076497228427363,1.3801465379943456,1.3801465379943456,1.3801465379943456,1.3801465379943456,1.3801465379943456,1.3801465379943456,0.01,2.1561573909118987,1.3601465379943456,0.23515290769112687
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,42.29778454,0.253138628,0.44201211,0.222360654,0.168398069,0.174165567,0.170519543,0.168298251,0.215651863,0.161685613,0.072593883,50,50,0.15,-2.205955581418351,0.8743907451076562,0.9943287083722026,2.205955581418351,0.9443597267399294,0.01,0.6257979273392109,0.9443597267399294,0.9443597267399294,0.8943907451076563,0.8943907451076563,0.8943907451076563,0.8943907451076563,0.8943907451076563,0.8943907451076563,0.01,2.205955581418351,0.8743907451076562,0.9943287083722026
