e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,GLCo,ETOH,GLY,G6P,TRIO,ACE,P3G,PEP,GLCi,F6P,BPG,PYR,F16P,P2G,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.293665895,0.201337001,0.081305291,0.203575848,0.254974076,46.75967399,0.274840281,0.208166755,0.186609609,0.155637886,0.200737638,2.048253049,0.565240282,0.132149653,0.675431557,0.565240282,0.565240282,1.017731843,1.017731843,1.017731843,1.017731843,1.017731843,1.017731843,0.138218994,2.048253049,0.741293855,0.11274872
1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.316517334,0.212126268,0.083927029,0.214345647,0.267566744,43.04090367,0.293456819,0.219284111,0.194381134,0.164070925,0.211248068,2.181364699,0.582952161,0.1424328,0.727989869,0.582952161,0.582952161,1.047113612,1.047113612,1.047113612,1.047113612,1.047113612,1.047113612,0.142675949,2.181364699,0.761761713,0.11879071
1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.285673832,0.246890383,0.091709726,0.248822439,0.307171248,45.89135404,0.354127312,0.255023222,0.218217351,0.191403402,0.244684687,2.078415038,0.635762186,0.128553224,0.657049814,0.635762186,0.635762186,1.133265757,1.133265757,1.133265757,1.133265757,1.133265757,1.133265757,0.155906534,2.078415038,0.82145269,0.138258615
1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.286955741,0.198127299,0.080504611,0.200366056,0.251200329,46.03098872,0.269326628,0.204857378,0.184261528,0.1531333,0.197599367,2.073528069,0.559836537,0.193695125,0.659998204,0.559836537,0.559836537,1.008721786,1.008721786,1.008721786,1.008721786,1.008721786,1.008721786,0.136857838,2.073528069,0.73500611,0.110951287
1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.238674917,0.174390102,0.074264263,0.176550983,0.222902378,40.6664177,0.228971808,0.180356781,0.166359661,0.134665207,0.174236106,2.272039005,0.517778364,0.107403713,0.823428464,0.517778364,0.517778364,0.93789827,0.93789827,0.93789827,0.93789827,0.93789827,0.93789827,0.126249248,2.272039005,0.685399774,0.097658457
1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.291089905,0.215210404,0.084657374,0.217418439,0.271140121,46.48037474,0.207747486,0.222459968,0.196568905,0.166485626,0.21424128,2.057895872,0.587891854,0.130990457,0.669506781,0.587891854,0.587891854,1.055265881,1.055265881,1.055265881,1.055265881,1.055265881,1.055265881,0.143917536,2.057895872,0.76743081,0.120517826
1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.293257396,0.203488611,0.081836606,0.205726034,0.257496725,46.71541904,0.264390914,0.210384663,0.188174269,0.118648078,0.202838443,2.04977726,0.568827407,0.131965828,0.674492012,0.568827407,0.568827407,1.023701193,1.023701193,1.023701193,1.023701193,1.023701193,1.023701193,0.139122231,2.04977726,0.745456731,0.113953622
1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,50,50,0.15,0.294270052,0.150086193,0.082918118,0.210153387,0.262677585,46.82510107,0.268466567,0.214954061,0.191375332,0.132821578,0.20716036,2.046002177,0.559938415,0.132421523,0.676821119,0.559938415,0.559938415,1.035828562,1.035828562,1.035828562,1.035828562,1.035828562,1.035828562,0.140960801,2.046002177,0.75390696,0.084048268
1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,50,50,0.15,0.293979088,0.174695026,0.082144187,0.206978231,0.258963868,46.79359487,0.271521735,0.151366183,0.18908244,0.143754332,0.204061334,2.047085699,0.562491306,0.13229059,0.676151902,0.562491306,0.562491306,1.027153397,1.027153397,1.027153397,1.027153397,1.027153397,1.027153397,0.139645118,2.047085699,0.747863161,0.097829214
1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,50,50,0.15,0.289570072,0.209067407,0.087377521,0.163674341,0.284705669,46.31533305,0.313459131,0.199780294,0.204805817,0.166749712,0.225647242,2.063620098,0.601291234,0.130306532,0.666011166,0.601291234,0.601291234,1.08550472,1.08550472,1.08550472,1.08550472,1.08550472,1.08550472,0.148541785,2.063620098,0.78842115,0.117077748
