e_vKIL,e_vLIM,e_vMIK,e_vNOV,e_vOSC,e_vPAP,e_vQUE,e_vROM,e_vSIE,e_vTAN,e_vUNI,e_vVIC,e_vWHI,e_vALP,e_vYAN,e_vZUL,Ao__,L__,Z__,B__,E__,K__,G__,I__,Ai__,C__,F__,J__,D__,H__,v_vKIL,v_vLIM,v_vMIK,v_vNOV,v_vOSC,v_vPAP,v_vQUE,v_vROM,v_vSIE,v_vTAN,v_vUNI,v_vVIC,v_vWHI,v_vALP,v_vYAN,v_vZUL
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.240981824,0.693960413,0.146704067,0.655901142,0.710718556,40.92814553,0.369112823,0.698693477,0.424314824,0.575383123,0.615137418,2.261813467,1.044855255,0.108441821,0.554258196,1.044855255,1.044855255,1.701092678,1.701092678,1.701092678,1.701092678,1.701092678,1.701092678,0.249396914,2.261813467,1.20229885,0.388617831
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,1.16E-82,3.76E-81,5.71E-80,1.47E-80,6.00E-80,200,5.21E-82,7.64E-81,8.01E-80,1.66E-81,2.76E-80,0,0,5.21E-83,2.67E-82,1.41E-81,6.64E-81,2.30E-80,4.69E-80,9.29E-80,1.80E-79,3.68E-79,6.19E-79,9.70E-80,3.10E-15,6.05E-79,2.11E-81
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.360571995,0,0,0,0,53.84528257,0,0,0,0,0,1.820888573,0,0.162257398,0.829315588,0,0,0,0,0,0,0,0,0,1.820888573,0,0
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.251209012,0.72068002,0.148668791,0.678248272,0.730299327,42.08143384,0.385717122,0.724247236,0.433085666,0.600602066,0.634338178,2.217443903,1.061882448,0,0.577780728,1.061882448,1.061882448,1.720184084,1.720184084,1.720184084,1.720184084,1.720184084,1.720184084,0.252736945,2.217443903,1.214710194,0.403580811
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.468611794,1.193000268,0.174086649,1.046319137,1.028051635,64.76454338,0.729717127,1.161386864,0.557139062,1.094817222,0.938010501,1.525240013,1.314364706,0.210875307,0,1.314364706,1.314364706,1.960649261,1.960649261,1.960649261,1.960649261,1.960649261,1.960649261,0.295947303,1.525240013,1.368754655,0.66808015
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.360571995,0,0,0,0,53.84528257,1.442287978,0,0,0,0,1.820888573,0,0.162257398,0.829315588,0,0,0,0,0,0,0,0,0,1.820888573,0,0
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.360571995,5.27E-65,2.21E-63,4.02E-64,2.14E-63,53.84528257,1.442287978,1.61E-64,3.02E-63,5.769151913,9.05E-64,1.820888573,0,0.162257398,0.829315588,0,0,1.54E-64,7.17E-64,2.11E-63,5.26E-63,1.27E-62,2.32E-62,3.75E-63,1.820888573,2.34E-62,2.95E-65
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,50,50,0.15,0.27604978,2.577400254,5.05E-61,8.29E-62,4.77E-61,44.83851432,0.596306279,2.97E-62,6.87E-61,1.336886463,1.97E-61,2.11572346,0.721672071,0.124222401,0.634914494,0.721672071,0.721672071,0,1.06E-61,4.02E-61,1.11E-60,2.81E-60,5.27E-60,8.59E-61,2.11572346,5.35E-60,1.443344142
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,50,50,0.15,0.27604978,2.577400254,0,0,0,44.83851432,0.596306279,10.30960102,0,1.336886463,0,2.11572346,0.721672071,0.124222401,0.634914494,0.721672071,0.721672071,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.11572346,0.00E+00,1.443344142
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,50,50,0.15,0.27604978,2.577400254,2.23E-82,41.23840406,1.83E-82,44.83851432,0.596306279,10.30960102,2.90E-82,1.336886463,6.43E-83,2.11572346,0.721672071,0.124222401,0.634914494,0.721672071,0.721672071,0,2.01E-15,0,2.64E-82,1.01E-81,2.21E-81,3.79E-82,2.11572346,2.36E-81,1.443344142
