e_vKIL,e_vLIM,e_vMIK,e_vNOV,e_vOSC,e_vPAP,e_vQUE,e_vROM,e_vSIE,e_vTAN,e_vUNI,e_vVIC,e_vWHI,e_vALP,e_vYAN,e_vZUL,Ao__,L__,Z__,B__,E__,K__,G__,I__,Ai__,C__,F__,J__,D__,H__,v_vKIL,v_vLIM,v_vMIK,v_vNOV,v_vOSC,v_vPAP,v_vQUE,v_vROM,v_vSIE,v_vTAN,v_vUNI,v_vVIC,v_vWHI,v_vALP,v_vYAN,v_vZUL
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.31972688029748225,0.09440586118147656,0.0479828955840468,0.0956103784755886,0.12288574732815795,49.55633059075116,0.4481632665793505,0.09759693292766866,0.09823477567877119,0.07293318115411411,0.09405723853834538,1.9546666270620066,0.3400458815597207,0.143877096133867,0.7353718246842091,0.34004588155972226,0.34004588155972243,0.6272244808578182,0.6272244808578181,0.6272244808578185,0.6272244808578186,0.6272244808578185,0.6272244808578189,0.08157092249287956,1.9546666270619952,0.46408263587205956,0.05286728226162688
3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.36736798697534456,0.09797871696207373,0.049372466416006434,0.09923769286694419,0.12748484031574392,42.417211351700686,0.5200798284498486,0.10129592622255308,0.10155972909908488,0.07568182095578604,0.09766372340062922,2.204732818200739,0.34952448397525265,0.16531559413890506,0.8449463700432924,0.34952448397525243,0.3495244839752526,0.644180886451744,0.6441808864517438,0.644180886451744,0.6441808864517437,0.644180886451744,0.6441808864517439,0.08393319290721094,2.2047328182007426,0.4763145006373221,0.054868081498761295
1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.31525287480751985,0.10921266698991311,0.053589975651006684,0.11064053936922813,0.14187853855437618,49.07980691979586,0.8059424706182124,0.11292699155168921,0.11183335921681826,0.08432628789322119,0.10899958965702422,1.9702413277652455,0.37821430998727046,0.14186379366338395,0.7250816120572956,0.3782143099872705,0.3782143099872705,0.6952695264601897,0.6952695264601898,0.6952695264601898,0.6952695264601901,0.69526952646019,0.6952695264601899,0.09110295860671136,1.970241327765246,0.5130636092467671,0.061159093514351344
1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2903071371452825,0.09198204645475508,0.047026406688544395,0.09314952910599521,0.11976029824063912,46.39539625142327,0.4040170766319907,0.09508763067380657,0.09596315809315865,0.07106860419812584,0.09161059032798849,2.0608407891228024,0.33351332310837195,0.3919146351461314,0.6677064154341497,0.33351332310837206,0.33351332310837195,0.6155167002020809,0.6155167002020808,0.6155167002020809,0.6155167002020808,0.615516700202081,0.6155167002020809,0.07994489137052548,2.060840789122802,0.45562691746103007,0.05150994601466285
1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.1651684540504423,0.07867382120458438,0.041566168395626234,0.0796384618291452,0.10252886976829616,31.94859337674707,0.2195705904823131,0.08131183238603411,0.08325791763102706,0.0608307774373783,0.07818208871453676,2.6497338482410417,0.2960833780222385,0.07432580432269904,1.1396623329480517,0.29608337802223883,0.29608337802223844,0.5481094161699098,0.5481094161699098,0.5481094161699096,0.5481094161699098,0.5481094161699098,0.5481094161699098,0.07066248627256459,2.6497338482410413,0.40678444362478056,0.04405733987456726
1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.316991209700725,0.10331630892577194,0.05140441822429787,0.10465610263846509,0.13433684724981118,49.26512555667825,0.22028688217405754,0.1068221487115471,0.10647505754868654,0.07978858482394345,0.10305080604697692,1.9641666933501005,0.36336108436143877,0.14264604436532624,0.7290797823116674,0.3633610843614387,0.363361084361439,0.6688650357244454,0.6688650357244456,0.6688650357244456,0.6688650357244454,0.6688650357244457,0.6688650357244456,0.08738751098130638,1.9641666933501003,0.4940900137618327,0.057857132998432294
1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.31964710737335833,0.09465953062885923,0.04808234852912536,0.09586792067050443,0.12321259764184368,49.54784646972024,0.4422782567844709,0.09785955351415973,0.09847176842691706,0.039317911234796145,0.0943132996669858,1.9549426248625839,0.3407247326271247,0.14384119831801126,0.7351883469587241,0.3407247326271246,0.34072473262712466,0.6284401281020882,0.6284401281020882,0.628440128102088,0.6284401281020884,0.6284401281020882,0.6284401281020883,0.08173999249951311,1.954942624862584,0.4649601431030619,0.053009337152161176
1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.32090313469102943,0.046770291129396895,0.04852895769138929,0.09702836676468603,0.12468474984805417,49.68137728903133,0.4500646952630488,0.09904290160846489,0.09953787672201693,0.054858568783325116,0.09546707927304596,1.9506041423295022,0.3300433121398044,0.14440641061096324,0.7380772097893676,0.3300433121398042,0.3300433121398043,0.6338952612471463,0.6338952612471463,0.6338952612471463,0.6338952612471463,0.6338952612471463,0.6338952612471461,0.0824992280753618,1.9506041423295026,0.4688968050964227,0.026191363032462264
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.3202085316173816,0.07491640363283653,0.04820539100374542,0.09618698838574441,0.12361746551507535,49.60754632314727,0.4489232198777587,0.04693550111761663,0.09876518226441393,0.0655001760492739,0.09463053340051944,1.9530015164771037,0.3359484318093268,0.14409383922782174,0.7364796227199777,0.33594843180932693,0.33594843180932704,0.6299436775842653,0.6299436775842652,0.6299436775842653,0.6299436775842654,0.6299436775842655,0.6299436775842653,0.08194916470636722,1.9530015164771042,0.4660453481715308,0.04195318603438846
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.3153116113189505,0.10016510294259959,0.05392729320524297,0.05324882017064912,0.1430586439327063,49.08607218777867,0.8262896487806661,0.08949739816542539,0.11266700437853781,0.08097017432706953,0.10993230082497765,1.9700355867631465,0.37771194960244747,0.14189022509352775,0.7252167060335861,0.37771194960244736,0.3777119496024473,0.699331441557039,0.6993314415570391,0.6993314415570391,0.6993314415570389,0.6993314415570392,0.699331441557039,0.09167639844891305,1.970035586763148,0.515978644659213,0.056092457647855774
