e_v1,e_v2,e_v3,e_v4,e_v5,e_v6,e_v7,e_v8,e_v9,e_v10,e_v11,e_v12,e_v13,e_v14,e_v15,e_v16,e_v17,e_v18,e_v19,A,J,P,Q,D,B,O,F,H,M,E,R,I,C,N,G,L,v_v1,v_v2,v_v3,v_v4,v_v5,v_v6,v_v7,v_v8,v_v9,v_v10,v_v11,v_v12,v_v13,v_v14,v_v15,v_v16,v_v17,v_v18,v_v19
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.10784163335848918,6.9134957855567105,0.0846408662335757,0.023942433350611816,0.3965243288987312,0.01314947912364443,0.19355963423898334,12.229692796463718,1.2563255882584703,16.876848950983018,0.06516217247225911,0.10437556163511534,0.01192203884628826,1.8401411391119071,0.852311990245188,0.852311990245188,0.9878291488667195,0.9878291488667194,0.6676813960459334,0.6676813960459328,0.014439306864256034,0.30570844595653035,0.3057084459565308,0.30570844595653074,0.3057084459565303,0.005957427568625533,0.008481879295630485,0.008481879295630497,0.008481879295630412,0.008481879295630724,0.02754352226805089,-0.01906164297242042
0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.04964438073710112,0.7930213426050886,0.08290328736265895,0.01115977448393446,0.27087786444406514,0.012483877903645977,0.09228479055652762,1.1808946818547899,0.9355493806892373,2.766690564932658,0.06326194754231847,0.06743160118003193,0.010963255226822352,1.2700324165966486,0.7327802150080898,0.7327802150080898,0.5372522015885584,0.5372522015885582,0.39807930580570505,0.3980793058057049,0.006771699371440243,0.1324011964114133,0.13240119641141374,0.1324011964114138,0.1324011964114133,0.002829459035777685,0.003942240335662564,0.003942240335662543,0.003942240335662629,0.003942240335662358,0.02311215295791059,-0.01916991262224802
1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.10984774431085398,7.276679200193421,0.08469708070750778,0.024379553341492662,0.40030842613036266,0.01317105036782948,0.19697127514506502,1.4506747243697107,1.2655943123724598,17.608148232474683,0.065223699763142,0.10551578105791526,0.011953110789557327,1.7545461273974101,0.7545633696302902,0.75456336963029,0.9999827577671191,0.9999827577671194,0.6748954455299108,0.6748954455299113,0.014690846648337247,0.310396465588871,0.31039646558887085,0.3103964655888709,0.3103964655888711,0.006062335439046493,0.008628511209290764,0.008628511209290764,0.008628511209290823,0.008628511209290549,0.027686652015860957,-0.01905814080657017
1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.12049617916755746,9.404579645564468,0.08499176466841588,0.02669599966525646,0.4199598865412603,0.013284168322130597,0.2150127769180934,43.59413119354485,1.3134102447760014,21.777467646086706,0.06554628633346575,0.11146157232728612,0.012116048759614102,1.3207632487406038,0.2589416050538559,0.2589416050538559,1.0618216436867476,1.0618216436867476,0.7114919609821121,0.7114919609821112,0.016012992975147074,0.33431668972948964,0.33431668972948975,0.3343166897294897,0.3343166897294895,0.0066160580791929284,0.009396934895954124,0.009396934895954116,0.009396934895954154,0.009396934895954173,0.02843671747908304,-0.019039782583128956
1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.07656386754384198,7.847836459972351,0.08373396088161544,0.017097324297473595,0.3334736251166788,0.012801796889635404,0.13975728292719236,13.92395136553952,1.0987313259925808,7.63599497781535,0.06416999606912571,0.0856083986795265,0.011421217651868732,1.6273819666428422,0.8541239303860877,0.8541239303860877,0.7732580362567546,0.773258036256754,0.539505851869749,0.5395058518697486,0.010411262239451387,0.22334092214755452,0.22334092214755424,0.22334092214755466,0.22334092214755438,0.004297025302640708,0.0061142369368106676,0.006114236936810682,0.006114236936810651,0.006114236936810676,0.025232385323573366,-0.019118148386762717
1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.06800411089442236,8.171063918863329,0.08347516373985266,0.015214051670809494,0.3145980871928798,0.01270269374201598,0.12479884875894974,14.510112854897384,1.050291128514748,25.197619253140736,0.06388701793091853,0.08007785896290848,0.011278460995332518,1.5591566311800635,0.8546537375094632,0.8546537375094629,0.7045028936706009,0.7045028936706009,0.49825993573813976,0.49825993573814015,0.009272220438858097,0.19697073749360272,0.19697073749360286,0.1969707374936026,0.1969707374936028,0.0038343250884853974,0.0054378953503727,0.005437895350372719,0.0054378953503726865,0.0054378953503726735,0.024572170063071393,-0.0191342747126987
1.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.12089414798189052,7.201954524903422,0.08500265939157571,0.02678245050706358,0.4206808404469613,0.01328835163246813,0.15057794821086176,12.752736494169488,1.3151545423115154,18.548919353403782,0.06555821431739876,0.11168047819169186,0.012122074476465178,1.7718445130712779,0.852921877566286,0.852921877566286,0.9189226355049921,0.9189226355049918,0.5676796463801482,0.5676796463801485,0.01606198771231176,0.33518100141253215,0.33518100141253204,0.33518100141253193,0.33518100141253204,0.0066366512743364055,0.009425336437975355,0.009425336437975378,0.009425336437975348,0.00942533643797529,0.028464440321170143,-0.0190391038831948
1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.17034222048564596,8.073812683159286,0.0862949029019638,0.037457141588026814,0.5040684170403444,0.013785169494418196,0.3419805528408402,14.333749039630003,1.5125647996097524,24.450263134256886,0.06697386231488679,0.13735513694475415,0.012837685744051806,1.5794129660333764,0.8544988190125153,0.8544988190125153,0.7249141470208617,0.7249141470208613,0.27358022621914285,0.27358022621914196,0.021930553469032214,0.4294033673326874,0.42940336733268725,0.4294033673326872,0.42940336733268736,0.009140372456220241,0.012790181012811987,0.012790181012811977,0.012790181012811978,0.012790181012812037,0.03174879294121328,-0.018958611928401294
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.10812915564898885,6.920186924444921,0.08388910044614983,0.018241012229668514,0.39706834911058553,0.012861229597773643,0.19404885959580911,12.241825129987234,1.257659348152314,16.9142198790382,0.06433966368144665,0.10453939078269307,0.011506828990056946,1.83852895578186,0.8523267171009951,0.8523267171009952,0.9862022386808647,0.9862022386808642,0.668721856516074,0.6687218565160741,0.011096298159195724,0.3063840840055947,0.30638408400559425,0.3063840840055943,0.30638408400559475,0.004576768827658518,0.00651952933153721,0.006519529331537207,0.006519529331537155,0.006519529331537354,0.025628010945069377,-0.019108481613532173
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.1886783451426539,6.245621461738772,0.08674566866527482,0.04138278220401016,0.34509289038834606,0.013958764351997489,0.32841848563321285,11.018783814472288,1.1282458722796296,13.457172065957948,0.06746806957778101,0.08903338755922924,0.013087723622425858,2.008160848369643,0.85068212796054,0.8506821279605402,1.1574787204091033,1.157478720409103,0.8943151924336982,0.8943151924336978,0.02400413235177402,0.23915939562363137,0.23915939562363162,0.23915939562363148,0.23915939562363128,0.010042036176242426,0.0139620961755316,0.013962096175531572,0.013962096175531628,0.01396209617553154,0.03289263519029465,-0.01893053901476303
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.1256515650913107,6.732665484587811,0.08513224984713617,0.027815225291844985,0.3819760522864684,0.013338118020271463,0.223709020151362,11.901817724587724,1.220500472990568,15.891269319674977,0.06570010436211862,0.12809849271689322,0.012193758734012362,1.8842288399406715,0.8519028323560524,0.8519028323560522,1.0323260075846195,1.03232600758462,0.7282515375790511,0.7282515375790515,0.016645391341190086,0.28742907866437784,0.287429078664378,0.28742907866437734,0.28742907866437795,0.006882266870807296,0.009763124470382785,0.009763124470382781,0.00976312447038276,0.009763124470382767,0.028794155466877178,-0.0190310309964944
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.09840942445248246,7.404019159952714,0.08437350339701982,0.021884146440520152,0.438654875698235,0.013046915924664481,0.17746070523640534,13.119141007614164,1.1047477247008466,19.79797997098228,0.06486958483670577,0.11189870167747144,0.01177430259150143,1.7254297328385548,0.8533206234731039,0.8533206234731039,0.8721091093654513,0.8721091093654515,0.6322826212934514,0.6322826212934513,0.013245921774866807,0.22658056629713327,0.22658056629713386,0.22658056629713327,0.22658056629713336,0.005461643221824721,0.00778427855304207,0.007784278553042104,0.00778427855304203,0.007784278553042067,0.02686257875929464,-0.019078300206252556
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.08951391186627244,7.908172869068733,0.0841165980859155,0.019938303455885757,0.4871015501948211,0.0129484145484644,0.1621830768163863,14.03336770251047,1.6832564067102462,23.221406233130654,0.06458850926146421,0.12081307494926188,0.011632415913753686,1.6144489304183156,0.8542261358765963,0.8542261358765965,0.7602227945417187,0.7602227945417189,0.5964669142801,0.5964669142800991,0.01210384489756797,0.15165203536405195,0.15165203536405206,0.15165203536405217,0.15165203536405192,0.004990195474991882,0.00711364942257608,0.007113649422576078,0.007113649422576123,0.007113649422575976,0.026207956131388096,-0.019094306708812007
