e_v1,e_v2,e_v3,e_v4,e_v5,e_v6,e_v7,e_v8,e_v9,e_v10,e_v11,e_v12,e_v13,e_v14,e_v15,e_v16,e_v17,e_v18,e_v19,A,J,P,Q,D,B,O,F,H,M,E,R,I,C,N,G,L,v_v1,v_v2,v_v3,v_v4,v_v5,v_v6,v_v7,v_v8,v_v9,v_v10,v_v11,v_v12,v_v13,v_v14,v_v15,v_v16,v_v17,v_v18,v_v19
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.10784163335848918,6.9134957855567105,0.0846408662335757,0.023942433350611816,0.3965243288987312,0.01314947912364443,0.19355963423898334,12.229692796463718,1.2563255882584703,16.876848950983018,0.06516217247225911,0.10437556163511534,0.01192203884628826,1.8401411391119071,0.852311990245188,0.852311990245188,0.9878291488667195,0.9878291488667194,0.6676813960459334,0.6676813960459328,0.014439306864256034,0.30570844595653035,0.3057084459565308,0.30570844595653074,0.3057084459565303,0.005957427568625533,0.008481879295630485,0.008481879295630497,0.008481879295630412,0.008481879295630724,0.02754352226805089,-0.01906164297242042
5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.14722531087272564,16.335316556431614,0.0857054306826178,0.03248306004300006,0.4664865286838435,0.013558385745200617,0.25985842005536375,29.319061730940607,1.424618258784718,34.41587423050042,0.06632788926878115,0.1256980381772756,0.012511032238937334,2.0610469350787177,0.8610621548454517,0.8610621548454515,1.1999847802332666,1.199984780233267,0.7924559803092097,0.7924559803092104,0.01923950696040179,0.38828929296365494,0.38828929296365466,0.38828929296365433,0.3882892929636549,0.007983277146383503,0.011256229814018208,0.011256229814018205,0.011256229814018198,0.011256229814018361,0.03025155666426357,-0.018995326850245412
1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.10763175296010685,6.876172951449176,0.084634972037123,0.023896688476822175,0.39612685851020507,0.013147217473371045,0.19320246330965518,38.80002356080952,1.2553508557552084,16.80132557833203,0.06515572140113297,0.10425588534273976,0.011918781086117118,1.8491586792348802,0.8626107661666074,0.8626107661666067,0.9865479130682739,0.9865479130682735,0.6669205098222503,0.6669205098222498,0.014412944980872238,0.3052144582651519,0.3052144582651521,0.30521445826515214,0.305214458265152,0.005946441178336837,0.008466503802535379,0.008466503802535386,0.008466503802535372,0.008466503802535377,0.027528513985983147,-0.019062010183447768
1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.07775513003038158,2.7763131357549824,0.08376960013098927,0.01735907484446935,0.3360366497834212,0.012815448409123532,0.14183010633865364,0.26985506249961,1.1052612339948058,7.915349171335588,0.0642089706075971,0.08636256310406387,0.01144088236715805,3.1864511465339733,2.4040190494265725,2.404019049426573,0.7824320971074006,0.7824320971074008,0.5450068982580335,0.5450068982580335,0.010568484087338988,0.22685671476202818,0.2268567147620282,0.22685671476202857,0.22685671476202812,0.004361131897044016,0.006207352190294978,0.006207352190294986,0.006207352190294962,0.006207352190294921,0.02532327986414741,-0.019115927673852378
1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.14174153329541403,6.185827103774344,0.08556192331540705,0.03129894667867709,0.45723364095987296,0.013503214303530386,0.250704314845319,10.910380211079781,1.402715299424191,31.566161265340085,0.06617067964211758,0.12284931498981837,0.012431563846943964,2.0239223128797805,0.8505189189352416,0.8505189189352413,1.1734033939445392,1.1734033939445387,0.7769774899219714,0.7769774899219718,0.01858792386169401,0.3778379801608729,0.37783798016087233,0.37783798016087267,0.3778379801608728,0.0077053796870273404,0.010882544174666716,0.010882544174666742,0.010882544174666721,0.010882544174666688,0.029886809914030678,-0.01900426573936397
1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.1874895042560137,5.475312923282557,0.08671687174791226,0.04112877959058717,0.5306353509159332,0.013947669814475021,0.32646606505367004,9.622392187854919,1.573807259244158,10.188242495497182,0.06743649132085651,0.14567744980570646,0.013071743664989305,2.221146907084798,0.8483045632572388,0.8483045632572392,1.3728423438275588,1.3728423438275588,0.8917171085680494,0.8917171085680492,0.02387125680845525,0.4572539784510549,0.45725397845105425,0.4572539784510549,0.4572539784510549,0.009983999609335466,0.013887257199119804,0.013887257199119794,0.013887257199119799,0.013887257199119958,0.03281958956466515,-0.018932332365545364
1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.10318718813101463,6.802887325559496,0.08450956864374283,0.022927378446759017,0.3876377450072739,0.013099105326650222,0.21246679503099306,12.029140220339274,1.2344787908586932,16.268473269502657,0.06501847838462901,0.10170391536460095,0.011849478517837998,1.8669887555237799,0.8520643211593875,0.8520643211593876,1.0149244343643922,1.0149244343643924,0.7064801159330293,0.7064801159330278,0.013852641229097013,0.2945916772022676,0.2945916772022673,0.29459167720226775,0.2945916772022674,0.005713300797031453,0.008139340432065571,0.008139340432065592,0.008139340432065531,0.008139340432065652,0.027209163398957705,-0.01906982296689213
1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.04825793891470097,5.035114850552744,0.08285912972122786,0.010852779667113939,0.26736061506880393,0.012466992101967934,0.0583169938257216,8.824572291107234,0.9261524261497913,8.597818667969925,0.063213696249543,0.06642446007095085,0.010938930834566781,2.3533245725652674,0.8466164973953466,0.8466164973953468,1.506708075169921,1.5067080751699207,1.3731512108932835,1.3731512108932837,0.006579566022947347,0.12697729825368992,0.12697729825368975,0.12697729825369022,0.12697729825368995,0.0027528768884649,0.0038266891344824355,0.0038266891344824043,0.003826689134482448,0.003826689134482338,0.02299935371108629,-0.019172664576603833
1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.10769989217676837,6.9101912923423,0.08500901007129362,0.026832870634449606,0.3962559332098346,0.013290790180785968,0.19331842657020396,12.223701113967985,1.2556674153376215,16.858417034759057,0.06556516735378613,0.10429474721417553,0.012125587005177196,1.840937832604638,0.8523047066345867,0.8523047066345868,0.9886331259700516,0.9886331259700513,0.6671676658979508,0.6671676658979508,0.016090551139705842,0.30537490893239455,0.30537490893239444,0.3053749089323946,0.30537490893239455,0.0066486593183008105,0.009441891821405004,0.009441891821404983,0.009441891821405013,0.009441891821404983,0.028480600081983515,-0.019038708260578515
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.07036762474867402,7.3920211689244635,0.08354710405341019,0.015734495734536412,0.4376874553113565,0.012730237379034361,0.12894078425701486,13.097384713625987,1.3561037099879187,19.721944085697608,0.06396567328118045,0.11685989677162317,0.011318137338872599,1.7281538312742568,0.8532975596980824,0.8532975596980825,0.8748562715761744,0.8748562715761743,0.5099609374741066,0.5099609374741056,0.00958838534426719,0.3553069487578017,0.3553069487578019,0.35530694875780156,0.3553069487578015,0.003962449448718023,0.005625935895549158,0.005625935895549168,0.005625935895549139,0.005625935895549109,0.024755727740197436,-0.01912979184464826
