e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,e_vATP,Glyc,Trh,CO2,SUCC,GLCo,ETOH,GLY,SUM_P,F26BP,ATP,ADP,AMP,GLCi,G6P,F6P,F16P,TRIO,BPG,P3G,P2G,PEP,PYR,ACE,P,NAD,NADH,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH,v_vATP
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.508390624954269,1.292100387862084,0.2995089871836465,0.09875869199169003,1.0332456136818131,0.11281281458550199,0.6019076395836981,0.7775235367088307,0.00032957388691956074,0.3564840378592987,0.04484371111903232,0.0736168424706368,8.523152463551881,0.17011445161350183,6.3088816377706225,1.5455597670249477,0.04444023297505029,88.14952688218204,77.34952688218199,6.0,2.4,77.34952688218208,77.34952688218198,136.49680744171928,136.49680744171903,136.49680744171923,136.4968074417193,136.49680744171923,136.4968074417193,3.640449264528939,88.149526882182,129.2159089126613,18.202246322644694,84.53276406095888
0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.423917926234967,1.3418220437734707,0.3342600299915621,0.1259192516342596,0.9463044127558935,0.10035688808673335,0.5610175337658708,0.7500576426160768,0.00029149249738418394,0.33388855616791663,0.041778903605751365,0.06718138271195104,8.060553651166877,0.1681455152101396,6.189657896243404,1.545385669655447,0.044614330344553,86.4312152355381,75.63121523553811,6.0,2.4,75.6312152355381,75.63121523553806,133.27086034359132,133.27086034359155,133.27086034359132,133.2708603435913,133.27086034359138,133.2708603435913,3.598314025496987,86.4312152355381,126.07423229259739,17.991570127484927,81.68603411411839
1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.564405827315423,1.2579216338674015,0.277672538817175,0.08127442271074777,1.097926993726674,0.1221457388155843,0.6313109775427153,0.7967133349394693,0.0003586995972254562,0.3730400398375452,0.04710392181227713,0.07847435338783477,8.862001871032696,0.17143531888960306,6.386733288498248,1.5456759685473456,0.04432403145265487,89.29124895992742,78.49124895992746,6.0,2.4,78.49124895992739,78.49124895992747,138.63891879866742,138.6389187986679,138.63891879866736,138.6389187986674,138.63891879866748,138.6389187986674,3.668715824237505,89.29124895992747,131.3014871501923,18.343579121187553,86.42047638052976
1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.507307086428928,1.2927521356739924,0.2999407778970793,0.09910092018149237,1.1321979576483583,0.11264123929740757,0.6013580997376975,0.777160608106439,0.00032904342402711935,0.3561770967839644,0.04480192101097501,0.07352789408112345,8.516868793058268,0.17008904123972077,6.307366308531848,1.5455575297975446,0.04444247020245368,88.12746278403763,77.3274627840376,6.0,2.4,77.32746278403768,77.3274627840376,136.45539815542503,136.45539815542483,136.4553981554251,136.4553981554251,136.455398155425,136.4553981554251,3.639905482530024,88.1274627840376,129.1755871903651,18.199527412650113,84.49624881265488
1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.5092274807689448,1.2915967738747303,0.29917574535632463,0.09849448327656754,0.956841495272999,0.11294555155696483,0.6023325454072429,0.777804043380386,0.00032998439179051715,0.35672142764957926,0.04487603468750294,0.07368566377370572,8.528012260380082,0.17013408022656,6.31005173541262,1.5455614951067842,0.04443850489321728,88.1665682688954,77.36656826889545,6.0,2.4,77.36656826889542,77.36656826889538,136.52878995354897,136.52878995354953,136.52878995354897,136.52878995354897,136.52878995354905,136.52878995354894,3.640869316848384,88.16656826889547,129.24705131985223,18.204346584241947,84.56096610191345
1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.581281085557306,1.2474397790594927,0.27127913538320114,0.09596198356713376,1.096236204327264,0.12260573850017113,0.6247545736803948,0.7928404631478891,0.00036070837364073495,0.37038689419275317,0.04679387227704308,0.0783791465100416,8.749858599669832,0.17113253125678707,6.410001950174104,1.5456702373023663,0.044329762697632315,88.33023947390728,78.1302394739073,5.4,2.4,78.13023947390731,78.13023947390734,137.94929810333844,137.94929810333826,137.94929810333835,137.94929810333846,137.94929810333838,137.9492981033384,3.662236168895243,88.33023947390731,130.62482576554802,18.311180844476215,86.98917258328122
1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.43453245338012,1.335696500585899,0.32977104603398066,0.1018047201656914,0.9757384281013617,0.10393488759212682,0.5802477970843957,0.7627886941412535,0.00030186098291611806,0.34354792719270466,0.043040712388279355,0.06931264996637601,8.303811009797373,0.1691031297872556,6.204761407346139,1.5454527710411539,0.04454722895884284,87.95352068158813,76.55352068158697,6.6000000000000005,2.4,76.55352068160335,76.55352068158547,135.01300647593794,135.01300647587416,135.01300647592623,135.01300647592055,135.01300647581,135.01300647526026,3.61880697744727,87.95352068158633,127.77539252119269,18.09403488724029,82.04374367891005
1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.55890332585369,1.2613210280982434,0.27977564604806604,0.09680538708031451,1.078172702050913,0.11970587727571373,0.6189843630266112,0.7889374096439216,0.00035135956485711365,0.3666908333822395,0.04626683038460269,0.07700339811400003,8.698459491897971,0.17088214338457253,6.379127679805624,1.5456395740241113,0.04436042597589241,88.27566611964363,77.95566611964362,6.0,2.16,77.95566611964355,77.95566611964362,137.62694289713804,137.62694289713843,137.626942897138,137.62694289713806,137.62694289713812,137.62694289713806,3.6568778684298517,88.27566611964366,130.31318716027823,18.28438934214926,86.23504208126937
1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.457416280555672,1.3223700876793565,0.3202136317649713,0.10083141637409497,0.9911247563178053,0.10638197185026144,0.5854769736187874,0.7664136191882229,0.0003095114804632143,0.3467898240470829,0.04349804568345287,0.07046496853201077,8.352847778695134,0.169349762325439,6.2372026487907,1.5454814418289933,0.04451855817100164,88.01605872371385,76.73605872371381,6.0,2.64,76.73605872371382,76.73605872371382,135.3516928786057,135.3516928786057,135.35169287860563,135.35169287860566,135.3516928786057,135.3516928786057,3.6240849137643942,88.01605872371383,128.10352305107688,18.120424568821974,82.81492865472615
1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,50.0,0.15,4.1,0.02,2.5075503921779827,1.2926058186627754,0.2998437891592416,0.09902406018679764,1.1099758790654972,0.12680116264236255,0.601481436957236,0.7772420768870828,0.00032916243530843516,0.35624597792362667,0.044811298829765964,0.07354785155595804,8.518278924885836,0.1700947466587081,6.30770660301874,1.545558032137191,0.04444196786280746,88.13241715767352,77.33241715767346,6.0,2.4,77.33241715767348,77.33241715767349,136.46469642286522,136.46469642286525,136.4646964228652,136.4646964228652,136.4646964228652,136.4646964228652,3.6400275784963534,88.13241715767347,129.1846412658725,18.20013789248175,84.50444821639802
