e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,e_vATP,CO2,GLCo,ETOH,GLY,F26BP,P,G6P,TRIO,NAD,ACE,P2G,BPG,GLCi,F6P,PEP,PYR,F16P,P3G,NADH,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH,v_vATP
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.308881638,1.033245614,0.777523537,1.545559767,0.170114452,0.044843711,0.000329574,0.098758692,0.112812815,0.073616842,8.523152464,0.60190764,0.356484038,0.044440233,88.14952688,77.34952688,6,2.4,77.34952688,77.34952688,136.4968074,136.4968074,136.4968074,136.4968074,136.4968074,136.4968074,3.640449265,88.14952688,129.2159089,18.20224632,84.53276406
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14.01571635,50,0.15,0.02,5.928453505,0.795053765,0.696128325,1.545008008,0.163999111,0.036307482,0.000228026,0.097855621,0.079041355,0.05617171,7.226050916,0.484947668,0.293078495,0.044991992,82.78238562,71.98238562,6,2.4,71.98238562,71.98238562,126.4168664,126.4168664,126.4168664,126.4168664,126.4168664,126.4168664,3.509580973,82.78238562,119.3977044,17.54790486,75.63063762
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24.1026266,50,0.15,0.02,6.147526918,0.918605855,0.74083081,1.54532476,0.167462872,0.04079281,0.000279609,0.098280135,0.096415037,0.065150153,7.910960917,0.547602227,0.326580155,0.04467524,85.83225896,75.03225896,6,2.4,75.03225896,75.03225896,132.1459907,132.1459907,132.1459907,132.1459907,132.1459907,132.1459907,3.583705452,85.83225896,124.9785797,17.91852726,80.69264158
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31.3620314,50,0.15,0.02,6.219267063,0.966664866,0.756683867,1.545428614,0.168629117,0.042500376,0.000300303,0.098474078,0.103263249,0.068679932,8.169772289,0.570752007,0.33922358,0.044571386,86.85468509,76.05468509,6,2.4,76.05468509,76.05468509,134.0660546,134.0660546,134.0660546,134.0660546,134.0660546,134.0660546,3.608663107,86.85468509,126.8487284,18.04331554,82.38808667
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36.58652102,50,0.15,0.02,6.253490915,0.991178056,0.764497848,1.545478457,0.169192348,0.043365699,0.000310998,0.098577017,0.106771467,0.070490772,8.300508338,0.582338369,0.345609175,0.044521543,87.34681478,76.54681478,6,2.4,76.54681478,76.54681478,134.9900484,134.9900484,134.9900484,134.9900484,134.9900484,134.9900484,3.620716238,87.34681478,127.7486159,18.10358119,83.20360223
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40.34651136,50,0.15,0.02,6.272694438,1.005416435,0.768958935,1.545506545,0.169510504,0.043866855,0.000317253,0.098637851,0.108813439,0.07154613,8.376094754,0.58900476,0.349301019,0.044493455,87.62422879,76.82422879,6,2.4,76.82422879,76.82422879,135.5108337,135.5108337,135.5108337,135.5108337,135.5108337,135.5108337,3.627524782,87.62422879,128.2557841,18.13762391,83.66311064
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43.05252253,50,0.15,0.02,6.284459461,1.014318282,0.771720312,1.545523804,0.16970621,0.044179688,0.000321181,0.098676238,0.110091575,0.072207324,8.423228973,0.593149907,0.351603217,0.044476196,87.79464492,76.99464492,6,2.4,76.99464492,76.99464492,135.8307254,135.8307254,135.8307254,135.8307254,135.8307254,135.8307254,3.631712894,87.79464492,128.5672996,18.15856447,83.94530933
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,45,50,0.15,0.02,6.29205906,1.020142337,0.773515727,1.545534974,0.169832953,0.04438417,0.000323757,0.098701492,0.1109284,0.072640502,8.454017772,0.595852685,0.353107077,0.044465026,87.90491191,77.10491191,6,2.4,77.10491191,77.10491191,136.0376978,136.0376978,136.0376978,136.0376978,136.0376978,136.0376978,3.634425201,87.90491191,128.7688474,18.172126,84.12787102
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,46.40157163,50,0.15,0.02,6.297137139,1.024066823,0.774720633,1.545542448,0.169917789,0.044521877,0.000325496,0.098718569,0.111492548,0.072932664,8.474743308,0.597669897,0.354119419,0.044457552,87.97867496,77.17867496,6,2.4,77.17867496,77.17867496,136.1761465,136.1761465,136.1761465,136.1761465,136.1761465,136.1761465,3.636240691,87.97867496,128.9036651,18.18120345,84.24998025
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,47.41026266,50,0.15,0.02,6.300607572,1.026764156,0.775546505,1.545547561,0.169975835,0.044616487,0.000326693,0.098730334,0.111880413,0.073133595,8.48897843,0.598917023,0.354814746,0.044452439,88.02912376,77.22912376,6,2.4,77.22912376,77.22912376,136.2708331,136.2708331,136.2708331,136.2708331,136.2708331,136.2708331,3.637482877,88.02912376,128.9958674,18.18741438,84.33348724
