e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,e_vATP,CO2,GLCo,ETOH,GLY,F26BP,P,G6P,TRIO,NAD,ACE,P2G,BPG,GLCi,F6P,PEP,PYR,F16P,P3G,NADH,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH,v_vATP
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.308881638,1.033245614,0.777523537,1.545559767,0.170114452,0.044843711,0.000329574,0.098758692,0.112812815,0.073616842,8.523152464,0.60190764,0.356484038,0.044440233,88.14952688,77.34952688,6,2.4,77.34952688,77.34952688,136.4968074,136.4968074,136.4968074,136.4968074,136.4968074,136.4968074,3.640449265,88.14952688,129.2159089,18.20224632,84.53276406
0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.189657896,0.946304413,0.750057643,1.54538567,0.168145515,0.041778904,0.000291492,0.125919252,0.100356888,0.067181383,8.060553651,0.561017534,0.333888556,0.04461433,86.43121524,75.63121524,6,2.4,75.63121524,75.63121524,133.2708603,133.2708603,133.2708603,133.2708603,133.2708603,133.2708603,3.598314025,86.43121524,126.0742323,17.99157013,81.68603411
1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.307366309,1.132197958,0.777160608,1.54555753,0.170089041,0.044801921,0.000329043,0.09910092,0.112641239,0.073527894,8.516868793,0.6013581,0.356177097,0.04444247,88.12746278,77.32746278,6,2.4,77.32746278,77.32746278,136.4553982,136.4553982,136.4553982,136.4553982,136.4553982,136.4553982,3.639905483,88.12746278,129.1755872,18.19952741,84.49624881
1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.41000195,1.096236204,0.792840463,1.545670237,0.171132531,0.046793872,0.000360708,0.095961984,0.122605739,0.078379147,8.7498586,0.624754574,0.370386894,0.044329763,88.33023947,78.13023947,5.4,2.4,78.13023947,78.13023947,137.9492981,137.9492981,137.9492981,137.9492981,137.9492981,137.9492981,3.662236169,88.33023947,130.6248258,18.31118084,86.98917258
1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.37912768,1.078172702,0.78893741,1.545639574,0.170882143,0.04626683,0.00035136,0.096805387,0.119705877,0.077003398,8.698459492,0.618984363,0.366690833,0.044360426,88.27566612,77.95566612,6,2.16,77.95566612,77.95566612,137.6269429,137.6269429,137.6269429,137.6269429,137.6269429,137.6269429,3.656877868,88.27566612,130.3131872,18.28438934,86.23504208
1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.307706603,1.109975879,0.777242077,1.545558032,0.170094747,0.044811299,0.000329162,0.09902406,0.126801163,0.073547852,8.518278925,0.601481437,0.356245978,0.044441968,88.13241716,77.33241716,6,2.4,77.33241716,77.33241716,136.4646964,136.4646964,136.4646964,136.4646964,136.4646964,136.4646964,3.640027578,88.13241716,129.1846413,18.20013789,84.50444822
1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.308639062,1.049085637,0.777465413,1.545559409,0.170110383,0.044837016,0.000329489,0.098813471,0.115700263,0.07360259,8.522145807,0.638354403,0.356434865,0.044440591,88.14599443,77.34599443,6,2.4,77.34599443,77.34599443,136.4901779,136.4901779,136.4901779,136.4901779,136.4901779,136.4901779,3.6403622,88.14599443,129.2094535,18.201811,84.52691806
1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.247491229,1.057528358,0.862562254,1.546658927,0.17418878,0.043889198,0.00031364,0.100713517,0.117490325,0.071216456,8.420022518,0.714630166,0.349719788,0.043341073,88.02364006,77.22364006,6,2.4,77.22364006,77.22364006,135.8090807,135.8090807,135.8090807,135.8090807,135.8090807,135.8090807,3.727639884,88.02364006,128.3538009,18.63819942,83.06032174
1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.30704473,1.033882783,0.779911187,1.545593729,0.170237492,0.044814317,0.000341957,0.098816073,0.112936262,0.073542432,8.520030504,0.604917883,0.356276121,0.044406271,88.14582667,77.34582667,6,2.4,77.34582667,77.34582667,136.4762417,136.4762417,136.4762417,136.4762417,136.4762417,136.4762417,3.643082326,88.14582667,129.1900771,18.21541163,84.48850078
1,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.307375235,1.033767749,0.779480918,1.545587624,0.170215359,0.044819601,0.000339724,0.098805744,0.112913979,0.073555808,8.520592053,0.604374758,0.370548223,0.044412376,88.14649272,77.34649272,6,2.4,77.34649272,77.34649272,136.479942,136.479942,136.479942,136.479942,136.479942,136.479942,3.642608682,88.14649272,129.1947247,18.21304341,84.4964639
1,1,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.304544346,1.034758639,0.783175914,1.545639849,0.170404862,0.051190604,0.000358905,0.098894287,0.113105876,0.073441412,8.515784581,0.609048372,0.397187798,0.044360151,88.14078352,77.34078352,6,2.4,77.34078352,77.34078352,136.4482468,136.4482468,136.4482468,136.4482468,136.4482468,136.4482468,3.646664048,88.14078352,129.1549187,18.23332024,84.42827036
1,1,1,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,50,50,0.15,0.02,6.306722358,1.033995152,0.780331154,1.545599683,0.170259078,0.047990831,0.000344136,0.09882615,0.112958028,0.084666604,8.519482843,0.605448282,0.37666768,0.044400317,88.14517688,77.34517688,6,2.4,77.34517688,77.34517688,136.4726324,136.4726324,136.4726324,136.4726324,136.4726324,136.4726324,3.643544269,88.14517688,129.1855439,18.21772134,84.48073399
