e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,e_vATP,CO2,GLCo,ETOH,GLY,F26BP,P,G6P,TRIO,NAD,ACE,P2G,BPG,GLCi,F6P,PEP,PYR,F16P,P3G,NADH,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH,v_vATP
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.308881638,1.033245614,0.777523537,1.545559767,0.170114452,0.044843711,0.000329574,0.098758692,0.112812815,0.073616842,8.523152464,0.60190764,0.356484038,0.044440233,88.14952688,77.34952688,6,2.4,77.34952688,77.34952688,136.4968074,136.4968074,136.4968074,136.4968074,136.4968074,136.4968074,3.640449265,88.14952688,129.2159089,18.20224632,84.53276406
1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.53874602,1.246827305,0.83782464,1.545913475,0.174118799,0.052288675,0.000428486,0.04764923,0.143781986,0.089937543,9.631865118,0.69654406,0.410713838,0.044086525,91.56983567,80.76983567,6,2.4,80.76983567,80.76983567,142.9089599,142.9089599,142.9089599,142.9089599,142.9089599,142.9089599,3.72614229,91.56983567,135.4566753,18.63071145,90.17367927
1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.312900474,0.770842468,0.77848793,1.545565704,0.170181895,0.044954929,0.000330987,0.097851422,0.113269633,0.073853721,8.539872201,0.603369096,0.357300763,0.044434296,88.20807234,77.40807234,6,2.4,77.40807234,77.40807234,136.6066819,136.6066819,136.6066819,136.6066819,136.6066819,136.6066819,3.641892561,88.20807234,129.3228967,18.20946281,84.62964882
1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,5.753457955,0.788268512,0.707260113,1.545036243,0.165003978,0.036885894,0.000215883,0.117258846,0.075627768,0.055456611,7.483542451,0.501645015,0.298683049,0.044963757,86.97199686,73.17199686,9,2.4,73.17199686,73.17199686,128.6885681,128.6885681,128.6885681,128.6885681,128.6885681,128.6885681,3.531085131,86.97199686,121.6263978,17.65542566,71.70880189
1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,5.934760244,0.846127211,0.724137935,1.545174656,0.16627957,0.038731179,0.000242983,0.110546756,0.084562555,0.05974018,7.71404136,0.524763751,0.312070871,0.044825344,87.39566612,74.19566612,6,3.6,74.19566612,74.19566612,130.5994182,130.5994182,130.5994182,130.5994182,130.5994182,130.5994182,3.5583828,87.39566612,123.4826526,17.791914,75.77397304
1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.311882786,0.83728652,0.778243461,1.5455642,0.170164809,0.044926712,0.000330628,0.09808112,0.077103644,0.073793602,8.535630736,0.60299846,0.357093575,0.0444358,88.19324294,77.39324294,6,2.4,77.39324294,77.39324294,136.5788513,136.5788513,136.5788513,136.5788513,136.5788513,136.5788513,3.641526921,88.19324294,129.2957974,18.20763461,84.60510898
1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.309537874,0.990394755,0.777680828,1.545560736,0.170125459,0.044861834,0.000329804,0.098610508,0.10500233,0.073655425,8.525877198,0.506462686,0.356617135,0.044439264,88.15908392,77.35908392,6,2.4,77.35908392,77.35908392,136.5147437,136.5147437,136.5147437,136.5147437,136.5147437,136.5147437,3.640684829,88.15908392,129.233374,18.20342415,84.54858023
1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.536322871,0.990058582,0.53931019,1.540759612,0.154357074,0.048968624,0.000402356,0.092126316,0.104103677,0.084335117,8.929026795,0.346535129,0.385440717,0.049240388,88.57926078,77.77926078,6,2.4,77.77926078,77.77926078,139.0423146,139.0423146,139.0423146,139.0423146,139.0423146,139.0423146,3.303241382,88.57926078,132.4358319,16.51620691,90.11314221
1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.314412783,1.031358937,0.77038866,1.545457089,0.169743545,0.044932546,0.000292636,0.098586313,0.112446988,0.073841906,8.532566877,0.592965572,0.357112247,0.044542911,88.16064453,77.36064453,6,2.4,77.36064453,77.36064453,136.5587297,136.5587297,136.5587297,136.5587297,136.5587297,136.5587297,3.632511872,88.16064453,129.293706,18.16255936,84.66612285
1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.313342162,1.031720402,0.771763343,1.545477012,0.169815388,0.044915313,0.000299745,0.098619632,0.112517111,0.073798224,8.530742977,0.594682239,0.315289475,0.044522988,88.15849539,77.35849539,6,2.4,77.35849539,77.35849539,136.5467443,136.5467443,136.5467443,136.5467443,136.5467443,136.5467443,3.634049299,88.15849539,129.2786457,18.1702465,84.6403006
1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.319347313,1.029715894,0.764091775,1.54536496,0.169412119,0.029939123,0.000260118,0.098433036,0.112128025,0.074043978,8.540983409,0.585140059,0.26087902,0.04463504,88.17053253,77.37053253,6,2.4,77.37053253,77.37053253,136.6139684,136.6139684,136.6139684,136.6139684,136.6139684,136.6139684,3.62541934,88.17053253,129.3631297,18.1270967,84.78519431
1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,50,50,0.15,0.02,6.314552387,1.031311935,0.770209633,1.54545449,0.169734176,0.036696558,0.00029171,0.09858197,0.112437869,0.045024322,8.532804761,0.592742225,0.304227776,0.04454551,88.16092466,77.36092466,6,2.4,77.36092466,77.36092466,136.5602925,136.5602925,136.5602925,136.5602925,136.5602925,136.5602925,3.632311363,88.16092466,129.2956698,18.16155682,84.66949024
1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,50,50,0.15,0.02,6.311051696,1.032499708,0.774714543,1.545519557,0.169969007,0.041705919,0.00031502,0.09869099,0.112668237,0.062602541,4.540059696,0.59837763,0.336359035,0.044480443,88.15389303,77.35389303,6,2.4,77.35389303,77.35389303,136.5211023,136.5211023,136.5211023,136.5211023,136.5211023,136.5211023,3.637336752,88.15389303,129.2464288,18.18668376,84.58507153
1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,50,50,0.15,0.02,5.935084215,0.903897562,0.755884243,1.532586911,0.12947712,0.039810879,0.000249384,0.110727913,0.090740779,0.061315863,7.94258123,0.571862135,0.32052712,0.057413089,87.38417877,76.58417877,6,2.4,76.58417877,76.58417877,132.3872798,132.3872798,132.3872798,132.3872798,132.3872798,132.3872798,4.156215551,87.38417877,124.0748487,20.78107776,75.78133982
