e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,e_vATP,CO2,GLCo,ETOH,GLY,F26BP,P,G6P,TRIO,NAD,ACE,P2G,BPG,GLCi,F6P,PEP,PYR,F16P,P3G,NADH,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH,v_vATP
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.02,6.308881638,1.033245614,0.777523537,1.545559767,0.170114452,0.044843711,0.000329574,0.098758692,0.112812815,0.073616842,8.523152464,0.60190764,0.356484038,0.044440233,88.14952688,77.34952688,6,2.4,77.34952688,77.34952688,136.4968074,136.4968074,136.4968074,136.4968074,136.4968074,136.4968074,3.640449265,88.14952688,129.2159089,18.20224632,84.53276406
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.042047149,0.02,6.255866442,1.009279906,0.769328961,1.546526489,0.17369576,0.044023993,0.000315791,0.100306692,0.108656791,0.071545968,8.435614641,0.591188267,0.350681668,0.043473511,88.04980992,77.24980992,6,2.4,77.24980992,77.24980992,135.9141735,135.9141735,135.9141735,135.9141735,135.9141735,135.9141735,3.717089273,88.04980992,128.4799949,18.58544637,83.26037003
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.07230788,0.02,6.271172092,1.016043092,0.771652088,1.546252973,0.172667228,0.04425629,0.00031967,0.099855254,0.109828377,0.072130401,8.460689369,0.594218625,0.352327917,0.043747027,88.07886739,77.27886739,6,2.4,77.27886739,77.27886739,136.0823413,136.0823413,136.0823413,136.0823413,136.0823413,136.0823413,3.695078688,88.07886739,128.692184,18.47539344,83.62663315
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.094086094,0.02,6.281967864,1.020888301,0.773311108,1.546057363,0.171939119,0.044422231,0.000322454,0.099539055,0.110668332,0.072549076,8.478471431,0.596386824,0.353502971,0.043942637,88.09923106,77.29923106,6,2.4,77.29923106,77.29923106,136.2009764,136.2009764,136.2009764,136.2009764,136.2009764,136.2009764,3.679497151,88.09923106,128.8419821,18.39748576,83.885502
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.109759563,0.02,6.289627004,1.02436407,0.774498613,1.545917215,0.171421234,0.044541031,0.000324454,0.099315833,0.111271195,0.072849411,8.491135566,0.597940909,0.354343731,0.044082785,88.11361245,77.31361245,6,2.4,77.31361245,77.31361245,136.2851529,136.2851529,136.2851529,136.2851529,136.2851529,136.2851529,3.668414403,88.11361245,128.9483241,18.34207201,84.06942326
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.121039534,0.02,6.295083155,1.02685978,0.775349969,1.545816675,0.171051638,0.044626212,0.000325891,0.099157373,0.111704225,0.07306506,8.500181879,0.599056168,0.354946317,0.044183325,88.12382418,77.32382418,6,2.4,77.32382418,77.32382418,136.3451231,136.3451231,136.3451231,136.3451231,136.3451231,136.3451231,3.660505043,88.12382418,129.0241131,18.30252521,84.20057776
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.129157568,0.02,6.298981277,1.028652956,0.77596101,1.545744484,0.17078724,0.044687352,0.000326925,0.099044446,0.112015439,0.073220003,8.506657654,0.599857181,0.355378713,0.044255516,88.13110306,77.33110306,6,2.4,77.33110306,77.33110306,136.3879714,136.3879714,136.3879714,136.3879714,136.3879714,136.3879714,3.654846936,88.13110306,129.0782776,18.27423468,84.29434901
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.135,0.02,6.301772046,1.029941962,0.776399914,1.545692614,0.170597776,0.044731271,0.000327668,0.098963743,0.112239193,0.073331383,8.511300349,0.60043283,0.355689248,0.044307386,88.1363056,77.3363056,6,2.4,77.3363056,77.3363056,136.4186491,136.4186491,136.4186491,136.4186491,136.4186491,136.4186491,3.650792411,88.1363056,129.1170643,18.25396205,84.36151744
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.139204715,0.02,6.30377299,1.030868859,0.776715348,1.545655328,0.170461844,0.044762835,0.000328202,0.098905954,0.11240011,0.073411473,8.514632454,0.600846692,0.355912398,0.044344672,88.14003133,77.34003133,6,2.4,77.34003133,77.34003133,136.4406454,136.4406454,136.4406454,136.4406454,136.4406454,136.4406454,3.647883451,88.14003133,129.1448785,18.23941726,84.40969434
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.142230788,0.02,6.305209161,1.031535529,0.776942136,1.545628516,0.170364232,0.04478553,0.000328587,0.098864514,0.11251586,0.073469078,8.517025792,0.601144323,0.356072823,0.044371484,88.14270319,77.34270319,6,2.4,77.34270319,77.34270319,136.4564335,136.4564335,136.4564335,136.4564335,136.4564335,136.4564335,3.645794568,88.14270319,129.1648444,18.22897284,84.44428243
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.144408609,0.02,6.30624075,1.032015114,0.777105235,1.545609232,0.170294095,0.044801851,0.000328864,0.098834768,0.112599134,0.073510518,8.5187458,0.601358412,0.356188188,0.044390768,88.1446212,77.3446212,6,2.4,77.3446212,77.3446212,136.4677742,136.4677742,136.4677742,136.4677742,136.4677742,136.4677742,3.644293631,88.1446212,129.179187,18.22146816,84.46913157
