e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,GLCo,ETOH,GLY,G6P,TRIO,ACE,P3G,PEP,GLCi,F6P,BPG,PYR,F16P,P2G,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.240981824,0.693960413,0.146704067,0.655901142,0.710718556,40.92814553,0.369112823,0.698693477,0.424314824,0.575383123,0.615137418,2.261813467,1.044855255,0.108441821,0.554258196,1.044855255,1.044855255,1.701092678,1.701092678,1.701092678,1.701092678,1.701092678,1.701092678,0.249396914,2.261813467,1.20229885,0.388617831
0.1,1,1,1,1,1,1,1,1,1,1,1,1,0.1,1,1,50,50,0.15,0.027685253,0.066666178,0.03631518,0.067452113,0.086896207,10.98391929,0.035672784,0.068886076,0.071452183,0.051589974,0.066085145,0.399650686,0.259840159,0.012458364,0.063676081,0.259840159,0.259840159,0.482347258,0.482347258,0.482347258,0.482347258,0.482347258,0.482347258,0.061735807,0.399650686,0.358875645,0.03733306
1,0.1,1,1,1,1,1,1,1,1,1,1,0.1,1,1,1,50,50,0.15,0.326240793,0.07488879,0.053191401,0.076045806,0.099787132,50.24761085,0.039887945,0.07746156,0.084945667,0.057902826,0.075107592,1.932334715,0.28481871,0.146808357,0.750353824,0.28481871,0.28481871,0.527699697,0.527699697,0.527699697,0.527699697,0.527699697,0.527699697,0.009042538,1.932334715,0.50961462,0.041937723
1,1,0.1,1,1,1,1,1,1,1,1,0.1,1,1,1,1,50,50,0.15,0.278934011,2.050573184,0.035277012,15.81077585,130.7442808,45.1548897,0.560284717,5.703517537,333.3917922,1.166116123,44.2868004,2.104426068,0.808777586,0.012552031,0.641548226,0.808777586,0.808777586,0.469234188,0.469234188,0.469234188,0.469234188,0.469234188,0.469234188,0.059970921,2.104426068,0.349292347,1.148320983
1,1,1,0.1,1,1,1,1,1,0.1,1,1,1,1,1,1,50,50,0.15,0.483498033,2.506060169,0.053663236,14.18640538,0.14213447,66.2306361,0.913014168,5.985747228,0.112014263,1.70063754,34.10258537,1.489756065,1.049772855,0.217574115,0.111204547,1.049772855,1.049772855,0.696152015,0.696152015,0.696152015,0.696152015,0.696152015,0.696152015,0.091227501,1.489756065,0.513697013,1.403393695
1,1,1,1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.329687831,0.065363314,0.035725664,0.066130289,0.085196216,50.61224706,1.069642423,0.067538116,0.070151522,0.744746214,0.064774364,1.920678103,0.255754554,0.148359524,0.758282012,0.255754554,0.255754554,0.474905651,0.474905651,0.474905651,0.474905651,0.474905651,0.474905651,0.060733629,1.920678103,0.353438394,0.036603456
1,1,1,1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.329687831,0.065363314,0.035725664,0.066130289,0.085196216,50.61224706,1.069642423,0.067538116,0.070151522,0.744746214,0.064774364,1.920678103,0.255754554,0.148359524,0.758282012,0.255754554,0.255754554,0.474905651,0.474905651,0.474905651,0.474905651,0.474905651,0.474905651,0.060733629,1.920678103,0.353438394,0.036603456
1,1,1,1,1,1,0.1,1,1,1,1,1,1,1,0.1,1,50,50,0.15,0.267771055,1.990824502,0.112074359,0.068130593,0.0976929,43.92622469,0.53781551,0.068631873,0.100504354,1.123522732,0.069339786,2.148724134,0.796480305,0.120496975,0.615873427,0.796480305,0.796480305,0.47809889,0.47809889,0.47809889,0.47809889,0.47809889,0.47809889,0.19052641,2.148724134,0.097046069,1.114861721
1,1,1,1,1,1,1,0.1,1,1,0.1,1,1,1,1,1,50,50,0.15,0.26857123,2.042882507,0.03253416,1.184495235,9.844486622,44.01467798,0.543327833,5.826024751,0.063195368,1.143119955,3.295688147,2.145496583,0.789211874,0.120857053,0.617713828,0.789211874,0.789211874,0.434409543,0.434409543,0.434409543,0.434409543,0.434409543,0.434409543,0.055308071,2.145496583,0.3237934,1.144014204
1,1,1,1,1,1,1,1,0.1,1,1,1,1,1,1,0.1,50,50,0.15,0.305781948,5.867065754,0.045013777,39.01133202,0.11328926,48.06625984,0.836091791,15.23471665,0.091228323,2.3364986,0.086555773,2.003868895,0.45967006,0.137601876,0.70329848,0.45967006,0.45967006,0.590784437,0.590784437,0.590784437,0.590784437,0.590784437,0.590784437,0.076523421,2.003868895,0.437737594,0.328555682
