e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,GLCo,ETOH,GLY,G6P,TRIO,ACE,P3G,PEP,GLCi,F6P,BPG,PYR,F16P,P2G,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.27019175746820284,0.35979048436808425,0.11169618358381879,0.3580532939435142,0.4260304364609552,44.19363180724238,0.5545824479862126,0.36999847770885574,0.28502591150221174,0.2822339620315754,0.3483867971738783,2.1389852177484143,0.7745168425338681,0.12158629086069128,0.6214410421768665,0.7745168425338658,0.7745168425338653,1.3475510138216016,1.3475510138216018,1.3475510138216016,1.3475510138216016,1.3475510138216,1.347551013821598,0.18988351209249194,2.1389852177482283,0.9677839896366153,0.2014826712461272
0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.18228443013758508,0.25886859007925517,0.09418087921425346,0.2606161661933372,0.32047707397136854,62.841852174965524,0.37521247773637684,0.26730494027429846,0.22603197301968694,0.2008829426962179,0.25604651545200013,1.5731663877990538,0.6526300156042489,0.08202799356191329,0.41925418931644565,0.6526300156042489,0.6526300156042488,1.1602936207641155,1.1602936207641152,1.1602936207641148,1.160293620764115,1.1602936207641152,1.1602936207641152,0.16010749466423088,1.5731663877990534,0.8400786314356534,0.1449664104443829
1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.28974437894296656,0.2227534867915736,0.08640935936404828,0.22492256047379658,0.2798305701010116,46.33427108413565,0.31190418190319075,0.23022330709935582,0.20185801646671714,0.17239940953801,0.2215404414522999,2.062962268978665,0.5997531553166842,0.13038497052433495,0.6664120715688231,0.5997531553166839,0.599753155316684,1.0747643580300867,1.074764358030087,1.0747643580300865,1.0747643580300872,1.074764358030087,1.074764358030087,0.14689591091888207,2.0629622689786657,0.7809725361923227,0.12474195260328123
1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2775459733712633,0.3680152525216842,0.11291143397609593,0.3658358481370326,0.4341474147861925,45.0027261114922,0.5692634183104978,0.37830038357545287,0.2893641966369184,0.28899197965328266,0.3556452442175353,2.1098503075167327,0.783180554802384,0.0499582752068274,0.6383557387539055,0.7831805548023844,0.7831805548023857,1.3602725681926353,1.3602725681926346,1.3602725681926349,1.3602725681926353,1.3602725681926389,1.3602725681926455,0.19194943775936307,2.109850307517173,0.9763736926739202,0.20608854141214317
1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.38063740993765716,0.48055309628291276,0.1272546789911264,0.4699186535106457,0.538797812667691,55.91573069108343,0.7703054140613905,0.4908085186166658,0.34314966663586166,0.3836369866114499,0.4511327188449251,1.7601678707195705,0.8885082019623354,0.17128683447194573,0.35018641714264453,0.8885082019623357,0.8885082019623355,1.5079066700062402,1.5079066700062402,1.5079066700062407,1.5079066700062402,1.5079066700062402,1.5079066700062405,0.2163329542849149,1.76016787071957,1.0752407614364103,0.2691097339184312
1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.29340401826933676,0.2027142736637052,0.08164588874577293,0.20495234748570626,0.25658950900658023,46.73130498277895,0.7301823714699642,0.20958651469687825,0.18761202905640653,0.15671317029860107,0.2020826614510743,2.049229963103727,0.5675396708435769,0.13203180822120156,0.6748292420194745,0.567539670843577,0.5675396708435769,1.0215593484354784,1.0215593484354786,1.0215593484354786,1.0215593484354784,1.0215593484354788,1.0215593484354788,0.138798010867814,2.049229963103727,0.7439633266998508,0.11351999325167493
1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.27749114674839476,0.30203964910688363,0.10232877826044075,0.3027295287200976,0.36702656467803946,44.996712241918864,0.6068284737525711,0.31141383555408836,0.25267163070303783,0.625292440896399,0.29629221741350564,2.110065041559137,0.7087347504797437,0.12487101603677764,0.6382296375213079,0.7087347504797438,0.7087347504797439,1.2483272974596327,1.2483272974596327,1.2483272974596324,1.2483272974596327,1.2483272974596324,1.2483272974596327,0.17395892304274926,2.1100650415591375,0.9004094513741342,0.16914220349985484
1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2698244403963949,0.753520255894941,0.09175097276724842,0.2490157873969893,0.3073903644110905,44.15309066214577,0.5520206852718194,0.25522433117100113,0.2183467988444675,0.4818204216557804,0.24487127206097004,2.1404581796739577,0.7778447556721636,0.12142099817837772,0.6205962129117083,0.7778447556721634,0.7778447556721635,1.1337181680431596,1.1337181680431594,1.1337181680431598,1.1337181680431596,1.1337181680431598,1.1337181680431594,0.15597665370432232,2.1404581796739564,0.821764860634515,0.421971343301167
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.26986227750327874,0.637712333940782,0.09764150864368462,0.27787622774793,0.33973441789968223,44.15726735964038,0.5522842791194217,0.9428954554482973,0.23718079842768053,0.42326839575387837,0.27260290070276805,2.140306371423542,0.7775018700412144,0.12143802487647544,0.620683238257541,0.7775018700412595,0.7775018700412422,1.1978848330755314,1.1978848330755834,1.1978848330754683,1.1978848330754746,1.197884833075441,1.19788483307536,0.16599056469426385,2.1403063714350314,0.8659037036867921,0.35711890700683796
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.26993821856854283,0.5414629605956145,0.10252322104348525,1.0224017312333094,0.36818975536451576,44.16564981015024,0.5528135279229042,0.7337560668575198,0.2533241099024509,0.37447956717195324,0.297307654930645,2.1400017393118147,0.7768137355406735,0.12147219835584427,0.6208579027076485,0.7768137355406737,0.7768137355406736,1.250408213147803,1.2504082131478034,1.250408213147803,1.2504082131478031,1.250408213147803,1.250408213147803,0.17428947577392492,2.140001739311815,0.9018292615999536,0.30321925793354415
