e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,GLCi,G6P,F6P,F16P,TRIO,BPG,P3G,P2G,PEP,PYR,ACE,GLCo,ETOH,GLY,v_EX_GLCo,v_EX_ETOH,v_EX_GLY,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,44.19363181,0.270191757,0.554582448,0.282233962,0.359790484,0.369998478,0.358053294,0.348386797,0.426030436,0.285025912,0.111696184,50,50,0.15,-2.1765197819169058,1.3966922871525795,0.24879199088166115,2.1765197819169058,0.8327421390171204,0.18701232320759642,0.5783826598460945,0.8327421390171204,0.8327421390171204,1.4166922871525796,1.4166922871525796,1.4166922871525796,1.4166922871525796,1.4166922871525796,1.4166922871525796,0.01,2.1765197819169058,1.3966922871525795,0.24879199088166115
1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,44.07989603,0.270854524,0.555907477,0.282843133,0.360532897,0.370748288,0.358756782,0.34904361,0.426765947,0.28542009,0.111806985,50,50,0.15,-2.1807278560844923,1.3979131868214378,0.24926671301960557,2.1807278560844923,0.8335899499205217,0.18753509861595496,0.5798014037740078,0.8335899499205217,0.8335899499205217,1.4179131868214379,1.4179131868214379,1.4179131868214379,1.4179131868214379,1.4179131868214379,1.4179131868214379,0.01,2.1807278560844923,1.3979131868214378,0.24926671301960557
1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,44.17504653,0.270023354,0.557147924,0.283413556,0.361227901,0.37145014,0.35941517,0.349658189,0.42745398,0.285788631,0.11191051,50,50,0.15,-2.1772067213388184,1.399053638235595,0.24971106714329627,2.177206721338818,0.8343823526894456,0.18678002876170163,0.5780221699438356,0.8343823526894456,0.8343823526894456,1.419053638235595,1.419053638235595,1.419053638235595,1.419053638235595,1.419053638235595,1.419053638235595,0.01,2.1772067213388184,1.399053638235595,0.24971106714329627
1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,44.18054615,0.270073184,0.554345351,0.282124975,0.359657637,0.369864298,0.357927391,0.348269233,0.425898765,0.284955323,0.111676333,50,50,0.15,-2.1770034193511805,1.3964735287074947,0.24870703783152548,2.1770034193511805,0.8325902832695101,0.18815546024164898,0.5781288379200107,0.8325902832695101,0.8325902832695101,1.4164735287074948,1.4164735287074948,1.4164735287074948,1.4164735287074948,1.4164735287074948,1.4164735287074948,0.01,2.1770034193511805,1.3964735287074947,0.24870703783152548
1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,44.06046013,0.268985602,0.55217005,0.28112527,0.358438772,0.368633074,0.356771944,0.347190104,0.42468984,0.284306899,0.111493874,50,50,0.15,-2.1814479716360826,1.3944623149807962,0.24792750034875044,2.1814479716360826,0.8311949076647733,0.18713561413148194,0.5815587249199137,0.8311949076647733,0.8311949076647733,1.4144623149807962,1.4144623149807962,1.4144623149807962,1.4144623149807962,1.4144623149807962,1.4144623149807962,0.01,2.1814479716360826,1.3944623149807962,0.24792750034875044
1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,44.16656245,0.269946487,0.552871168,0.283953539,0.361885652,0.372114302,0.360038108,0.350239564,0.428104679,0.286137001,0.112008308,50,50,0.15,-2.1775203957227864,1.4001307535489638,0.2501315498196035,2.1775203957227864,0.8351311516842836,0.18667399462100187,0.5778576247087505,0.8351311516842836,0.8351311516842836,1.4201307535489638,1.4201307535489638,1.4201307535489638,1.4201307535489638,1.4201307535489638,1.4201307535489638,0.01,2.1775203957227864,1.4001307535489638,0.2501315498196035
1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,44.18892949,0.270149147,0.554284948,0.280244599,0.360153721,0.370365345,0.358397511,0.348708194,0.426390367,0.285218834,0.111750423,50,50,0.15,-2.176693560771601,1.3972899740977471,0.24902426476327388,2.176693560771601,0.8331571194305105,0.18695354865440827,0.5782914463433411,0.8331571194305105,0.8331571194305105,1.4172899740977472,1.4172899740977472,1.4172899740977472,1.4172899740977472,1.4172899740977472,1.4172899740977472,0.01,2.176693560771601,1.3972899740977471,0.24902426476327388
1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,44.19413316,0.270196301,0.554614173,0.280949748,0.357262109,0.370859655,0.35886126,0.349141144,0.426875149,0.285478597,0.111823424,50,50,0.15,-2.1765012544058897,1.398094301051054,0.2473014878248878,2.1765012544058897,0.8326978944379709,0.18701859025552114,0.5783923848561988,0.8326978944379709,0.8326978944379709,1.418094301051054,1.418094301051054,1.418094301051054,1.418094301051054,1.418094301051054,1.418094301051054,0.01,2.1765012544058897,1.398094301051054,0.2473014878248878
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,44.19394992,0.27019464,0.554602577,0.281418219,0.358184442,0.366950686,0.358566343,0.34886582,0.426566875,0.285313424,0.111777009,50,50,0.15,-2.176508026186745,1.3975829181508013,0.24784521417803296,2.176508026186745,0.8327140661644171,0.1870162990884906,0.5783888304669186,0.8327140661644171,0.8327140661644171,1.4175829181508013,1.4175829181508013,1.4175829181508013,1.4175829181508013,1.4175829181508013,1.4175829181508013,0.01,2.176508026186745,1.3975829181508013,0.24784521417803296
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,44.19382116,0.270193473,0.55459443,0.281748003,0.358833725,0.368182494,0.354905621,0.348672103,0.426349952,0.285197174,0.111744334,50,50,0.15,-2.1765127842404306,1.3972228837731082,0.24822797133125363,2.1765127842404306,0.8327254275521809,0.1870146899552183,0.5783863333665157,0.8327254275521809,0.8327254275521809,1.4172228837731082,1.4172228837731082,1.4172228837731082,1.4172228837731082,1.4172228837731082,1.4172228837731082,0.01,2.1765127842404306,1.3972228837731082,0.24822797133125363
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,44.19373077,0.270192654,0.55458871,0.281979852,0.359290191,0.369048769,0.356406938,0.345585507,0.426197492,0.28511546,0.111721362,50,50,0.15,-2.176516124849979,1.396969747529106,0.24849706319126974,2.176516124849979,0.8327334053601879,0.18701355967972588,0.5783845799050327,0.8327334053601879,0.8327334053601879,1.416969747529106,1.416969747529106,1.416969747529106,1.416969747529106,1.416969747529106,1.416969747529106,0.01,2.176516124849979,1.396969747529106,0.24849706319126974
