e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,GLCo,ETOH,GLY,G6P,TRIO,ACE,P3G,PEP,GLCi,F6P,BPG,PYR,F16P,P2G,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.29366589450623015,0.2013370008153068,0.08130529057804924,0.2035758480323956,0.2549740761478201,46.75967398941769,0.27484028095481344,0.20816675530310425,0.18660960913201677,0.15563788649224447,0.2007376380007562,2.0482530492075504,0.5652402819510877,0.13214965252780358,0.6754315573643292,0.5652402819510877,0.5652402819510874,1.017731843445603,1.017731843445603,1.0177318434456033,1.0177318434456037,1.0177318434456033,1.017731843445603,0.1382189939826837,2.04825304920755,0.7412938554802357,0.11274872045657182
5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.3492123657418917,0.22722053493521083,0.08742462516271059,0.22935885565167743,0.28494419340620597,38.22916164911895,0.3196870720530579,0.23481797341846045,0.20494969390576273,0.1759070637526205,0.2258483994560652,2.3701575214672803,0.6066350744707274,0.15714556458385126,0.8031884412063508,0.6066350744707274,0.6066350744707275,1.0860266493777369,1.0860266493777364,1.0860266493777369,1.0860266493777369,1.0860266493777369,1.086026649377737,0.148621862776608,2.3701575214672794,0.788782923824521,0.12724349956371808
1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.26601236607815326,0.3969599106225571,0.11698525487434873,0.39303213800098347,0.4621774256157403,43.73160252756245,0.6209508453724571,0.4074314730959372,0.30415087193222007,0.3129412862431726,0.38087742849892875,2.15584699044833,0.8124845417536568,0.11970556473516897,0.6118284419797525,0.8124845417536568,0.8124845417536566,1.402671533558682,1.4026715335586817,1.4026715335586821,1.4026715335586823,1.4026715335586817,1.4026715335586823,0.19887493328639283,2.155846990448331,1.0049216669858956,0.222297549948632
1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.24849899002744996,0.17931995768676703,0.07560866164520852,0.18150760863383755,0.22883549540826664,41.776926012790604,0.23728516848804126,0.18544870233478833,0.17015733602854724,0.13849327822334614,0.1791097475237909,2.2290512381704315,0.5268331564823996,0.5591227275617624,0.5715476770631349,0.5268331564823995,0.5268331564823996,0.9532471366602095,0.9532471366602095,0.9532471366602093,0.9532471366602094,0.9532471366602095,0.9532471366602093,0.1285347247968545,2.2290512381704324,0.6961776870665004,0.10041917630458955
1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.1127297876033573,0.10412354094347594,0.051707241015139974,0.10547547889102571,0.1353710826253149,25.07553031162426,0.11659163943593692,0.10765792046218169,0.10721304860971377,0.08040974026420566,0.1038653849540729,3.008934368799069,0.36542084950060505,0.05072840442151079,1.296392557438609,0.3654208495006052,0.3654208495006067,0.6725325160728669,0.6725325160728667,0.6725325160728667,0.6725325160728663,0.6725325160728666,0.6725325160728671,0.08790230972573795,3.0089343687994186,0.49672789662139194,0.05830918292834653
1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.28717472429003893,0.23775333074002836,0.08975572896236265,0.23979582168156907,0.29690491787853746,46.05482811901941,0.10003492488548586,0.24564299271449935,0.21212316413813193,0.184194461440581,0.2359621072220675,2.072695144758405,0.6224627870937156,0.1292286259305175,0.6605018658670895,0.6224627870937156,0.6224627870937157,1.1117837089730152,1.1117837089730154,1.1117837089730156,1.1117837089730156,1.1117837089730154,1.1117837089730154,0.1525847392360165,2.0726951447584145,0.8066142305009824,0.1331418652144159
1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2927323651561498,0.2062804782565079,0.08251965159942293,0.20851424691466308,0.26076157694955876,46.65851946742393,0.2508568175799437,0.2132619205527218,0.1901934235102968,0.07094813776545521,0.20556084876452055,2.0517390115150618,0.5734405674764239,0.13172956432026742,0.6732844398591445,0.5734405674764234,0.573440567476423,1.0313640671292021,1.0313640671292024,1.0313640671292026,1.0313640671292024,1.0313640671292021,1.031364067129202,0.14028340771901898,2.051739011514955,0.7507972516911647,0.11551706782364443
1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2950641538149511,0.08358754651062718,0.0850051241603741,0.2188929010992872,0.2728517254865519,46.911053353155125,0.2602599664792244,0.22398451516603898,0.1976141240910425,0.10349220736381126,0.21567666363938034,2.0430497750536056,0.5529757982881024,0.132778869216728,0.6786475537743875,0.5529757982881022,0.5529757982881024,1.0591425705302533,1.0591425705302535,1.0591425705302537,1.0591425705302537,1.0591425705302535,1.0591425705302537,0.14450871107263596,2.0430497750536056,0.7701251483849817,0.046809026045951226
1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.29437610566313477,0.1411497105555828,0.08319894492385553,0.211314217117232,0.2640329998008267,46.836583099774764,0.2673595296052352,0.08072365686303869,0.19221007851106925,0.12886194611176083,0.20829270231115826,2.0456074749017312,0.5590081413029014,0.13246924754841066,0.6770650430252099,0.5590081413029011,0.5590081413029013,1.0389724446946762,1.0389724446946758,1.0389724446946762,1.0389724446946762,1.0389724446946762,1.0389724446946764,0.1414382063705544,2.0456074749017312,0.7560960319535676,0.07904383791112639
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2828499016020331,0.22179028884346177,0.09760682802294936,0.10305513835204716,0.33953773819078487,45.58325860609782,0.38601590357926857,0.18589525337637303,0.23706786868485955,0.18584198685123582,0.2724331382698834,2.0892480825929645,0.6608560795026911,0.1272824557209149,0.6505547736846761,0.6608560795026913,0.6608560795026914,1.1975095972530436,1.1975095972530434,1.1975095972530436,1.1975095972530436,1.1975095972530438,1.1975095972530434,0.1659316076390139,2.0892480825929547,0.8656463819750156,0.12420256175233861
