e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,GLCi,G6P,F6P,F16P,TRIO,BPG,P3G,P2G,PEP,PYR,ACE,GLCo,ETOH,GLY,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,46.75967399,0.293665895,0.274840281,0.155637886,0.201337001,0.208166755,0.203575848,0.200737638,0.254974076,0.186609609,0.081305291,50,50,0.15,0.562669160171233,0.532669160171233,0.01,0.01,0.532669160171233,0.532669160171233,1.0304737440200626,1.0304737440200626,1.0304737440200626,1.0304737440200626,1.0304737440200626,1.0304737440200626,0.01,0.562669160171233,1.0104737440200626,0.03486457632240336
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37.26461423,0.356237205,0.325264121,0.178418857,0.230416072,0.238103476,0.232528813,0.228923356,0.288587271,0.207143162,0.088141036,50,50,0.15,0.6062587721132074,0.5762587721132074,0.01,0.01,0.5762587721132074,0.5762587721132074,1.1076537750827578,1.1076537750827578,1.1076537750827578,1.1076537750827578,1.1076537750827578,1.1076537750827578,0.01,0.6062587721132074,1.0876537750827577,0.044863769143657084
1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,42.89158881,0.258452288,0.756097302,0.376812036,0.472602857,0.482927234,0.462710235,0.444611522,0.531768988,0.339653047,0.126360543,50,50,0.15,0.8609373365997954,0.8309373365997954,0.01,0.01,0.8309373365997954,0.8309373365997954,1.517600999581035,1.517600999581035,1.517600999581035,1.517600999581035,1.517600999581035,1.517600999581035,0.01,0.8609373365997954,1.4976009995810349,0.14427367361855592
1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,37.40516893,0.210388908,0.204717554,0.123403491,0.159860796,0.165340715,0.161913924,0.159812753,0.205248394,0.15491366,0.070142221,50,50,0.15,0.4917845127963244,0.4617845127963244,0.01,0.01,0.4617845127963244,0.4617845127963244,0.9016696831611011,0.9016696831611011,0.9016696831611011,0.9016696831611011,0.9016696831611011,0.9016696831611011,0.01,0.4917845127963244,0.8816696831611011,0.021899342431547675
1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,18.37381072,0.067781323,0.072958215,0.056593453,0.07316689,0.075612618,0.07404879,0.072630963,0.095367963,0.07788417,0.039197977,50,50,0.15,0.29364853753306575,0.2636485375330657,0.01,0.01,0.2636485375330657,0.2636485375330657,0.5250586496789914,0.5250586496789914,0.5250586496789914,0.5250586496789914,0.5250586496789914,0.5250586496789914,0.01,0.29364853753306575,0.5050586496789914,0.0022384253871400306
1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,45.95812413,0.286286652,0.074580718,0.188430587,0.243125334,0.251159162,0.245106023,0.241096217,0.302953136,0.215720373,0.090912,50,50,0.15,0.6240070897138322,0.5940070897138322,0.01,0.01,0.5940070897138322,0.5940070897138322,1.1385862185430504,1.1385862185430504,1.1385862185430504,1.1385862185430504,1.1385862185430504,1.1385862185430504,0.01,0.6240070897138322,1.1185862185430504,0.049427960884613986
1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,46.64703763,0.292626444,0.248112123,0.061303228,0.206847357,0.213846048,0.209080132,0.206113132,0.261423325,0.190601883,0.082657472,50,50,0.15,0.5712743138293261,0.5412743138293261,0.01,0.01,0.5412743138293261,0.5412743138293261,1.045840623878989,1.045840623878989,1.045840623878989,1.045840623878989,1.045840623878989,1.045840623878989,0.01,0.5712743138293261,1.025840623878989,0.03670800377966321
1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,46.9286037,0.295226357,0.258606633,0.097590206,0.070119059,0.22584524,0.220691957,0.21742725,0.274937445,0.198885461,0.085427086,50,50,0.15,0.5497719734635946,0.5197719734635946,0.01,0.01,0.5197719734635946,0.5197719734635946,1.0771614669354066,1.0771614669354066,1.0771614669354066,1.0771614669354066,1.0771614669354066,1.0771614669354066,0.01,0.5497719734635946,1.0571614669354066,-0.03761752000821739
1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,46.84516582,0.294455385,0.266534228,0.125910663,0.134480708,0.06679432,0.212183237,0.209140164,0.26504688,0.192833757,0.083408442,50,50,0.15,0.5561408667382575,0.5261408667382574,0.01,0.01,0.5261408667382574,0.5261408667382574,1.0543535864306812,1.0543535864306812,1.0543535864306812,1.0543535864306812,1.0543535864306812,1.0543535864306812,0.01,0.5561408667382575,1.0343535864306812,-0.002071852954166342
1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,45.4059104,0.281227211,0.405417343,0.190596725,0.224822475,0.182425875,0.089090759,0.284994799,0.354048583,0.245349384,0.100130316,50,50,0.15,0.6664038433633638,0.6364038433633638,0.01,0.01,0.6364038433633638,0.6364038433633638,1.240069039804001,1.240069039804001,1.240069039804001,1.240069039804001,1.240069039804001,1.240069039804001,0.01,0.6664038433633638,1.220069039804001,0.03273864692272643
1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,46.24224062,0.288897542,0.320187489,0.168613802,0.21034363,0.198408661,0.157365182,0.085987795,0.289839124,0.207895157,0.088385909,50,50,0.15,0.6022382047509302,0.5722382047509301,0.01,0.01,0.5722382047509301,0.5722382047509301,1.1103954157171,1.1103954157171,1.1103954157171,1.1103954157171,1.1103954157171,1.1103954157171,0.01,0.6022382047509302,1.0903954157171,0.03408099378476015
1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,46.40848895,0.290427708,0.30504114,0.164388435,0.20744166,0.201529212,0.171812472,0.12101778,0.068137355,0.200908683,0.086096311,50,50,0.15,0.5895141844375567,0.5595141844375566,0.01,0.01,0.5595141844375566,0.5595141844375566,1.0846986660843962,1.0846986660843962,1.0846986660843962,1.0846986660843962,1.0846986660843962,1.0846986660843962,0.01,0.5895141844375567,1.0646986660843962,0.03432970279071701
1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,46.01806172,0.286837012,0.159397138,0.182698034,0.232850677,0.233104566,0.213394023,0.183551813,0.185560256,0.037612847,0.090548355,50,50,0.15,0.6194122004157119,0.5894122004157119,0.01,0.01,0.5894122004157119,0.5894122004157119,1.1345382662468932,1.1345382662468932,1.1345382662468932,1.1345382662468932,1.1345382662468932,1.1345382662468932,0.01,0.6194122004157119,1.1145382662468932,0.04428613458453046
1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,46.61910459,0.292368792,0.252836336,0.160542104,0.207108248,0.212806422,0.205457184,0.197445534,0.241229412,0.155801296,0.023508594,50,50,0.15,0.5734090482226077,0.5434090482226077,0.01,0.01,0.5434090482226077,0.5434090482226077,1.0502799515672576,1.0502799515672576,1.0502799515672576,1.0502799515672576,1.0502799515672576,1.0502799515672576,0.01,0.5734090482226077,1.0302799515672576,0.03653814487795781
1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,147.0046956,0.547834204,0.470723822,0.243965015,0.312747415,0.322313883,0.313076238,0.306101763,0.37824105,0.258936763,0.104186122,50,50,0.15,0.7100686927605656,0.6800686927605656,0.01,0.01,0.6800686927605656,0.6800686927605656,1.2840444811120264,1.2840444811120264,1.2840444811120264,1.2840444811120264,1.2840444811120264,1.2840444811120264,0.01,0.7100686927605656,1.2640444811120264,0.07609290440910477
1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,46.58413436,0.292046301,0.247370105,0.161778055,0.208558507,0.213967177,0.205924155,0.196629887,0.237855932,0.148337198,0.009705135,50,50,0.15,0.5760819898570173,0.5460819898570173,0.01,0.01,0.5460819898570173,0.5460819898570173,1.055201430094243,1.055201430094243,1.055201430094243,1.055201430094243,1.055201430094243,1.055201430094243,0.01,0.5760819898570173,1.035201430094243,0.03696254961979162
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,44.89885424,0.276599348,0.267893108,0.150964469,0.122066887,0.126235144,0.123679752,0.121953211,0.158210864,0.123258686,0.058151317,50,50,0.15,0.7054354525082888,0.6754354525082887,0.01,0.01,0.6754354525082887,0.6754354525082887,0.7592866905836356,0.7592866905836356,0.7592866905836356,0.7592866905836356,0.7592866905836356,0.7592866905836356,0.01,0.7054354525082888,0.7392866905836356,0.5915842144329418
