e_vKIL,e_vLIM,e_vMIK,e_vNOV,e_vOSC,e_vPAP,e_vQUE,e_vROM,e_vSIE,e_vTAN,e_vUNI,e_vVIC,e_vWHI,e_vXRA,e_vYAN,e_vZUL,Ao__,L__,M__,B__,E__,K__,G__,I__,Ai__,C__,F__,J__,D__,H__,v_vKIL,v_vLIM,v_vMIK,v_vNOV,v_vOSC,v_vPAP,v_vQUE,v_vROM,v_vSIE,v_vTAN,v_vUNI,v_vVIC,v_vWHI,v_vXRA,v_vYAN,v_vZUL
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.24098182420310876,0.6939604133364174,0.1467040671715973,0.6559011422594796,0.7107185563223736,40.928145527626405,0.3691128225145076,0.6986934765314271,0.42431482396980436,0.5753831232579731,0.6151374177580189,2.261813466963064,1.0448552547393812,0.10844182089139895,0.5542581956671501,1.0448552547393724,1.0448552547393737,1.7010926780103914,1.7010926780103932,1.7010926780103999,1.70109267801041,1.7010926780104159,1.7010926780103979,0.24939691419171542,2.2618134669657044,1.202298849626926,0.3886178314683938
1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.24163830879083825,0.6956900936150255,0.14683375680371988,0.6573536238940003,0.7119975302124173,40.81455209864926,0.37017942884312915,0.7003507230542106,0.42489039486074814,0.5770072416339256,0.616388453258363,2.2662442898279,1.045970830434166,0.10873723895587721,0.5557681102189279,1.0459708304341657,1.0459708304341657,1.702355208443917,1.7023552084439169,1.7023552084439169,1.702355208443917,1.7023552084439169,1.702355208443917,0.2496173865663238,2.266244289827898,1.2031204353112694,0.38958645242441436
1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.24072229024218975,0.6977737816592396,0.1469895191070361,0.6591022954021635,0.7135361390989872,40.89873016446849,0.37146584378506164,0.7023465910540135,0.42558230771004474,0.5789653056472247,0.6178940318154339,2.2629597852633916,1.047312219539245,0.10832503060898539,0.5536612675570364,1.0473122195392626,1.0473122195392688,1.7038711213492916,1.7038711213492983,1.7038711213492967,1.703871121349291,1.703871121349276,1.7038711213492594,0.24988218248196134,2.2629597852618457,1.204106756385351,0.39075331772917427
1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.24088476020862587,0.6937045025802846,0.14668484904466844,0.6556861743123032,0.7105291923365327,40.91714525546575,0.36895511174928497,0.6984482465944383,0.42422957319654764,0.5751429292780593,0.6149522275143557,2.2622420618142165,1.044690041339717,0.10948212351482046,0.5540349484798395,1.0446900413397164,1.0446900413397169,1.7009055612344743,1.7009055612344748,1.7009055612344743,1.7009055612344743,1.7009055612344743,1.7009055612344743,0.24936424337593635,2.262242061814216,1.2021770744826024,0.3884745214449594
1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2399941794259481,0.6913544227401933,0.14650799956629051,0.6537112420132352,0.708788576311025,40.81616647389718,0.3675079832504536,0.6961958171455259,0.42344556701875696,0.5729383676427245,0.6132504259764137,2.266181242317496,1.0431709039665136,0.10799738074167665,0.5575064788064774,1.043170903966495,1.0431709039664905,1.6991833311985474,1.6991833311985418,1.6991833311985463,1.6991833311985587,1.699183331198571,1.699183331198565,0.24906359926269386,2.2661812423223817,1.2010561326731442,0.3871584767345083
1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.24080297373530812,0.6965865908203493,0.14690083567615556,0.6581061269124039,0.7126597942382384,40.90787556999526,0.3680825406019398,0.7012095112517148,0.4251882821044086,0.5778494829484249,0.6170364224656614,2.262603309280413,1.046548291917424,0.10836133818088865,0.5538468395912086,1.0465482919174172,1.0465482919174136,1.7030080929754603,1.703008092975458,1.703008092975458,1.70300809297546,1.7030080929754658,1.7030080929754745,0.24973142064946444,2.2626033092808795,1.2035452516765428,0.3900884908593957
1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.24081426289175548,0.6964206023589274,0.14688842304356772,0.6579668158400575,0.7125372070263439,40.90915512832804,0.3681475376136128,0.7010505132635273,0.42513314984559974,0.572535921688924,0.6169164724274442,2.2625534394538986,1.0464414118505336,0.10836641830128997,0.5538728046510375,1.046441411850534,1.0464414118505339,1.7028872863800686,1.702887286380069,1.7028872863800686,1.7028872863800688,1.7028872863800686,1.7028872863800684,0.2497103191740651,2.262553439453898,1.2034666480319383,0.3899955373209994
1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.24090120748816476,0.6911266316595907,0.147023908769003,0.6594889889082193,0.7138762075600917,40.919009301273945,0.36864827696397384,0.7027880481620947,0.42573516296839137,0.5740124877408931,0.6182268851574698,2.2621694272228563,1.0456183294076242,0.10840554336967415,0.5540727772227789,1.0456183294076242,1.0456183294076242,1.704205745085878,1.7042057450858779,1.704205745085878,1.7042057450858776,1.7042057450858785,1.7042057450858776,0.2499406449073051,2.2621694272228563,1.2043244552712675,0.3870309137293708
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.24092068938507424,0.6918109658146585,0.14694662247745707,0.6586202584044071,0.7131121355240266,40.92121723516259,0.36876051731983595,0.6943492722092733,0.42539168766697716,0.5743435811748263,0.617479067453423,2.262083396486959,1.045433915092333,0.1084143102232834,0.5541175855856707,1.0454339150923333,1.0454339150923333,1.703453689328458,1.7034536893284575,1.703453689328458,1.7034536893284575,1.7034536893284578,1.7034536893284578,0.24980925821167702,2.262083396486958,1.2038351729051038,0.3874141408562088
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.24093872221380985,0.692444671409067,0.14687508085564419,0.6508821651100938,0.712405458941948,40.923260904653986,0.3688644217491745,0.6956291664275747,0.4250738937193428,0.5746501246871415,0.6167875630698876,2.262003769911705,1.0452632227319745,0.10842242499621443,0.5541590610917626,1.0452632227319738,1.045263222731974,1.7027574294748709,1.7027574294748715,1.7027574294748709,1.7027574294748709,1.7027574294748717,1.7027574294748713,0.2496876374545951,2.262003769911717,1.2033821545656809,0.38776901598907754
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.24095549036129635,0.6930341689059821,0.14680855323464118,0.6528325252204356,0.7117488288893693,40.925161214633555,0.36896104995326645,0.6968204304863413,0.4247785025234076,0.574935235979881,0.6104561050297371,2.261929732182696,1.0451045058581532,0.10842997066258336,0.5541976278309816,1.045104505858153,1.0451045058581534,1.702109877128956,1.7021098771289553,1.7021098771289567,1.7021098771289564,1.7021098771289558,1.702109877128956,0.24957454049889,2.261929732182701,1.2029607961311763,0.38809913458735
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2409536035846253,0.6929678264631505,0.14681603918317768,0.6526129284486115,0.7023592943804191,40.92494739034163,0.3689501766843185,0.6966863332070713,0.4248117348381707,0.5749031516429108,0.6101212469780722,2.2619380627881145,1.0451223647013592,0.1084291216130814,0.5541932882446382,1.0451223647012045,1.045122364701164,1.7021827465835946,1.7021827465835595,1.7021827465835948,1.7021827465836783,1.7021827465838022,1.7021827465838242,0.24958726661140204,2.2619380628093477,1.2030082133607658,0.3880619828193643
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2409642672620491,0.6933428181334275,0.1467737295890004,0.6538545095216856,0.7055139824526321,40.926155875622946,0.36901163191840425,0.6974444053870474,0.41863662015449,0.5750844964149759,0.6120147631255518,2.261890980551349,1.0450214308792996,0.10843392026792209,0.5542178147027128,1.0450214308793122,1.0450214308793209,1.7017708836038594,1.7017708836038556,1.7017708836038545,1.7017708836038572,1.7017708836038479,1.7017708836038044,0.24951534030130065,2.261890980552846,1.202740203001176,0.3882719781547194
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,50.0,50.0,0.15,0.24098039113068975,0.6939099932678019,0.14619946788727897,0.6557339724055207,0.710293241009394,40.92798312505307,0.3691045624780731,0.6985914771085996,0.42385064382512033,0.5753587454334259,0.6148822942004102,2.261819793777836,1.0448688185678525,0.1084411760088104,0.5542548996005864,1.0448688185678534,1.0448688185678527,1.7011480409057371,1.7011480409057365,1.7011480409057365,1.7011480409057367,1.7011480409057367,1.701148040905737,0.251024486362458,2.2618197937778364,1.199099068180821,0.3885895962299691
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,50.0,50.0,0.15,0.2423379994115403,0.6975314039840442,0.1469714269391783,0.658898948185133,0.713357285120288,41.27172850113093,0.37131612120616575,0.7021144602462605,0.42550190505921603,0.5787374540482845,0.6177189849174124,2.2709632245343045,1.047156327506027,0.10905209973519314,0.5573773986465427,1.0471563275060267,1.047156327506027,1.703695068780989,1.703695068780989,1.7036950687809886,1.7036950687809889,1.7036950687809889,1.7036950687809889,0.2498514257966031,2.2709632245343054,1.203992217187783,0.3906175862310648
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,50.0,50.0,0.15,0.24097838179782652,0.6938393013022696,0.1454922437562401,0.6554996154089827,0.7096970483791397,40.9277554174889,0.36909298108217004,0.6984484755956081,0.42320001969787746,0.5753245656973048,0.6145246531688485,2.2618286647521866,1.0448878366734387,0.10844027180902194,0.5542502781350009,1.0448878366734338,1.0448878366734342,1.7012256646176138,1.701225664617612,1.7012256646176116,1.7012256646176145,1.701225664617618,1.701225664617622,0.24733681438560814,2.261828664752581,1.2065520358464015,0.388550008729271
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,50.0,50.0,0.15,0.2409216353318681,0.6918442015542959,0.14654491116377844,0.654122961381267,0.7091515826832159,40.92132444067762,0.3687659675273709,0.6966653092568771,0.42360912987589816,0.5743596596684155,0.613605270577224,2.2620792193970787,1.0454249609719692,0.10841473589934066,0.5541197612632967,1.045424960971959,1.045424960971956,1.6995428415448393,1.699542841544837,1.699542841544838,1.6995428415448421,1.69954284154485,1.6995428415448555,0.24912634897842334,2.2620792193982164,1.2012901435879995,0.39130708039910983
