e_vKIL,e_vLIM,e_vMIK,e_vNOV,e_vOSC,e_vPAP,e_vQUE,e_vROM,e_vSIE,e_vTAN,e_vUNI,e_vVIC,e_vWHI,e_vXRA,e_vYAN,e_vZUL,Ao__,L__,M__,B__,E__,K__,G__,I__,Ai__,C__,F__,J__,D__,H__,v_vKIL,v_vLIM,v_vMIK,v_vNOV,v_vOSC,v_vPAP,v_vQUE,v_vROM,v_vSIE,v_vTAN,v_vUNI,v_vVIC,v_vWHI,v_vXRA,v_vYAN,v_vZUL
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.27019175746820273,0.35979048436808486,0.1116961835838191,0.3580532939435152,0.42603043646095695,44.19363180724073,0.5545824479862137,0.3699984777088564,0.285025911502213,0.28223396203157564,0.3483867971738795,2.1389852177482878,0.7745168425338652,0.12158629086069123,0.6214410421768662,0.7745168425338648,0.7745168425338651,1.3475510138216025,1.3475510138216023,1.3475510138216027,1.3475510138216023,1.3475510138216023,1.3475510138216023,0.18988351209249246,2.138985217748288,0.9677839896366174,0.20148267124612754
0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.1001158481580517,0.157603514526588,0.06947938235552754,0.15963632096446273,0.20248349229213325,91.63433119484259,0.20098598790210878,0.16300671686079382,0.1531006404870962,0.12165640823954703,0.1575644237321768,0.9911424513869763,0.48555741818881537,0.04505213167112327,0.2302664507635189,0.48555741818881537,0.4855574181888153,0.8828568682427413,0.8828568682427415,0.8828568682427413,0.8828568682427415,0.8828568682427412,0.8828568682427413,0.11811495000439683,0.9911424513869762,0.6466269682339478,0.08825796813488929
1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.30889923573440164,0.1324563398304591,0.06164773127271061,0.13420850924835834,0.17129385323921748,48.40059587123159,0.1602224240214701,0.13698972133153978,0.132242767779198,0.10223212912848444,0.13240056366442557,1.9927000806344555,0.4327589401757277,0.13900465608048074,0.7104682421891237,0.4327589401757277,0.4327589401757277,0.7913423300463984,0.7913423300463983,0.7913423300463984,0.7913423300463985,0.7913423300463984,0.7913423300463984,0.10480114316360803,1.9927000806344561,0.5817400437191822,0.0741755503050571
1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2801074540793943,0.37087320610018565,0.11332750073341051,0.36853447934171374,0.43695189242490584,45.283395862689815,0.5743655911043606,0.38118265248044,0.2908571151098528,0.29134510399996183,0.358158171137179,2.099858577438881,0.7861546178065969,0.02520967086714549,0.6442471443826069,0.7861546178065976,0.7861546178065973,1.3646202401970915,1.3646202401970917,1.3646202401970917,1.3646202401970917,1.3646202401970924,1.364620240197094,0.19265675124679787,2.0998585774389875,0.9793067377034975,0.20768899541610397
1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.4516486743619932,0.5553851804983371,0.13497827206377083,0.5367397037093881,0.6025630760755509,63.08388548447297,0.9041294652909815,0.5644987588634206,0.3741894369690624,0.448966965875264,0.5109714253458474,1.567044023111154,0.9482853392352234,0.20324190346289694,0.20775839020651685,0.9482853392352231,0.9482853392352233,1.5855549773913782,1.5855549773913782,1.5855549773913775,1.5855549773913777,1.5855549773913782,1.5855549773913777,0.22946306250841042,1.5670440231111542,1.126628852374557,0.3110157010790688
1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.31061357629852443,0.12590910325689741,0.05946342418321547,0.12757473772512953,0.1630619244415374,48.58415310432077,0.8800450185323176,0.1302126458950929,0.12660689252381951,0.09718476290266684,0.12581960221407548,1.9866002261232332,0.41800166583081155,0.13977610933433599,0.7144112254866062,0.41800166583081605,0.41800166583094384,0.7654942338380248,0.765494233838023,0.7654942338380218,0.7654942338380215,0.7654942338380301,0.7654942338380405,0.1010878211114663,1.9866002261445315,0.5633185916150852,0.07050909782386255
1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2922362931174184,0.20894600749009556,0.08316516987552497,0.21117435736369056,0.2638697616336486,46.60473769562714,0.7206605645036565,0.21600829199220234,0.19210960574539543,1.3374952891466159,0.20815629360883256,2.053595382964149,0.5778021027211869,0.13150633190283828,0.6721434741700623,0.5778021027211868,0.5778021027211871,1.0385944412479204,1.0385944412479204,1.0385944412479202,1.0385944412479202,1.0385944412479204,1.0385944412479204,0.14138078878839244,2.05359538296415,0.7558328636711358,0.11700976419445352
1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.27044480806443466,1.3115900584882298,0.06322855390548071,0.13912962164870177,0.17737553743635714,44.22155396646158,0.5563509672043592,0.14201962573656457,0.13637034850733548,0.7595232695951706,0.13727871728074767,2.137971468619529,0.772225187894136,0.1217001636289956,0.6220230585481997,0.7722251878941357,0.7722251878941356,0.8099599430348626,0.8099599430348623,0.8099599430348625,0.8099599430348624,0.8099599430348625,0.8099599430348625,0.1074885416393172,2.13797146861953,0.5949828597562281,0.7344904327534088
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2701458091684057,1.1587960582746992,0.07104520003766285,0.16504996372140948,0.20904755067535946,44.18856113382216,0.5542616469939078,2.3215821989354595,0.1573957205033818,0.6844511149926077,0.16290678879708717,2.13916937907155,0.774933042773252,0.12156561412578257,0.621335361087333,0.7749330427732306,0.7749330427733524,0.9009402929124262,0.9009402929125179,0.9009402929124148,0.9009402929124132,0.900940292912413,0.9009402929124184,0.12077684006402684,2.1391693790738135,0.6593866127843797,0.6489257926338317
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2699436276827715,1.0067784833874842,0.07882224995953169,3.5257641177465966,0.24337880095222902,44.16624685312158,0.5528512354397983,1.8705574674419003,0.17936606792318793,0.6089626875379297,0.19111183967855666,2.1399800438403225,0.7767647240423274,0.12147463245724718,0.6208703436703744,0.7767647240423273,0.7767647240423272,0.9897334973876636,0.9897334973876634,0.9897334973876634,0.9897334973876633,0.9897334973876635,0.9897334973876635,0.13399782493120385,2.139980043840323,0.7217378475252557,0.5637959506969912
