e_vKIL,e_vLIM,e_vMIK,e_vNOV,e_vOSC,e_vPAP,e_vQUE,e_vROM,e_vSIE,e_vTAN,e_vUNI,e_vVIC,e_vWHI,e_vXRA,e_vYAN,e_vZUL,Ao__,L__,M__,B__,E__,K__,G__,I__,Ai__,C__,F__,J__,D__,H__,v_vKIL,v_vLIM,v_vMIK,v_vNOV,v_vOSC,v_vPAP,v_vQUE,v_vROM,v_vSIE,v_vTAN,v_vUNI,v_vVIC,v_vWHI,v_vXRA,v_vYAN,v_vZUL
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.27019175746820273,0.35979048436808486,0.1116961835838191,0.3580532939435152,0.42603043646095695,44.19363180724073,0.5545824479862137,0.3699984777088564,0.285025911502213,0.28223396203157564,0.3483867971738795,2.1389852177482878,0.7745168425338652,0.12158629086069123,0.6214410421768662,0.7745168425338648,0.7745168425338651,1.3475510138216025,1.3475510138216023,1.3475510138216027,1.3475510138216023,1.3475510138216023,1.3475510138216023,0.18988351209249246,2.138985217748288,0.9677839896366174,0.20148267124612754
10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.3318942426925555,0.4279533764892733,0.12103042656872448,0.42182351503785503,0.49130675297027965,34.79125328145749,0.6763174049885728,0.4384760585789984,0.3192126576923956,0.33888194752739376,0.40736887046546216,2.5180937372952936,0.8420278116978942,0.14935240921165,0.7633567581928776,0.8420278116978943,0.8420278116978942,1.4444017325617953,1.4444017325617953,1.4444017325617953,1.4444017325617953,1.4444017325617955,1.4444017325617955,0.2057517251668316,2.518093737295299,1.032898282228132,0.23965389083399305
1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2505382968540831,0.5644269081129603,0.13583566894378607,0.5446909892105771,0.6099917941559617,42.0061417427521,0.9203165667464054,0.5733429604997472,0.3777295654479445,0.4569967461615129,0.5180206087543857,2.2203068019590706,0.9550884028459481,0.11274223358433738,0.576238082764391,0.9550884028459498,0.9550884028459496,1.594097737148642,1.594097737148642,1.594097737148641,1.5940977371486411,1.5940977371486418,1.594097737148642,0.2309206372044363,2.2203068019590693,1.1322564627397693,0.3160790685432578
1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.1972390336689679,0.2764332148695737,0.09763170968990527,0.2778260854126478,0.3396788386847145,35.85260486352374,0.40624907999095256,0.28528157838951734,0.23714888782543542,0.21484587721633816,0.27255492657989805,2.471165913462306,0.6762907070746978,0.8875756515103554,0.4536497774386261,0.6762907070746978,0.6762907070746977,1.1977788138224343,1.1977788138224348,1.1977788138224341,1.1977788138224346,1.1977788138224341,1.1977788138224343,0.16597390647283894,2.4711659134623054,0.8658310008767565,0.15480260032696128
1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.06598141216202236,0.11139395467740862,0.054383267202382735,0.11285398333435534,0.14466079990287437,18.080487594325994,0.12750493911877195,0.11518539554215046,0.11379673824888184,0.08600530845988416,0.11119939427585301,3.448435180683246,0.3835985857412452,0.029691635472910063,1.5175724797265142,0.38359858574126166,0.38359858574123823,0.7048165568631305,0.704816556863134,0.7048165568631379,0.7048165568631389,0.7048165568631314,0.7048165568631259,0.09245155424405065,3.448435180664166,0.5199134483750697,0.06238061461934883
1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2289041821738551,0.8883310159710018,0.15940087453137536,0.8143446651709866,0.845421805648768,39.55109055840148,0.30212207958846377,0.8824055675855582,0.4829928425516806,0.765326060152505,0.7492267905751057,2.3162804690166845,1.1603143490387156,0.10300688197823481,0.5264796189998667,1.1603143490387162,1.1603143490387158,1.823163329133671,1.8231633291336706,1.823163329133671,1.8231633291336702,1.8231633291336709,1.8231633291336706,0.2709814867033381,2.316280469016684,1.2812003557269946,0.4974653689437611
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.26661106042970495,0.39144054923733856,0.11623167859171434,0.3878692188407732,0.4568955182384658,43.79788883477658,0.5298766183563703,0.4018868466845017,0.3013870528585901,0.11552654002867951,0.3761031018558071,2.1534177172363367,0.807031862066327,0.11997497719336724,0.6132054389883214,0.807031862066327,0.8070318620663273,1.3948570165597445,1.3948570165597447,1.3948570165597445,1.3948570165597443,1.3948570165597447,1.3948570165597447,0.19759385360591436,2.1534177172363367,0.9996693093479158,0.2192067075729096
1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.27069309082672866,0.1388601542306926,0.12276587665692225,0.43475468374072107,0.5042153684057011,44.248944267740335,0.5580890899344981,0.45248821140529005,0.3257927696684119,0.17012879759220068,0.41919480583691676,2.136977609795655,0.7699775011206763,0.1218118908720279,0.6225941089014758,0.7699775011206762,0.7699775011206763,1.4621933158721643,1.4621933158721647,1.4621933158721647,1.4621933158721647,1.4621933158721647,1.4621933158721647,0.2087019903167678,2.1369776097956557,1.044789335238629,0.07776168636918786
1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.27047017207466995,0.2260219631906579,0.11841074899530189,0.4029681134333996,0.47229181715211654,44.22435235994867,0.5565283969573489,0.12544876365150945,0.309414926758006,0.2143181852469602,0.3900450435723659,2.1378699023745598,0.7719955333959947,0.12171157743360148,0.6220813957717408,0.7719955333959929,0.7719955333959866,1.4174187674052054,1.4174187674052159,1.4174187674052237,1.417418767405219,1.4174187674052086,1.4174187674051981,0.20129827329201322,2.1378699023725525,1.0148222208211775,0.12657229938676842
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2703422111530016,0.2829547984763233,0.11555738489203035,0.11581426912201578,0.452206990469019,44.210233913042515,0.5556335758581564,0.2272723740820773,0.2989250710353323,0.243214092565782,0.3718727355434501,2.1383823853607318,0.773154219038074,0.12165399501885073,0.6217870856519037,0.7731542190380738,0.773154219038074,1.3878537509294062,1.3878537509294067,1.3878537509294055,1.387853750929407,1.3878537509294069,1.3878537509294067,0.19644755431645158,2.1383823853607318,0.9949586422965037,0.15845468714674107
