e_vKIL,e_vLIM,e_vMIK,e_vNOV,e_vOSC,e_vPAP,e_vQUE,e_vROM,e_vSIE,e_vTAN,e_vUNI,e_vVIC,e_vWHI,e_vALP,e_vYAN,e_vZUL,Ao__,L__,Z__,B__,E__,K__,G__,I__,Ai__,C__,F__,J__,D__,H__,v_vKIL,v_vLIM,v_vMIK,v_vNOV,v_vOSC,v_vPAP,v_vQUE,v_vROM,v_vSIE,v_vTAN,v_vUNI,v_vVIC,v_vWHI,v_vALP,v_vYAN,v_vZUL
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2936658945062302,0.20133700081530684,0.08130529057804925,0.20357584803239562,0.25497407614782014,46.7596739894177,0.27484028095481344,0.20816675530310427,0.1866096091320168,0.15563788649224453,0.20073763800075622,2.04825304920755,0.5652402819510877,0.13214965252780358,0.6754315573643295,0.5652402819510876,0.5652402819510878,1.0177318434456033,1.0177318434456033,1.017731843445603,1.0177318434456037,1.0177318434456033,1.0177318434456033,0.13821899398268372,2.0482530492075495,0.741293855480236,0.11274872045657185
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,1.5933171720822986e-56,5.172515384888002e-55,7.861907145050417e-54,2.0186851041555938e-54,8.275199642201968e-54,200.00000000005278,7.15459402314596e-56,1.0516204808265663e-54,1.1049731598440799e-53,2.282406580380093e-55,3.811750431575571e-54,0.0,-3.047168805785385e-56,7.169927274370344e-57,3.6646294957892864e-56,1.941093946742275e-55,9.10135515425445e-55,3.153895586698767e-54,6.454000616494481e-54,1.2788969955140413e-53,2.474989739855612e-53,5.071745403184427e-53,8.539199523447503e-53,1.3365242146585708e-53,-2.739035877681591e-13,8.333621573753441e-53,2.8966086155372815e-55
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.3605719945924084,-3.454337653121926e-50,-4.854384862652949e-49,-1.288842509605487e-49,-5.154704143318794e-49,53.84528257416694,-5.0732983057835726e-51,-6.8520741029675075e-50,-6.84208565639449e-49,-1.5592380729529192e-50,-2.39489645487044e-49,1.8208885726916675,0.0,0.16225739756658378,0.8293155875625393,-1.574772185357708e-50,-6.400013668986426e-50,-2.159235717951261e-49,-4.283362038165473e-49,-8.281420750654523e-49,-1.570832995037853e-48,-3.168648110882557e-48,-5.2907800742873777e-48,-8.252454266510013e-49,1.8208885726916622,-5.145647954412126e-48,-1.9344290857482787e-50
1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.308295331067363,0.20826851456239348,0.08300170649562201,0.21049842200328164,0.26308058644813076,48.33588272412514,0.2867864716130576,0.21531031567140382,0.19162364132872609,0.16105312560383378,0.20749696484090893,1.994855987768814,0.5766974648589445,0.0,0.7090792614549348,0.5766974648589446,0.5766974648589445,1.0367645615629486,1.0367645615629488,1.0367645615629484,1.0367645615629482,1.0367645615629486,1.0367645615629486,0.1411029010425574,1.9948559877688137,0.7545587594778337,0.11663036815494036
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.6867467699384261,0.36835726458704976,0.1129613912998708,0.36615894784060693,0.4344834602774713,85.60867221833003,0.569873976358221,0.3786453732208445,0.28954324628087713,0.28927344663830784,0.3559462175171327,1.092573483284263,0.7835374368210539,0.30903604647229177,0.0,0.7835374368226096,0.7835374368230049,1.3607948054788446,1.3607948054788803,1.3607948054790626,1.3607948054792274,1.3607948054799723,1.360794805481421,0.19203436520978037,1.0925734833238943,0.9767260750627337,0.2062800681687479
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.3605719945924086,4.472659057965733e-60,9.683385265176663e-59,2.1645674235149866e-59,9.83568026906872e-59,53.845282574166895,1.4422879783696343,1.0271860474461563e-59,1.3457632592699832e-58,1.739055864748375e-60,4.375605516050916e-59,1.820888572691663,0.0,0.16225739756658386,0.8293155875625396,0.0,5.712198122363863e-60,2.361820484794424e-59,5.735321460495434e-59,1.2847992534027091e-58,2.721693337272905e-58,5.953570351222261e-58,1.0374579099821327e-57,1.6461754950800327e-58,1.820888572691663,1.0264388381087263e-57,2.504689072460811e-60
1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.3605719945924085,-1.618711236691815e-66,-6.779942363755333e-65,-1.2364919871276239e-65,-6.559594232190014e-65,53.845282574166895,1.442287978369634,-4.957832847574608e-66,-9.278351121719396e-65,5.769151913478536,-2.778081380587704e-65,1.8208885726916637,0.0,0.16225739756658383,0.8293155875625395,0.0,0.0,-4.7027375074972185e-66,-2.2025913981115474e-65,-6.503659703768375e-65,-1.6162196080070848e-64,-3.900805935619351e-64,-7.128363598933729e-64,-1.1525902018384066e-64,1.820888572691663,-7.186738905580654e-64,-9.064782925474164e-67
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2760497799946234,2.5774002538313896,-1.2336501712903465e-64,-2.021133607032495e-65,-1.1654550262590538e-64,44.838514317448016,0.5963062792111483,-7.249996341831901e-66,-1.674190806154621e-64,1.3368864628326382,-4.8179869881676744e-65,2.115723460045746,0.7216720710727911,0.12422240099758053,0.6349144939876338,0.7216720710727919,0.7216720710727904,0.0,-2.5926515426157837e-65,-9.799642319886915e-65,-2.7041761799784567e-64,-6.871547387427666e-64,-1.2838315675321125e-63,-2.0972052911935888e-64,2.115723460045595,-1.307669181567767e-63,1.4433441421455784
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.27604977999462377,2.5774002538313967,-5.548936462633429e-64,-7.113264294859837e-65,-4.999945940096941e-64,44.83851431744672,0.5963062792111494,10.309601015325587,-7.437936109482231e-64,1.3368864628326418,-1.9539340095200908e-64,2.115723460045642,0.721672071072791,0.1242224009975807,0.6349144939876347,0.721672071072791,0.7216720710727906,0.0,0.0,-2.674115125271532e-64,-9.996054847841148e-64,-2.8892249597082724e-63,-5.687659874194443e-63,-9.433191986476828e-64,2.115723460045641,-5.881872650391434e-63,1.4433441421455824
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.3522676260033842,0.24278994263370585,5.734288506912309e-71,3.8846390819440466,4.703456657657532e-71,52.981717448562996,0.024244864575548333,0.971159770516481,7.472385546766632e-71,0.07274995694588701,1.6533397500432125e-71,1.846932695254467,0.06798118394893221,0.15852043170152288,0.8102155398077836,0.06798118393788427,0.06798118393826998,1.658787287303797e-11,3.356526973940794e-11,0.0,6.780153315929379e-71,2.6085314492886038e-70,5.676484614836242e-70,9.748290461750926e-71,1.8469326952547807,6.078345817327048e-70,0.13596236787487528
