e_v1,e_v2,e_v3,e_v4,e_v5,e_v6,e_v7,e_v8,e_v9,e_v10,e_v11,e_v12,e_v13,e_v14,e_v15,e_v16,e_v17,e_v18,e_v19,A,J,P,Q,D,B,O,F,H,M,E,R,I,C,N,G,L,v_v1,v_v2,v_v3,v_v4,v_v5,v_v6,v_v7,v_v8,v_v9,v_v10,v_v11,v_v12,v_v13,v_v14,v_v15,v_v16,v_v17,v_v18,v_v19
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.10784163335848918,6.9134957855567105,0.0846408662335757,0.023942433350611816,0.3965243288987312,0.01314947912364443,0.19355963423898334,12.229692796463718,1.2563255882584703,16.876848950983018,0.06516217247225911,0.10437556163511534,0.01192203884628826,1.8401411391119071,0.852311990245188,0.852311990245188,0.9878291488667195,0.9878291488667194,0.6676813960459334,0.6676813960459328,0.014439306864256034,0.30570844595653035,0.3057084459565308,0.30570844595653074,0.3057084459565303,0.005957427568625533,0.008481879295630485,0.008481879295630497,0.008481879295630412,0.008481879295630724,0.02754352226805089,-0.01906164297242042
10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.15454003405765301,18.65592388519035,0.08589461667842563,0.034060025661194336,0.47861794333382374,0.013631141802409222,0.27203526171916054,33.52885473098852,1.4531823902762495,38.425962931239546,0.06653517063660086,0.1294458616843942,0.01261582881426501,2.0960420684673795,0.8618571866025113,0.8618571866025113,1.2341848818648662,1.2341848818648666,0.8122935532964698,0.8122935532964711,0.020100620411799917,0.4017907081565949,0.4017907081565961,0.4017907081565949,0.40179070815659523,0.008351906442287125,0.011748713969512811,0.01174871396951283,0.011748713969512856,0.011748713969512738,0.03073225703823943,-0.018983543068726606
1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.10761147729918995,6.872574077943822,0.08463440249271233,0.02389226912526831,0.39608844461481196,0.013146998936002229,0.19316795607177875,48.94599450342812,1.2552566399616185,16.79403945928622,0.0651550980488919,0.10424432001405352,0.011918466297212944,1.8500304358559971,0.8636063960085117,0.8636063960085116,0.9864240398474855,0.9864240398474854,0.6668469415746275,0.6668469415746262,0.014410397811057577,0.30516670046180144,0.3051667004618014,0.3051667004618017,0.3051667004618012,0.005945379720236496,0.008465018090821076,0.008465018090821097,0.008465018090821116,0.008465018090821024,0.027527063757157414,-0.019062045666336343
1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.07566234098206838,2.5723802332313346,0.0837069291079806,0.01689918027992863,0.3315240336774502,0.012791443072358967,0.13818719912355254,0.08842556011306761,1.093756800693262,7.428297253611522,0.0641404353895621,0.08503524393223107,0.011406303188146718,3.2776166043665724,2.511362825163097,2.5113628251630975,0.7662537792034747,0.7662537792034745,0.535305303435371,0.5353053034353711,0.010292070685641171,0.22065640508246237,0.22065640508246126,0.22065640508246268,0.22065640508246237,0.004248464066094578,0.006043606619546596,0.006043606619546631,0.006043606619546579,0.006043606619546528,0.025163439389830764,-0.019119832770284156
1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.15037529620563042,6.032283049384416,0.0857872109590576,0.033162508211732826,0.47173954256421574,0.01358983305809832,0.26510681040833783,10.632021161185476,1.437007809968808,36.1134075143023,0.06641748729471493,0.12731909563837518,0.012556328480579195,2.064968437642855,0.8500848900672474,0.8500848900672475,1.2148835475756061,1.2148835475756081,0.8011089040594229,0.8011089040594231,0.019611447318525932,0.39416319619765855,0.3941631961976585,0.3941631961976584,0.39416319619765855,0.008142308773253028,0.011469138545272886,0.01146913854527288,0.01146913854527289,0.011469138545272912,0.030459371515872805,-0.01899023297059992
1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.2362385985715868,4.9230181799357435,0.08785247876583606,0.05148685391478278,0.6012572604663572,0.014385651403374902,0.40599190256417145,8.621430267093924,1.733229326733646,8.221803344757591,0.06868241133607919,0.16811583967396213,0.013702578889695448,2.388314741146315,0.8461380023655127,0.8461380023655128,1.5421767387808023,1.5421767387808019,0.986108492511724,0.986108492511724,0.02915285144852842,0.5269153948205498,0.5269153948205497,0.5269153948205499,0.5269153948205496,0.012317226866627704,0.016835624581900733,0.016835624581900736,0.016835624581900736,0.016835624581900722,0.03569724352007979,-0.018861618938179073
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.10260174512836628,6.788661001988486,0.0844929666180214,0.02279961614548942,0.38650907486377245,0.013092736688021337,0.2150116989149178,12.003345678909747,1.2316959209952212,16.19149463212111,0.06500031011166128,0.10136520441184242,0.011840304866807635,1.8704690907726342,0.8520318766024951,0.852031876602495,1.0184372141701394,1.0184372141701397,0.7114898491465158,0.7114898491465077,0.013778544111802639,0.2931688209118292,0.2931688209118294,0.29316882091182866,0.2931688209118292,0.0056825219954110325,0.008096022116391597,0.008096022116391592,0.008096022116391549,0.008096022116391759,0.027166879423498737,-0.019070857307107163
1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.03613403986995209,4.462107388957775,0.08246686307190447,0.008163159347004852,0.23495843712438416,0.012317053883301092,0.03182627839204949,7.786287521844561,0.8383072875975836,6.790114097018652,0.0627851509080163,0.05722071350365142,0.010722939552374338,2.5382889128879547,0.8439156449414147,0.8439156449414147,1.6943732679465409,1.6943732679465395,1.614260665664246,1.6142606656642458,0.004878744741892246,0.07523385754040231,0.07523385754040209,0.07523385754040267,0.07523385754040232,0.0020789353894735225,0.0027998093524187182,0.002799809352418701,0.002799809352418701,0.0027998093524187386,0.021996921440775686,-0.019197112088356946
1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.10767992900316721,6.909725564077948,0.08506073305823547,0.02724425159244666,0.39621812067504897,0.01331065200947529,0.19328445259355798,12.222856659217156,1.2555746814044109,16.85582056119496,0.06562179773556488,0.10428336241330706,0.012154196312975044,1.841050143432316,0.8523036795341699,0.8523036795341696,0.9887464638981471,0.9887464638981464,0.6670952678626009,0.6670952678626012,0.016323287974254707,0.3053279080612906,0.30532790806129095,0.305327908061291,0.30532790806129045,0.006746568147719394,0.009576719826535414,0.009576719826535426,0.009576719826535393,0.009576719826535381,0.028612205964129306,-0.01903548613759389
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.06476652619002243,7.478489058610414,0.08337601152281551,0.014500594700893639,0.4455871143707066,0.012664737865203982,0.11911002776230956,13.254180166921584,1.3749989739909867,20.27534506980052,0.06377861923504953,0.11927587430593747,0.011223785753802638,1.7086101148693331,0.8534621118149288,0.8534621118149288,0.8551480030544044,0.8551480030544043,0.4818224977907418,0.4818224977907419,0.00883705194814861,0.3644884533155132,0.36448845331551427,0.36448845331551366,0.3644884533155138,0.0036583643901086844,0.005178687558039939,0.005178687558039944,0.005178687558039939,0.005178687558039975,0.02431914091347076,-0.019140453355430843
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.1012981137765571,6.9864805018870495,0.08445592749747681,0.02251505206771563,0.4025430202440679,0.013078528995385804,0.18240165234021058,12.362028990460521,1.2710582641031762,17.288037995801346,0.06495977769486623,0.09586830309119465,0.011819839499354508,1.8226287066406242,0.8524710917568962,0.8524710917568964,0.970157614883728,0.970157614883728,0.6433921062954725,0.6433921062954723,0.013613301672102781,0.31315220691615303,0.3131522069161541,0.31315220691615325,0.31315220691615303,0.00561392735259371,0.007999374319509056,0.007999374319509039,0.00799937431950907,0.007999374319508867,0.02707253925140958,-0.019073164931900467
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.11427845579621179,6.602722607170018,0.08482044608218449,0.0253441761193609,0.37195114589223616,0.013218397761282343,0.20449166923247822,11.666216612508844,1.364180347000273,15.211267659827959,0.06535873553337851,0.1001059875175478,0.012021311363638883,1.9165391067115094,0.8515948826289411,0.851594882628941,1.064944224082568,1.064944224082568,0.6904610314587303,0.6904610314587303,0.015243621823531823,0.35923957080030583,0.3592395708003056,0.3592395708003087,0.3592395708003056,0.006293371417929221,0.008950250405602593,0.008950250405602598,0.008950250405602591,0.008950250405602612,0.028000705670745356,-0.019050455265142756
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.13913773762676912,5.561283069645466,0.08549327041222905,0.030736141137720024,0.2990403184073079,0.013476826106624058,0.24634985639058554,9.778220467364092,0.8064540600396144,10.521118754231278,0.06609547900396757,0.08809713727167305,0.012393554430587787,2.1962628019845125,0.848602814581722,0.8486028145817222,1.34765998740279,1.3476599874027895,0.7694364895035826,0.769436489503583,0.01827670502306245,0.5599467928761445,0.5599467928761446,0.5599467928761446,0.5599467928761445,0.00757296325118032,0.01070374177188214,0.01070374177188214,0.010703741771882084,0.010703741771882285,0.02971228389794076,-0.019008542126058632
