vYAN,gt,0.5x-pr,1.5x-pr,0.5x-post,1.5x-post
1.0,vWHI,vWHI,vWHI,vWHI,vWHI
2.0,vQUE,vTAN,vROM,vALP,vQUE
3.0,vLIM,vQUE,vSIE,vLIM,vLIM
4.0,vALP,vVIC,vQUE,vQUE,vROM
5.0,vROM,vUNI,vTAN,vNOV,vALP
6.0,vOSC,vSIE,vUNI,vOSC,vOSC
7.0,vNOV,vROM,vVIC,vKIL,vPAP
8.0,vPAP,vOSC,vPAP,vROM,vNOV
9.0,vSIE,vLIM,vLIM,vZUL,vSIE
10.0,vZUL,vPAP,vOSC,vPAP,vZUL
11.0,vKIL,vZUL,vZUL,vSIE,vKIL
12.0,vUNI,vKIL,vALP,vUNI,vTAN
13.0,vTAN,vNOV,vNOV,vTAN,vUNI
14.0,vVIC,vALP,vKIL,vVIC,vVIC
15.0,vMIK,vMIK,vMIK,vMIK,vMIK
,vYAN,vYAN,vYAN,vYAN,vYAN
