vYAN,gt,0.1x-prior,0.2x-prior,0.3x-prior,0.4x-prior,0.5x-prior,1.5x-prior,3x-prior,5x-prior,7x-prior,10x-prior,0.1x-post,0.2x-post,0.3x-post,0.4x-post,0.5x-post,1.5x-post,3x-post,5x-post,7x-post,10x-post
1.0,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vALP,vALP,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI
2.0,vQUE,vOSC,vOSC,vUNI,vVIC,vVIC,vVIC,vROM,vROM,vROM,vROM,vNOV,vWHI,vALP,vALP,vALP,vQUE,vQUE,vQUE,vALP,vLIM
3.0,vLIM,vUNI,vUNI,vVIC,vUNI,vUNI,vTAN,vVIC,vVIC,vVIC,vTAN,vWHI,vNOV,vNOV,vNOV,vLIM,vLIM,vLIM,vLIM,vLIM,vALP
4.0,vALP,vQUE,vTAN,vTAN,vTAN,vTAN,vROM,vTAN,vTAN,vTAN,vVIC,vKIL,vKIL,vLIM,vLIM,vQUE,vROM,vALP,vALP,vQUE,vQUE
5.0,vROM,vKIL,vQUE,vQUE,vQUE,vQUE,vUNI,vSIE,vSIE,vSIE,vSIE,vOSC,vOSC,vOSC,vQUE,vNOV,vALP,vROM,vROM,vPAP,vPAP
6.0,vOSC,vTAN,vVIC,vOSC,vSIE,vSIE,vSIE,vUNI,vUNI,vQUE,vQUE,vZUL,vLIM,vKIL,vOSC,vOSC,vPAP,vPAP,vPAP,vROM,vNOV
7.0,vNOV,vNOV,vSIE,vSIE,vROM,vROM,vQUE,vQUE,vQUE,vUNI,vUNI,vLIM,vQUE,vQUE,vKIL,vROM,vOSC,vNOV,vNOV,vNOV,vROM
8.0,vPAP,vALP,vROM,vROM,vOSC,vOSC,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vZUL,vZUL,vZUL,vKIL,vSIE,vSIE,vSIE,vZUL,vZUL
9.0,vSIE,vSIE,vPAP,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vQUE,vUNI,vUNI,vROM,vZUL,vNOV,vOSC,vZUL,vSIE,vKIL
10.0,vZUL,vZUL,vLIM,vPAP,vPAP,vPAP,vOSC,vOSC,vOSC,vZUL,vZUL,vUNI,vVIC,vPAP,vPAP,vPAP,vZUL,vZUL,vOSC,vOSC,vSIE
11.0,vKIL,vVIC,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vOSC,vOSC,vVIC,vPAP,vROM,vUNI,vSIE,vKIL,vKIL,vKIL,vKIL,vOSC
12.0,vUNI,vROM,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vROM,vROM,vVIC,vSIE,vUNI,vUNI,vUNI,vUNI,vUNI,vTAN
13.0,vTAN,vPAP,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vTAN,vSIE,vSIE,vVIC,vTAN,vTAN,vTAN,vTAN,vTAN,vUNI
14.0,vVIC,vLIM,vALP,vALP,vALP,vALP,vALP,vALP,vALP,vALP,vALP,vSIE,vTAN,vTAN,vTAN,vVIC,vVIC,vVIC,vVIC,vVIC,vMIK
15.0,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vVIC
,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN
