vYAN,gt,0.1x-prior,0.2x-prior,0.3x-prior,0.4x-prior,0.5x-prior,1.5x-prior,3x-prior,5x-prior,7x-prior,10x-prior,0.1x-post,0.2x-post,0.3x-post,0.4x-post,0.5x-post,1.5x-post,3x-post,5x-post,7x-post,10x-post
1.0,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vKIL,vKIL,vVIC,vQUE,vWHI,vQUE,vALP,vALP,vALP,vLIM
2.0,vQUE,vOSC,vOSC,vUNI,vTAN,vQUE,vROM,vVIC,vROM,vSIE,vTAN,vNOV,vNOV,vALP,vALP,vQUE,vWHI,vNOV,vLIM,vLIM,vALP
3.0,vLIM,vUNI,vUNI,vQUE,vUNI,vSIE,vQUE,vUNI,vTAN,vROM,vSIE,vQUE,vPAP,vLIM,vWHI,vALP,vALP,vVIC,vNOV,vNOV,vSIE
4.0,vALP,vQUE,vQUE,vVIC,vQUE,vTAN,vSIE,vSIE,vSIE,vTAN,vROM,vWHI,vTAN,vUNI,vLIM,vLIM,vLIM,vKIL,vKIL,vKIL,vVIC
5.0,vROM,vKIL,vTAN,vTAN,vSIE,vROM,vTAN,vROM,vQUE,vUNI,vUNI,vSIE,vLIM,vWHI,vVIC,vOSC,vROM,vPAP,vQUE,vROM,vNOV
6.0,vOSC,vALP,vVIC,vOSC,vVIC,vVIC,vUNI,vTAN,vUNI,vVIC,vVIC,vTAN,vALP,vKIL,vNOV,vUNI,vNOV,vUNI,vPAP,vUNI,vQUE
7.0,vNOV,vNOV,vSIE,vSIE,vROM,vUNI,vVIC,vQUE,vVIC,vQUE,vQUE,vOSC,vOSC,vPAP,vKIL,vZUL,vOSC,vLIM,vSIE,vZUL,vTAN
8.0,vPAP,vTAN,vROM,vROM,vOSC,vOSC,vLIM,vPAP,vPAP,vPAP,vPAP,vALP,vWHI,vQUE,vROM,vNOV,vKIL,vQUE,vUNI,vVIC,vKIL
9.0,vSIE,vZUL,vLIM,vLIM,vLIM,vPAP,vPAP,vLIM,vLIM,vLIM,vLIM,vROM,vQUE,vOSC,vZUL,vPAP,vZUL,vSIE,vWHI,vSIE,vPAP
10.0,vZUL,vVIC,vPAP,vPAP,vPAP,vLIM,vOSC,vOSC,vOSC,vZUL,vZUL,vZUL,vMIK,vSIE,vSIE,vSIE,vPAP,vROM,vVIC,vQUE,vUNI
11.0,vKIL,vSIE,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vOSC,vOSC,vMIK,vZUL,vNOV,vPAP,vVIC,vTAN,vOSC,vTAN,vMIK,vZUL
12.0,vUNI,vROM,vALP,vKIL,vKIL,vALP,vKIL,vKIL,vKIL,vKIL,vKIL,vUNI,vROM,vROM,vTAN,vROM,vSIE,vMIK,vROM,vWHI,vWHI
13.0,vTAN,vPAP,vNOV,vNOV,vALP,vKIL,vALP,vALP,vALP,vNOV,vNOV,vVIC,vSIE,vZUL,vUNI,vKIL,vUNI,vTAN,vMIK,vPAP,vROM
14.0,vVIC,vLIM,vKIL,vALP,vNOV,vNOV,vNOV,vNOV,vNOV,vALP,vALP,vLIM,vUNI,vMIK,vMIK,vTAN,vMIK,vWHI,vOSC,vOSC,vMIK
15.0,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vPAP,vVIC,vTAN,vOSC,vMIK,vVIC,vZUL,vZUL,vTAN,vOSC
,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN
