vYAN,gt,0.1x-prior,0.2x-prior,0.3x-prior,0.4x-prior,0.5x-prior,1.5x-prior,3x-prior,5x-prior,7x-prior,10x-prior,0.1x-post,0.2x-post,0.3x-post,0.4x-post,0.5x-post,1.5x-post,3x-post,5x-post,7x-post,10x-post
1.0,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vROM,vROM,vROM,vROM,vROM,vROM,vROM,vROM,vROM,vROM
2.0,vQUE,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE
3.0,vLIM,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN
4.0,vALP,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI
5.0,vROM,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI
6.0,vOSC,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC
7.0,vNOV,vROM,vROM,vROM,vROM,vROM,vROM,vROM,vROM,vROM,vROM,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE
8.0,vPAP,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL
9.0,vSIE,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV
10.0,vZUL,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vALP,vALP,vALP,vALP,vALP,vALP,vALP,vALP,vALP,vALP
11.0,vKIL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM
12.0,vUNI,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC
13.0,vTAN,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL
14.0,vVIC,vALP,vALP,vALP,vALP,vALP,vALP,vALP,vALP,vALP,vALP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP
15.0,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK
,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN
