vYAN,gt,0.1x-prior,0.2x-prior,0.3x-prior,0.4x-prior,0.5x-prior,1.5x-prior,3x-prior,5x-prior,7x-prior,10x-prior,0.1x-post,0.2x-post,0.3x-post,0.4x-post,0.5x-post,1.5x-post,3x-post,5x-post,7x-post,10x-post
1.0,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vKIL,vOSC,vUNI,vVIC,vWHI,vWHI,vWHI,vLIM,vROM,vLIM
2.0,vQUE,vOSC,vUNI,vTAN,vUNI,vSIE,vROM,vROM,vSIE,vVIC,vSIE,vOSC,vSIE,vTAN,vPAP,vLIM,vLIM,vQUE,vWHI,vQUE,vSIE
3.0,vLIM,vUNI,vOSC,vUNI,vTAN,vUNI,vSIE,vSIE,vUNI,vQUE,vTAN,vUNI,vLIM,vVIC,vWHI,vQUE,vQUE,vLIM,vQUE,vWHI,vTAN
4.0,vALP,vKIL,vQUE,vSIE,vVIC,vTAN,vTAN,vQUE,vVIC,vROM,vROM,vALP,vTAN,vSIE,vQUE,vSIE,vROM,vROM,vALP,vPAP,vKIL
5.0,vROM,vQUE,vTAN,vQUE,vQUE,vQUE,vQUE,vTAN,vQUE,vUNI,vUNI,vVIC,vALP,vROM,vLIM,vKIL,vSIE,vPAP,vNOV,vSIE,vNOV
6.0,vOSC,vNOV,vSIE,vVIC,vSIE,vVIC,vUNI,vUNI,vTAN,vSIE,vVIC,vROM,vNOV,vOSC,vALP,vALP,vALP,vOSC,vKIL,vLIM,vALP
7.0,vNOV,vALP,vVIC,vOSC,vROM,vROM,vVIC,vVIC,vROM,vTAN,vQUE,vQUE,vQUE,vQUE,vUNI,vNOV,vPAP,vZUL,vROM,vALP,vPAP
8.0,vPAP,vTAN,vROM,vROM,vOSC,vOSC,vLIM,vLIM,vPAP,vPAP,vPAP,vNOV,vKIL,vPAP,vZUL,vROM,vNOV,vSIE,vZUL,vNOV,vZUL
9.0,vSIE,vVIC,vPAP,vPAP,vLIM,vPAP,vPAP,vPAP,vLIM,vLIM,vLIM,vLIM,vPAP,vWHI,vNOV,vUNI,vOSC,vALP,vOSC,vKIL,vWHI
10.0,vZUL,vZUL,vLIM,vLIM,vPAP,vLIM,vOSC,vOSC,vOSC,vZUL,vZUL,vSIE,vROM,vLIM,vKIL,vTAN,vZUL,vNOV,vPAP,vZUL,vOSC
11.0,vKIL,vSIE,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vOSC,vOSC,vTAN,vUNI,vKIL,vSIE,vVIC,vTAN,vKIL,vSIE,vTAN,vQUE
12.0,vUNI,vLIM,vKIL,vALP,vKIL,vALP,vALP,vKIL,vALP,vKIL,vKIL,vWHI,vVIC,vNOV,vTAN,vZUL,vUNI,vTAN,vTAN,vOSC,vVIC
13.0,vTAN,vROM,vNOV,vNOV,vALP,vKIL,vNOV,vALP,vNOV,vNOV,vNOV,vZUL,vZUL,vALP,vROM,vPAP,vKIL,vUNI,vMIK,vUNI,vUNI
14.0,vVIC,vPAP,vALP,vKIL,vNOV,vNOV,vKIL,vNOV,vKIL,vALP,vALP,vPAP,vMIK,vZUL,vOSC,vOSC,vVIC,vVIC,vUNI,vMIK,vMIK
15.0,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vWHI,vMIK,vMIK,vMIK,vMIK,vMIK,vVIC,vVIC,vROM
,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN
