vYAN,gt,0.1x-prior,0.2x-prior,0.3x-prior,0.4x-prior,0.5x-prior,1.5x-prior,3x-prior,5x-prior,7x-prior,10x-prior,0.1x-post,0.2x-post,0.3x-post,0.4x-post,0.5x-post,1.5x-post,3x-post,5x-post,7x-post,10x-post
1.0,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC,vWHI,vWHI,vWHI,vWHI
2.0,vOSC,vOSC,vUNI,vUNI,vVIC,vQUE,vQUE,vQUE,vROM,vPAP,vROM,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vOSC,vALP,vALP,vALP
3.0,vVIC,vUNI,vOSC,vVIC,vUNI,vUNI,vROM,vROM,vSIE,vROM,vSIE,vALP,vZUL,vALP,vALP,vALP,vLIM,vALP,vOSC,vLIM,vLIM
4.0,vALP,vTAN,vQUE,vTAN,vTAN,vTAN,vSIE,vSIE,vVIC,vQUE,vTAN,vNOV,vNOV,vNOV,vNOV,vNOV,vALP,vLIM,vLIM,vNOV,vNOV
5.0,vLIM,vQUE,vTAN,vQUE,vSIE,vROM,vPAP,vTAN,vQUE,vSIE,vPAP,vZUL,vALP,vZUL,vLIM,vLIM,vQUE,vNOV,vNOV,vOSC,vOSC
6.0,vNOV,vSIE,vSIE,vOSC,vQUE,vSIE,vTAN,vUNI,vTAN,vTAN,vQUE,vKIL,vQUE,vQUE,vZUL,vQUE,vNOV,vQUE,vQUE,vPAP,vPAP
7.0,vQUE,vVIC,vVIC,vSIE,vROM,vVIC,vUNI,vPAP,vUNI,vVIC,vUNI,vUNI,vKIL,vLIM,vKIL,vZUL,vPAP,vPAP,vPAP,vQUE,vQUE
8.0,vKIL,vROM,vROM,vROM,vOSC,vOSC,vVIC,vVIC,vPAP,vUNI,vVIC,vQUE,vUNI,vKIL,vQUE,vKIL,vZUL,vROM,vROM,vKIL,vVIC
9.0,vZUL,vNOV,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vROM,vROM,vROM,vROM,vKIL,vZUL,vKIL,vZUL,vKIL
10.0,vROM,vALP,vPAP,vPAP,vPAP,vPAP,vOSC,vOSC,vOSC,vOSC,vOSC,vSIE,vSIE,vUNI,vSIE,vSIE,vROM,vKIL,vZUL,vROM,vZUL
11.0,vPAP,vKIL,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vTAN,vLIM,vSIE,vTAN,vVIC,vSIE,vSIE,vSIE,vVIC,vROM
12.0,vSIE,vLIM,vKIL,vALP,vKIL,vKIL,vZUL,vZUL,vZUL,vZUL,vZUL,vROM,vTAN,vVIC,vUNI,vTAN,vVIC,vTAN,vVIC,vSIE,vSIE
13.0,vTAN,vPAP,vALP,vKIL,vALP,vALP,vALP,vALP,vKIL,vALP,vKIL,vVIC,vVIC,vPAP,vPAP,vUNI,vMIK,vUNI,vUNI,vTAN,vMIK
14.0,vUNI,vZUL,vZUL,vZUL,vZUL,vZUL,vKIL,vKIL,vALP,vKIL,vALP,vMIK,vPAP,vTAN,vMIK,vMIK,vUNI,vVIC,vTAN,vMIK,vTAN
15.0,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vPAP,vMIK,vMIK,vVIC,vPAP,vTAN,vMIK,vMIK,vUNI,vUNI
,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN
