vYAN,gt,0.1x-prior,0.2x-prior,0.3x-prior,0.4x-prior,0.5x-prior,1.5x-prior,3x-prior,5x-prior,7x-prior,10x-prior,0.1x-post,0.2x-post,0.3x-post,0.4x-post,0.5x-post,1.5x-post,3x-post,5x-post,7x-post,10x-post
1.0,vVIC,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vOSC,vOSC,vLIM,vLIM,vLIM,vOSC,vLIM,vWHI,vWHI,vWHI
2.0,vWHI,vOSC,vQUE,vQUE,vVIC,vVIC,vVIC,vTAN,vTAN,vTAN,vTAN,vLIM,vLIM,vOSC,vOSC,vWHI,vLIM,vOSC,vVIC,vVIC,vVIC
3.0,vSIE,vQUE,vSIE,vSIE,vQUE,vSIE,vTAN,vVIC,vVIC,vVIC,vVIC,vWHI,vPAP,vNOV,vWHI,vOSC,vWHI,vWHI,vLIM,vLIM,vLIM
4.0,vLIM,vSIE,vOSC,vVIC,vSIE,vQUE,vUNI,vUNI,vUNI,vUNI,vUNI,vQUE,vWHI,vALP,vNOV,vALP,vNOV,vNOV,vOSC,vOSC,vOSC
5.0,vNOV,vROM,vROM,vROM,vROM,vUNI,vSIE,vSIE,vSIE,vSIE,vSIE,vROM,vNOV,vWHI,vALP,vNOV,vALP,vALP,vNOV,vSIE,vSIE
6.0,vALP,vPAP,vVIC,vOSC,vUNI,vROM,vQUE,vQUE,vQUE,vROM,vROM,vZUL,vALP,vPAP,vZUL,vZUL,vQUE,vVIC,vALP,vNOV,vNOV
7.0,vTAN,vLIM,vUNI,vUNI,vOSC,vOSC,vROM,vROM,vROM,vQUE,vQUE,vPAP,vROM,vQUE,vQUE,vQUE,vPAP,vPAP,vSIE,vALP,vALP
8.0,vOSC,vVIC,vLIM,vLIM,vLIM,vTAN,vPAP,vPAP,vPAP,vPAP,vPAP,vSIE,vUNI,vKIL,vKIL,vKIL,vZUL,vQUE,vQUE,vTAN,vTAN
9.0,vUNI,vUNI,vPAP,vPAP,vPAP,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vVIC,vKIL,vZUL,vPAP,vPAP,vROM,vKIL,vTAN,vQUE,vUNI
10.0,vKIL,vNOV,vNOV,vTAN,vTAN,vPAP,vOSC,vOSC,vOSC,vOSC,vOSC,vALP,vQUE,vUNI,vROM,vROM,vKIL,vZUL,vPAP,vUNI,vQUE
11.0,vZUL,vKIL,vTAN,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vUNI,vZUL,vROM,vMIK,vMIK,vSIE,vROM,vUNI,vPAP,vKIL
12.0,vQUE,vALP,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vNOV,vSIE,vMIK,vUNI,vSIE,vUNI,vSIE,vKIL,vKIL,vROM
13.0,vMIK,vTAN,vALP,vALP,vALP,vALP,vALP,vALP,vALP,vALP,vALP,vTAN,vVIC,vTAN,vTAN,vUNI,vTAN,vTAN,vROM,vROM,vPAP
14.0,vROM,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vKIL,vTAN,vVIC,vSIE,vTAN,vMIK,vUNI,vZUL,vZUL,vZUL
15.0,vPAP,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vSIE,vVIC,vVIC,vVIC,vMIK,vMIK,vMIK,vMIK
,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN
