vYAN,gt,0.1x-prior,0.2x-prior,0.3x-prior,0.4x-prior,0.5x-prior,1.5x-prior,3x-prior,5x-prior,7x-prior,10x-prior,0.1x-post,0.2x-post,0.3x-post,0.4x-post,0.5x-post,1.5x-post,3x-post,5x-post,7x-post,10x-post
1.0,vLIM,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vQUE,vKIL,vALP,vALP,vLIM,vLIM,vALP,vPAP,vLIM,vVIC
2.0,vWHI,vOSC,vOSC,vQUE,vQUE,vQUE,vTAN,vTAN,vTAN,vTAN,vTAN,vVIC,vNOV,vOSC,vLIM,vALP,vALP,vNOV,vLIM,vALP,vLIM
3.0,vALP,vQUE,vQUE,vROM,vSIE,vSIE,vROM,vROM,vUNI,vUNI,vUNI,vPAP,vOSC,vLIM,vNOV,vNOV,vNOV,vLIM,vOSC,vPAP,vPAP
4.0,vSIE,vUNI,vSIE,vSIE,vROM,vROM,vQUE,vSIE,vROM,vVIC,vVIC,vKIL,vVIC,vKIL,vOSC,vWHI,vWHI,vUNI,vSIE,vNOV,vUNI
5.0,vNOV,vSIE,vROM,vUNI,vVIC,vVIC,vSIE,vUNI,vVIC,vQUE,vSIE,vNOV,vPAP,vPAP,vWHI,vQUE,vQUE,vPAP,vTAN,vQUE,vWHI
6.0,vVIC,vROM,vUNI,vVIC,vOSC,vUNI,vUNI,vQUE,vSIE,vROM,vROM,vWHI,vLIM,vNOV,vQUE,vOSC,vOSC,vKIL,vWHI,vOSC,vTAN
7.0,vOSC,vNOV,vVIC,vOSC,vUNI,vOSC,vVIC,vVIC,vQUE,vSIE,vQUE,vOSC,vALP,vQUE,vVIC,vVIC,vKIL,vWHI,vQUE,vWHI,vALP
8.0,vKIL,vVIC,vLIM,vTAN,vTAN,vTAN,vLIM,vPAP,vPAP,vLIM,vLIM,vALP,vQUE,vUNI,vKIL,vUNI,vROM,vROM,vROM,vVIC,vSIE
9.0,vTAN,vPAP,vPAP,vLIM,vLIM,vLIM,vPAP,vLIM,vLIM,vPAP,vPAP,vTAN,vWHI,vROM,vSIE,vZUL,vZUL,vQUE,vUNI,vTAN,vQUE
10.0,vUNI,vTAN,vNOV,vPAP,vPAP,vPAP,vOSC,vOSC,vOSC,vOSC,vOSC,vZUL,vUNI,vSIE,vUNI,vROM,vVIC,vMIK,vALP,vZUL,vROM
11.0,vQUE,vLIM,vTAN,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vMIK,vTAN,vZUL,vZUL,vPAP,vMIK,vOSC,vKIL,vKIL,vNOV
12.0,vZUL,vALP,vKIL,vKIL,vKIL,vALP,vKIL,vALP,vALP,vALP,vKIL,vLIM,vROM,vWHI,vPAP,vMIK,vUNI,vSIE,vVIC,vUNI,vZUL
13.0,vROM,vKIL,vALP,vALP,vALP,vKIL,vALP,vKIL,vKIL,vKIL,vALP,vROM,vSIE,vMIK,vMIK,vKIL,vSIE,vVIC,vZUL,vROM,vOSC
14.0,vPAP,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vUNI,vMIK,vTAN,vTAN,vTAN,vTAN,vZUL,vNOV,vMIK,vMIK
15.0,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vSIE,vZUL,vVIC,vROM,vSIE,vPAP,vTAN,vMIK,vSIE,vKIL
,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN
