vYAN,gt,0.1x-prior,0.2x-prior,0.3x-prior,0.4x-prior,0.5x-prior,1.5x-prior,3x-prior,5x-prior,7x-prior,10x-prior,0.1x-post,0.2x-post,0.3x-post,0.4x-post,0.5x-post,1.5x-post,3x-post,5x-post,7x-post,10x-post
1.0,vLIM,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vROM,vROM,vROM,vROM,vROM,vROM,vROM,vROM,vROM,vROM
2.0,vWHI,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE
3.0,vALP,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN
4.0,vSIE,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN,vTAN,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI,vUNI
5.0,vNOV,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE,vSIE,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI
6.0,vVIC,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV
7.0,vOSC,vROM,vROM,vROM,vROM,vROM,vROM,vROM,vROM,vROM,vROM,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC
8.0,vKIL,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC,vOSC,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL
9.0,vTAN,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM
10.0,vUNI,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP,vPAP
11.0,vQUE,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE,vQUE
12.0,vZUL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vKIL,vALP,vALP,vALP,vALP,vALP,vALP,vALP,vALP,vALP,vALP
13.0,vROM,vALP,vALP,vALP,vALP,vALP,vALP,vALP,vALP,vALP,vALP,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC,vVIC
14.0,vPAP,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL
15.0,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK
,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN
