vYAN,gt,0.1x-prior,0.2x-prior,0.3x-prior,0.4x-prior,0.5x-prior,1.5x-prior,3x-prior,5x-prior,7x-prior,10x-prior,0.1x-post,0.2x-post,0.3x-post,0.4x-post,0.5x-post,1.5x-post,3x-post,5x-post,7x-post,10x-post
1.0,vLIM,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vWHI,vQUE,vSIE,vLIM,vVIC,vLIM,vLIM,vVIC,vVIC,vVIC,vTAN
2.0,vWHI,vOSC,vOSC,vQUE,vVIC,vQUE,vVIC,vTAN,vTAN,vROM,vTAN,vROM,vTAN,vOSC,vSIE,vWHI,vWHI,vUNI,vLIM,vUNI,vSIE
3.0,vALP,vQUE,vQUE,vROM,vQUE,vOSC,vUNI,vROM,vUNI,vQUE,vUNI,vKIL,vROM,vPAP,vUNI,vNOV,vNOV,vWHI,vWHI,vWHI,vWHI
4.0,vSIE,vSIE,vSIE,vSIE,vUNI,vROM,vTAN,vUNI,vROM,vTAN,vVIC,vALP,vUNI,vALP,vWHI,vSIE,vALP,vLIM,vUNI,vROM,vPAP
5.0,vNOV,vNOV,vUNI,vOSC,vSIE,vSIE,vROM,vSIE,vQUE,vUNI,vSIE,vSIE,vVIC,vNOV,vLIM,vKIL,vOSC,vTAN,vNOV,vLIM,vUNI
6.0,vVIC,vUNI,vROM,vUNI,vROM,vVIC,vSIE,vVIC,vVIC,vVIC,vROM,vOSC,vOSC,vROM,vTAN,vALP,vSIE,vNOV,vALP,vNOV,vLIM
7.0,vOSC,vROM,vVIC,vVIC,vTAN,vUNI,vQUE,vQUE,vSIE,vSIE,vQUE,vTAN,vPAP,vSIE,vALP,vOSC,vKIL,vALP,vKIL,vALP,vOSC
8.0,vKIL,vPAP,vTAN,vTAN,vOSC,vTAN,vLIM,vPAP,vPAP,vLIM,vLIM,vNOV,vLIM,vKIL,vNOV,vTAN,vPAP,vKIL,vSIE,vSIE,vVIC
9.0,vTAN,vVIC,vPAP,vPAP,vLIM,vLIM,vPAP,vLIM,vLIM,vPAP,vPAP,vPAP,vKIL,vVIC,vOSC,vUNI,vQUE,vOSC,vZUL,vKIL,vALP
10.0,vUNI,vLIM,vLIM,vLIM,vPAP,vPAP,vOSC,vOSC,vOSC,vOSC,vOSC,vUNI,vQUE,vWHI,vQUE,vPAP,vZUL,vSIE,vTAN,vTAN,vNOV
11.0,vQUE,vALP,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vNOV,vWHI,vNOV,vTAN,vROM,vZUL,vTAN,vZUL,vMIK,vZUL,vZUL
12.0,vZUL,vKIL,vKIL,vALP,vALP,vALP,vALP,vKIL,vALP,vALP,vKIL,vLIM,vWHI,vQUE,vPAP,vVIC,vROM,vQUE,vQUE,vMIK,vKIL
13.0,vROM,vTAN,vALP,vKIL,vKIL,vKIL,vKIL,vALP,vKIL,vKIL,vALP,vVIC,vALP,vZUL,vZUL,vQUE,vUNI,vMIK,vOSC,vQUE,vQUE
14.0,vPAP,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vZUL,vUNI,vKIL,vMIK,vVIC,vPAP,vROM,vOSC,vROM
15.0,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vMIK,vROM,vMIK,vROM,vPAP,vPAP,vMIK
,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN
