v19,gt,0.5x-pr,a05,b05,c05,d05,e05,f05,g05,h05,i05,j05,k05
1.0,v18,v18,v18,v18,v18,v1,v18,v1,v1,v1,v18,v1,v18
2.0,v1,v16,v14,v14,v14,v7,v14,v12,v7,v18,v1,v7,v17
3.0,v14,v17,v8,v8,v7,v12,v8,v7,v12,v14,v3,v12,v16
4.0,v7,v14,v12,v17,v4,v3,v5,v18,v3,v7,v7,v4,v4
5.0,v4,v8,v13,v1,v1,v4,v13,v3,v18,v3,v2,v3,v14
6.0,v5,v15,v4,v7,v5,v9,v1,v14,v9,v5,v8,v5,v5
7.0,v12,v13,v16,v16,v11,v11,v12,v8,v2,v8,v14,v11,v12
8.0,v3,v4,v15,v13,v12,v2,v4,v9,v11,v12,v17,v6,v1
9.0,v9,v5,v5,v5,v8,v18,v7,v4,v4,v4,v9,v14,v10
10.0,v8,v1,v9,v4,v9,v15,v17,v11,v14,v13,v13,v2,v11
11.0,v13,v7,v7,v11,v16,v10,v15,v17,v8,v11,v4,v16,v3
12.0,v11,v6,v17,v15,v13,v17,v10,v13,v6,v2,v5,v9,v6
13.0,v10,v11,v2,v9,v15,v6,v16,v10,v13,v9,v16,v18,v15
14.0,v15,v12,v1,v3,v10,v13,v3,v15,v5,v6,v11,v13,v2
15.0,v16,v9,v10,v6,v6,v16,v11,v5,v15,v10,v15,v8,v9
16.0,v6,v10,v3,v10,v3,v14,v6,v2,v16,v16,v6,v10,v7
17.0,v17,v3,v6,v12,v2,v8,v9,v16,v10,v17,v12,v17,v8
18.0,v2,v2,v11,v2,v17,v5,v2,v6,v17,v15,v10,v15,v13
,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19
