v19,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,v2,v15,v15,v2,v2,v2,v15,v2,v2,v2,v2,v2
2.0,v15,v2,v2,v15,v15,v15,v21,v7,v15,v7,v15,v7
3.0,v7,v21,v8,v7,v8,v7,v8,v15,v7,v15,v7,v15
4.0,v4,v8,v7,v8,v7,v21,v16,v4,v4,v4,v4,v4
5.0,v21,v7,v21,v21,v21,v8,v18,v21,v21,v21,v21,v21
6.0,v5,v4,v14,v4,v14,v4,v4,v5,v5,v5,v5,v16
7.0,v12,v14,v4,v14,v4,v13,v2,v8,v12,v12,v12,v12
8.0,v13,v18,v12,v12,v5,v14,v17,v16,v16,v16,v16,v5
9.0,v9,v12,v5,v5,v13,v5,v7,v9,v9,v9,v9,v13
10.0,v8,v9,v9,v13,v12,v12,v5,v13,v13,v13,v13,v9
11.0,v14,v13,v13,v9,v9,v9,v14,v12,v11,v11,v11,v11
12.0,v11,v17,v18,v11,v11,v10,v6,v14,v17,v10,v6,v10
13.0,v10,v5,v17,v18,v10,v16,v12,v10,v10,v6,v10,v6
14.0,v16,v6,v11,v17,v6,v11,v11,v11,v6,v18,v17,v17
15.0,v17,v11,v6,v10,v17,v17,v10,v6,v18,v17,v14,v14
16.0,v6,v10,v10,v16,v16,v18,v9,v17,v8,v14,v18,v8
17.0,v18,v16,v16,v6,v18,v6,v13,v18,v14,v8,v8,v18
18.0,v3,v3,v3,v3,v3,v3,v3,v3,v3,v3,v3,v3
,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19
