v19,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.5x,3x,5x,7x,10x
1.0,v18,v18,v14,v1,v1,v1,v1,v18,v18,v4,v4
2.0,v1,v14,v18,v18,v3,v18,v3,v15,v15,v1,v5
3.0,v14,v16,v2,v14,v2,v7,v2,v1,v1,v5,v1
4.0,v7,v1,v3,v7,v7,v3,v7,v2,v7,v6,v6
5.0,v4,v2,v15,v4,v4,v14,v5,v4,v12,v2,v7
6.0,v5,v7,v16,v15,v5,v4,v18,v16,v6,v14,v9
7.0,v12,v17,v4,v3,v12,v5,v4,v3,v5,v16,v2
8.0,v3,v15,v1,v12,v9,v12,v12,v9,v17,v9,v16
9.0,v9,v3,v5,v2,v18,v9,v9,v7,v2,v12,v14
10.0,v8,v12,v7,v5,v14,v11,v14,v5,v9,v18,v12
11.0,v13,v4,v12,v9,v11,v10,v11,v12,v3,v7,v18
12.0,v11,v9,v17,v8,v16,v2,v6,v14,v14,v8,v8
13.0,v10,v8,v8,v11,v10,v8,v10,v11,v4,v3,v11
14.0,v15,v5,v13,v10,v15,v15,v15,v17,v8,v13,v10
15.0,v16,v11,v9,v16,v13,v13,v13,v6,v16,v11,v13
16.0,v6,v6,v6,v6,v6,v6,v8,v10,v11,v10,v3
17.0,v17,v10,v11,v17,v8,v17,v17,v8,v13,v15,v15
18.0,v2,v13,v10,v13,v17,v16,v16,v13,v10,v17,v17
,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19
