v19,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.5x,3x,5x,7x,10x
1.0,v18,v18,v18,v16,v8,v17,v18,v18,v18,v5,v4
2.0,v1,v14,v16,v17,v13,v14,v5,v7,v5,v7,v9
3.0,v14,v8,v17,v18,v18,v18,v7,v15,v4,v6,v11
4.0,v7,v4,v14,v14,v16,v16,v4,v5,v16,v9,v12
5.0,v4,v7,v15,v4,v7,v15,v8,v4,v9,v10,v6
6.0,v5,v6,v4,v3,v4,v4,v1,v14,v7,v18,v1
7.0,v12,v17,v10,v15,v9,v3,v15,v16,v6,v4,v7
8.0,v3,v13,v11,v1,v17,v12,v13,v10,v14,v8,v2
9.0,v9,v9,v5,v12,v1,v8,v12,v17,v8,v14,v8
10.0,v8,v15,v12,v9,v5,v2,v6,v6,v10,v13,v18
11.0,v13,v16,v1,v2,v15,v1,v10,v9,v13,v17,v14
12.0,v11,v12,v7,v11,v3,v9,v17,v11,v17,v15,v15
13.0,v10,v5,v8,v10,v2,v11,v11,v2,v15,v1,v13
14.0,v15,v11,v6,v7,v14,v7,v9,v3,v1,v11,v5
15.0,v16,v1,v2,v8,v12,v10,v3,v12,v12,v12,v10
16.0,v6,v10,v3,v13,v10,v13,v2,v8,v11,v3,v3
17.0,v17,v3,v13,v5,v6,v6,v14,v1,v2,v16,v16
18.0,v2,v2,v9,v6,v11,v5,v16,v13,v3,v2,v17
,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19
