v19,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.5x,3x,5x,7x,10x
1.0,v18,v18,v1,v18,v18,v18,v3,v18,v5,v5,v5
2.0,v1,v14,v18,v14,v1,v1,v2,v15,v4,v4,v7
3.0,v7,v16,v14,v1,v14,v14,v1,v1,v1,v9,v4
4.0,v14,v17,v2,v8,v2,v3,v18,v2,v6,v7,v9
5.0,v5,v1,v7,v15,v7,v7,v7,v5,v9,v1,v1
6.0,v4,v8,v3,v3,v8,v8,v14,v3,v7,v6,v6
7.0,v9,v15,v5,v13,v5,v2,v9,v4,v2,v2,v14
8.0,v3,v13,v4,v7,v4,v13,v8,v16,v14,v14,v2
9.0,v8,v7,v15,v9,v9,v9,v6,v7,v18,v16,v15
10.0,v10,v9,v8,v2,v13,v4,v10,v14,v16,v8,v12
11.0,v12,v3,v12,v17,v15,v5,v13,v12,v3,v18,v10
12.0,v13,v2,v16,v6,v6,v6,v12,v17,v8,v3,v8
13.0,v15,v6,v9,v16,v12,v15,v11,v11,v13,v15,v13
14.0,v6,v12,v13,v4,v10,v11,v5,v10,v10,v13,v3
15.0,v16,v10,v11,v10,v16,v10,v15,v8,v15,v10,v18
16.0,v11,v11,v6,v12,v11,v12,v17,v13,v11,v11,v16
17.0,v17,v4,v10,v11,v3,v17,v4,v6,v12,v12,v17
18.0,v2,v5,v17,v5,v17,v16,v16,v9,v17,v17,v11
,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19
