v19,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.5x,3x,5x,7x,10x
1.0,v18,v18,v18,v18,v18,v18,v18,v5,v5,v18,v5
2.0,v1,v17,v14,v16,v12,v14,v15,v7,v4,v5,v18
3.0,v7,v14,v16,v15,v14,v4,v5,v4,v7,v7,v4
4.0,v14,v16,v8,v14,v11,v15,v7,v6,v9,v4,v7
5.0,v5,v8,v17,v3,v16,v12,v8,v12,v6,v14,v9
6.0,v4,v4,v3,v7,v4,v16,v4,v11,v10,v9,v15
7.0,v9,v13,v13,v4,v7,v5,v11,v8,v8,v10,v6
8.0,v3,v1,v2,v17,v5,v6,v13,v15,v18,v15,v14
9.0,v8,v5,v1,v1,v8,v7,v1,v13,v13,v16,v10
10.0,v10,v9,v12,v2,v3,v11,v6,v1,v15,v1,v17
11.0,v12,v7,v15,v9,v15,v1,v10,v16,v12,v6,v16
12.0,v13,v6,v7,v8,v2,v17,v17,v2,v11,v2,v11
13.0,v15,v11,v4,v13,v17,v8,v14,v10,v1,v12,v12
14.0,v6,v12,v11,v11,v1,v10,v16,v9,v14,v11,v13
15.0,v16,v15,v5,v12,v9,v3,v12,v3,v16,v8,v8
16.0,v11,v2,v9,v10,v10,v9,v2,v14,v2,v17,v2
17.0,v17,v3,v10,v5,v6,v2,v9,v18,v17,v3,v1
18.0,v2,v10,v6,v6,v13,v13,v3,v17,v3,v13,v3
,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19
