v_ACE_OUT,gt,0.5x-pr,1.5x-pr,0.5x-post,1.5x-post
1.0,vACS,vATP_MAINTENANCE,vXCH_ACE2,vXCH_ACE1,vXCH_ACE2
2.0,vGLT,vXCH_ACE1,vCYTBO,vXCH_ACE2,vXCH_ACE1
3.0,vACK,vXCH_P,vXCH_ACE1,vGDH,vACS
4.0,vGLC_feed,vPIT,vPGK,vCYTBO,vACK
5.0,vATP_MAINTENANCE,vNDHII,vGDH,vGLT,vPTA
6.0,vATP_syn,vADK,vATP_syn,vMQO,vATP_syn
7.0,vPTA,vXCH_ACE2,vGPM,vMDH,vADK
8.0,vNADH_req,vPNT_req,vENO,vATP_MAINTENANCE,vPFK
9.0,vGROWTH,vACK,vPNT_req,vNDHII,vATP_MAINTENANCE
10.0,vNDHII,vPTA,vACS,vACS,vPIT
11.0,vDOS,vACN_1,vSK,vICD,vGLT
12.0,vCYA,vACN_2,vFUMA,vACEA,vPDH
13.0,vPIT,vACEA,vSQR,vACK,vPGI
14.0,vPYK,vGLT,vSDH,vPDH,vACN_1
15.0,vPCK,vSDH,vADK,vACN_1,vPGK
16.0,vLPD,vFUMA,vACK,vSDH,vGDH
17.0,vZWF,vACS,vPDH,vATP_syn,vXCH_P
18.0,vMQO,vCYTBO,vACN_1,vACN_2,vFBA
19.0,vGDH,vSQR,vLPD,vPYK,vCYA
20.0,vMDH,vMQO,vPTA,vGROWTH,vPNT_req
21.0,vEDD,vZWF,vACN_2,vACEK_1,vGPM
22.0,vGND,vMDH,vGLT,vACEK_2,vPCK
23.0,vCYTBO,vACEB,vPGI,vLPD,vSK
24.0,vACEA,vATP_syn,vGLC_feed,vFBA,vENO
25.0,vS7P_E4P_TAL,vCYA,vTPI,vSK,vACN_2
26.0,vMAD,vNADH_req,vICD,vZWF,vF6P_E4P_TKT
27.0,vPDH,vPPC,vXCH_GLC,vSQR,vPPC
28.0,vSDH,vGND,vFBA,vXCH_GLC,vDOS
29.0,vPPC,vENO,vPTS_1,vPTA,vX5P_GAP_TKT
30.0,vICD,vGPM,vPTS_4,vPPC,vPGL
31.0,vACEK_1,vPGL,vPTS_3,vPCK,vPTS_4
32.0,vACEK_2,vPGI,vPFK,vRPI,vS7P_R5P_TKT
33.0,vPGI,vPDH,vPTS_2,vTPI,vPTS_3
34.0,vADK,vTPI,vPTS_0,vS7P_E4P_TAL,vTPI
35.0,vEDA,vFBA,vATP_MAINTENANCE,vPNT_req,vLPD
36.0,vACEB,vGROWTH,vMQO,vPFK,vGND
37.0,vRPI,vPFK,vMDH,vNADH_req,vACEA
38.0,vFBA,vRPE,vPIT,vXCH_P,vPYK
39.0,vENO,vGDH,vXCH_P,vACEB,vCYTBO
40.0,vSQR,vX5P_GAP_TKT,vGND,vPIT,vF6P_GAP_TAL
41.0,vPNT_req,vLPD,vRPE,vPTS_4,vSDH
42.0,vX5P_GAP_TKT,vF6P_GAP_TAL,vPGL,vPGL,vMAD
43.0,vXCH_ACE2,vEDD,vCYA,vEDD,vPTS_2
44.0,vXCH_ACE1,vSK,vPCK,vPGK,vACEK_1
45.0,vF6P_GAP_TAL,vPGK,vX5P_GAP_TKT,vS7P_R5P_TKT,vXCH_GLC
46.0,vF6P_E4P_TKT,vPTS_4,vZWF,vF6P_GAP_TAL,vACEK_2
47.0,vPTS_1,vS7P_E4P_TAL,vPPC,vENO,vPTS_0
48.0,vRPE,vDOS,vEDA,vRPE,vSQR
49.0,vPFK,vMAD,vPYK,vPGI,vNADH_req
50.0,vGPM,vPTS_2,vNADH_req,vGND,vS7P_E4P_TAL
51.0,vACN_1,vF6P_E4P_TKT,vF6P_E4P_TKT,vFUMA,vEDD
52.0,vACN_2,vGLC_feed,vEDD,vGPM,vACEB
53.0,vTPI,vXCH_GLC,vDOS,vF6P_E4P_TKT,vNDHII
54.0,vS7P_R5P_TKT,vPTS_3,vGROWTH,vGLC_feed,vZWF
55.0,vFBP,vPTS_1,vS7P_R5P_TKT,vADK,vGROWTH
56.0,vPGL,vEDA,vNDHII,vMAD,vRPI
57.0,vPTS_2,vPCK,vACEA,vPTS_2,vEDA
58.0,vFUMA,vRPI,vS7P_E4P_TAL,vPTS_3,vGLC_feed
59.0,vPTS_0,vS7P_R5P_TKT,vRPI,vEDA,vICD
60.0,vSK,vPTS_0,vMAD,vCYA,vFUMA
61.0,vXCH_P,vPYK,vACEK_1,vX5P_GAP_TKT,vRPE
62.0,vPGK,vICD,vACEK_2,vDOS,vMQO
63.0,vPPS,vACEK_1,vACEB,vPTS_1,vMDH
64.0,vGL6P_HYDROLYSIS,vACEK_2,vF6P_GAP_TAL,vPTS_0,vPTS_1
65.0,vPTS_4,vPPS,vPPS,vPPS,vPPS
66.0,vPTS_3,vFBP,vFBP,vFBP,vFBP
67.0,vXCH_GLC,vGL6P_HYDROLYSIS,vGL6P_HYDROLYSIS,vGL6P_HYDROLYSIS,vGL6P_HYDROLYSIS
,v_ACE_OUT,v_ACE_OUT,v_ACE_OUT,v_ACE_OUT,v_ACE_OUT
