,r,p-value,lower,upper
0.1x-prior,0.1929824561403509,0.4429441508248102,-0.41425634629779456,0.6374307682175903
0.2x-prior,0.15170278637770898,0.5479006675946312,-0.4208187065174676,0.6434919729753215
0.3x-prior,0.13725490196078433,0.5870615369663568,-0.4388780614961397,0.6549181256728426
0.4x-prior,0.11867905056759545,0.6390493358496443,-0.48082058243933473,0.6374039494063848
0.5x-prior,0.1001031991744066,0.6926899392518374,-0.5445090504601072,0.6081153968633068
1.5x-prior,0.09597523219814243,0.7048123642968973,-0.5272154983348225,0.5916762107329843
3x-prior,0.08565531475748193,0.7354104124232369,-0.4751407068062828,0.6134241796886077
5x-prior,0.0196078431372549,0.9384456264028496,-0.5478806593504244,0.6089411187307904
7x-prior,0.05675954592363261,0.8229893024799763,-0.5055363175675676,0.6740503267183356
10x-prior,0.05675954592363261,0.8229893024799763,-0.5120331150704983,0.6188443365484879
0.1x-post,0.6491228070175438,0.003558373943300945,0.23884831304903792,0.9083236020697163
0.2x-post,0.4489164086687306,0.061657362626140765,-0.05729652676852657,0.7726917021394337
0.3x-post,0.5541795665634675,0.017009913077973247,0.10891936907676676,0.8088475538104383
0.4x-post,0.5376676986584108,0.021371414657806453,0.04504528635334402,0.8324868837543791
0.5x-post,0.6718266253869969,0.0022613045197175117,0.2666666666666667,0.8644084391143347
1.5x-post,0.6119711042311662,0.006950274712161289,0.1931279178338002,0.8549160975481255
3x-post,0.4303405572755417,0.07464277608599114,-0.11454316251580673,0.8229458442408377
5x-post,0.5356037151702786,0.021973121639608087,-0.008420502092050208,0.8402636809975887
7x-post,0.45510835913312697,0.05772857159967152,-0.07224108295355759,0.7962657065980965
10x-post,0.5067079463364293,0.031873132260511465,-0.044986787900671274,0.8556635001360257
