,r,p-value,lower,upper
0.1x,0.28928571428571426,0.29566536100437785,-0.29375000000000007,0.8682582815734986
0.2x,0.2964285714285714,0.28335542843426287,-0.31523109243697467,0.7372698851438384
0.3x,0.15,0.5936302027425882,-0.49463636363636365,0.6885102995518516
0.4x,-0.17857142857142855,0.5242843600465525,-0.806250891681072,0.440141304347826
0.5x,0.33571428571428563,0.22121153763932594,-0.28003971119133575,0.7763044721942749
1.01x,0.38214285714285706,0.1598236299869673,-0.18798009776536312,0.775473673713602
1.5x,0.2678571428571428,0.3344436005123538,-0.2991826370735443,0.7174565217391305
3x,0.0964285714285714,0.7324528633867308,-0.5546006672922531,0.6800036764705882
5x,0.7499999999999999,0.001280898450935536,0.3284076483655982,0.9632403349822561
7x,0.3428571428571428,0.21092379341475206,-0.23180770934869294,0.789926877470356
10x,0.11785714285714284,0.6757115292213043,-0.38183155080213915,0.5949099449260848
