,r,p-value,lower,upper
0.1x-prior,0.37499999999999994,0.16843274984674558,-0.2717722204395958,0.8275387015078074
0.2x-prior,0.2607142857142857,0.34797945986279355,-0.5029921028106146,0.768890953431657
0.3x-prior,0.3107142857142856,0.2596673973372179,-0.4035262206148282,0.796210436862024
0.4x-prior,0.09285714285714285,0.742045009907367,-0.5253885523085453,0.6664576953320699
0.5x-prior,0.2071428571428571,0.4588428049634704,-0.5055939171122996,0.7528292360996535
1.5x-prior,0.024999999999999998,0.9295289708192378,-0.6124810184956437,0.5904995041723725
3x-prior,0.04642857142857142,0.8694915255450946,-0.6460812537879785,0.603797360079164
5x-prior,0.035714285714285705,0.8994469934720875,-0.5839047773805657,0.6087133422438872
7x-prior,-0.06428571428571428,0.8199479653196377,-0.7179927667269438,0.5226341169379143
10x-prior,-0.035714285714285705,0.8994469934720875,-0.6916651871432704,0.5578995028105723
0.1x-post,0.6107142857142855,0.01559283142117561,0.0958345521753005,0.9130434782608698
0.2x-post,0.682142857142857,0.0050863264689772515,0.2050205691800151,0.9389710264195918
0.3x-post,0.807142857142857,0.0002752442706954192,0.4023126642091488,0.9781828081174726
0.4x-post,0.8107142857142855,0.0002460079779722063,0.41571228486007483,0.9745454545454548
0.5x-post,0.8107142857142855,0.0002460079779722063,0.4786213385289172,0.9781818181818184
1.5x-post,0.7678571428571428,0.0008293296291369939,0.2645507938878105,0.9890320776016224
3x-post,0.807142857142857,0.0002752442706954192,0.3738209456724152,1.0
5x-post,0.8392857142857142,9.136935846519936e-05,0.4602685813056773,0.9999999999999998
7x-post,0.825,0.00015323557090564586,0.4474875022112732,0.9891510678852452
10x-post,0.8642857142857141,3.243373143346797e-05,0.6158302230479585,0.9891896752867976
