,r,p-value,lower,upper
0.1x,0.42857142857142855,0.11096021426087677,-0.06462197816915555,0.7563883689839573
0.2x,0.6714285714285713,0.0061277667888201,0.1869298578010012,0.8996559288213427
0.3x,0.7428571428571428,0.00150948887823503,0.35253378267302315,0.9086047864384245
0.4x,0.8857142857142855,1.1199821851208484e-05,0.6267434941288481,0.9854027869940277
0.5x,0.932142857142857,4.2412182315433434e-07,0.7267131750241079,0.9809352543131169
1.01x,0.08928571428571427,0.751672517350277,-0.600036563071298,0.6882301782391373
1.5x,0.9749999999999999,7.14370596522927e-10,0.8793363400767423,1.0
3x,0.9714285714285713,1.6870764886091287e-09,0.8348547962763087,1.0
5x,0.9571428571428571,2.2736751556259742e-08,0.7792043399638338,1.0
7x,0.9214285714285713,1.0713172981620745e-06,0.6908667109855411,0.9926883829150742
10x,0.9035714285714285,3.880504128799775e-06,0.6527076838649746,0.9853231098908457
