,r,p-value,lower,upper
0.1x,0.6749999999999999,0.00576349921805083,0.24671179406097146,0.89157701791879
0.2x,0.6142857142857142,0.014833955405976968,0.13883288816629893,0.9072861284424673
0.3x,0.7357142857142855,0.0017698686421442707,0.2499200182815357,0.9674502712477397
0.4x,0.5964285714285712,0.018931924687865174,0.1348301512521696,0.8870776432318784
0.5x,0.657142857142857,0.007770251358668445,0.17423464149693663,0.9240540602294018
1.01x,0.2642857142857143,0.3411737579900821,-0.316634692513369,0.717158369495339
1.5x,0.5249999999999999,0.04448390580010643,-0.02878219163799395,0.8706779441311814
3x,0.5785714285714285,0.02384665876299661,-0.02459738588649599,0.9167316513761469
5x,0.6392857142857141,0.010288446619594207,0.14337568058076222,0.9565570704131685
7x,0.7214285714285712,0.002398868072673344,0.257909090909091,0.9635036496350364
10x,0.8714285714285712,2.3236477821632676e-05,0.5417691040843216,0.9891701629427262
