,r,p-value,lower,upper
0.1x,0.25,0.36884629178393047,-0.2790880754475704,0.6963020387383425
0.2x,0.22499999999999998,0.420104686907635,-0.3592950478731754,0.6557712215320908
0.3x,0.2785714285714285,0.3147094732307908,-0.36383158302085705,0.786618444846293
0.4x,0.6214285714285712,0.013402006712181799,0.022203416275472832,0.907118014559537
0.5x,0.7964285714285713,0.00038046767853463354,0.32090596949036154,0.9781818181818184
1.01x,0.12142857142857141,0.6664011137233894,-0.5671618015012511,0.6848252056404232
1.5x,0.9357142857142854,3.010645621400815e-07,0.7335585259163614,0.9783403258854524
3x,0.010714285714285713,0.9697698761545686,-0.5503558429579593,0.5699292963849923
5x,0.4035714285714285,0.13576799650365623,-0.07119923201890413,0.7726935419173685
7x,0.1964285714285714,0.4828987562716336,-0.36393173613390223,0.7431544230898011
10x,0.13928571428571426,0.6205460876279014,-0.4854248933030194,0.6654718137254902
