,r,p-value,lower,upper
0.1x-prior,0.2714285714285714,0.3277893068411728,-0.41649340993578915,0.7677473266395957
0.2x-prior,0.2321428571428571,0.40509874069364893,-0.42760150255754487,0.7132484484619537
0.3x-prior,0.10357142857142855,0.7133796306287292,-0.6182848266841073,0.6727272727272728
0.4x-prior,0.0964285714285714,0.7324528633867308,-0.5994827252588877,0.706676375210185
0.5x-prior,0.08928571428571427,0.751672517350277,-0.5732442027443889,0.7001828153564901
1.5x-prior,0.05357142857142857,0.8496099367776072,-0.6581215366581417,0.6456121979286535
3x-prior,0.075,0.7905107941552678,-0.6343457622454597,0.68
5x-prior,0.11428571428571425,0.6850657626568972,-0.6322049984182221,0.6863831654809198
7x-prior,0.09999999999999999,0.7228973252791182,-0.6364129541344733,0.7106690777576853
10x-prior,0.13214285714285715,0.6387442188840665,-0.5271361377088706,0.6623553077357425
0.1x-post,-0.10714285714285714,0.7039010016261615,-0.812989535644212,0.5537115334755986
0.2x-post,0.35357142857142854,0.1960716784341988,-0.269696123190442,0.8688524590163933
0.3x-post,-0.08214285714285713,0.7710285652881772,-0.6873483717774763,0.5000905797101447
0.4x-post,0.4964285714285714,0.05979741374992401,-0.14786689015305432,0.8791805591177223
0.5x-post,0.8178571428571428,0.0001951365470631984,0.4878980783305816,0.9488140354154714
1.5x-post,0.907142857142857,3.0633105354938657e-06,0.6783524538562513,0.9961615954022818
3x-post,0.9607142857142855,1.3027489790343411e-08,0.8014609483033721,0.9999999999999998
5x-post,0.95,6.08625795805396e-08,0.8029454998124212,0.9891701629427262
7x-post,0.8428571428571429,7.967195252724858e-05,0.5127072560467056,0.9856217728364522
10x-post,0.42857142857142855,0.11096021426087677,-0.11424623922216105,0.8029906002205534
