,r,p-value,lower,upper
0.1x-prior,0.33571428571428563,0.22121153763932594,-0.37937304075235107,0.8282061833415408
0.2x-prior,0.2714285714285714,0.3277893068411728,-0.44211956521739143,0.7626100199095757
0.3x-prior,0.2178571428571428,0.43539267351553756,-0.4931046049806784,0.7301488825407495
0.4x-prior,0.22142857142857136,0.42771371901637,-0.45859851641511573,0.7469145569620252
0.5x-prior,0.1928571428571428,0.4910487016052232,-0.48069060902995914,0.7362686952037131
1.5x-prior,0.08214285714285713,0.7710285652881772,-0.5871024285154721,0.6657125351879449
3x-prior,0.0857142857142857,0.7613341261907667,-0.7206147288499641,0.6460175846051758
5x-prior,0.0857142857142857,0.7613341261907667,-0.7098881671330578,0.680032967032967
7x-prior,0.07142857142857141,0.8002959873970544,-0.7621774511738014,0.6672847837277754
10x-prior,0.07857142857142857,0.7807545523090464,-0.5742277395418862,0.6557971014492755
0.1x-post,0.3214285714285714,0.2427190468016684,-0.3150749063670412,0.7210271051183271
0.2x-post,-0.05357142857142857,0.8496099367776072,-0.519212640441111,0.4162538487854943
0.3x-post,0.25,0.36884629178393047,-0.35919593345656187,0.6849915633338565
0.4x-post,0.6607142857142856,0.007330569830891703,0.18246974544442898,0.9203006267136705
0.5x-post,0.6428571428571428,0.009739944695595262,0.25221188747731405,0.8763592769447568
1.5x-post,0.7928571428571427,0.0004220771851923507,0.39453985631200816,0.9851368952324099
3x-post,0.2928571428571428,0.289471667212401,-0.260239211249394,0.7532335037821081
5x-post,0.17857142857142855,0.5242843600465525,-0.40333843371818057,0.6612881712881712
7x-post,0.4464285714285714,0.09529321315352625,-0.03261153618190635,0.8479166666666668
10x-post,0.25,0.36884629178393047,-0.36745454545454553,0.8159383124796881
