,r,p-value,lower,upper
0.1x,0.6035714285714285,0.01720013806879533,0.05812871938188395,0.9061859603949883
0.2x,0.5857142857142856,0.021776517619042774,0.0017174064682916237,0.9007489044520918
0.3x,0.7642857142857141,0.0009073101116849778,0.3269354656419529,0.9744525547445254
0.4x,0.6785714285714285,0.005416550219591705,0.1222825708285086,0.9820296645077459
0.5x,0.8214285714285712,0.0001731477175071704,0.4791727608765025,0.9963302752293576
1.01x,0.07857142857142857,0.7807545523090464,-0.6739471362104926,0.6638197245792181
1.5x,0.7892857142857141,0.0004673267561781759,0.33183219296426847,0.9669132825148409
3x,0.7285714285714285,0.0020652097446907914,0.10869565217391307,0.9999999999999998
5x,0.7964285714285713,0.00038046767853463354,0.33083100443859936,0.9963238660848956
7x,0.7999999999999999,0.00034226983303569167,0.3840153452685423,0.9963436928702011
10x,0.8571428571428571,4.446004447004746e-05,0.532581766549158,0.9889913297711461
