,r,p-value,lower,upper
0.1x,0.010714285714285713,0.9697698761545686,-0.5642792792792791,0.6255116124751161
0.2x,0.1464285714285714,0.602549920983054,-0.40533655559066134,0.6952068766523963
0.3x,0.23571428571428568,0.39770294590327293,-0.36629153743907844,0.71395365282043
0.4x,0.08928571428571427,0.751672517350277,-0.48824954135666526,0.7374174430947045
0.5x,0.36428571428571427,0.18191025904581395,-0.24852595662676039,0.7993390783115745
1.01x,0.22499999999999998,0.420104686907635,-0.44328278003343685,0.8303773516666337
1.5x,0.15714285714285714,0.5759526006037947,-0.47846044464067744,0.6523085451809614
3x,-0.0964285714285714,0.7324528633867308,-0.6321248233678198,0.43644007890843334
5x,0.4678571428571427,0.0786302311543806,-0.1993594838778052,0.8913748556343835
7x,-0.15714285714285714,0.5759526006037947,-0.6390919393681826,0.4697150334399534
10x,0.25357142857142856,0.3618161038158896,-0.41666666666666674,0.8041466980339439
