,r,p-value,lower,upper
0.1x,0.20357142857142854,0.46679507248911234,-0.3249312110772415,0.6351858030889516
0.2x,0.23928571428571427,0.3903793119202358,-0.29093725639970225,0.6570600786489977
0.3x,0.2178571428571428,0.43539267351553756,-0.31149555558421127,0.644019397372418
0.4x,0.5714285714285713,0.02606319337636288,0.10563967684770519,0.8315833881048096
0.5x,0.8464285714285712,6.923823609737207e-05,0.6042504559542052,0.9454459811377784
1.01x,0.05714285714285713,0.8396998687415758,-0.4513553000874727,0.53762666675071
1.5x,0.7964285714285713,0.00038046767853463354,0.49688640405098383,0.9263991533724151
3x,0.33928571428571425,0.2160289253419548,-0.18805596098862112,0.7147808134317605
5x,0.1607142857142857,0.5671967045803448,-0.36399758892312745,0.6079897389229924
7x,0.4892857142857142,0.06416038631454055,-0.008485192882098409,0.7927265425520185
10x,0.21071428571428572,0.450957865215285,-0.31823994424458646,0.6396167601917772
