,r,p-value,lower,upper
0.1x,0.6249999999999999,0.012727453511233668,0.1873239401391933,0.855623216962882
0.2x,0.5142857142857142,0.04983923347142065,0.024927927103728976,0.8048194753024169
0.3x,0.6392857142857141,0.010288446619594207,0.21017904042796307,0.8618700913675221
0.4x,0.6321428571428571,0.011457541540078888,0.19869256155903,0.8587550749138081
0.5x,0.6249999999999999,0.012727453511233668,0.1873239401391933,0.855623216962882
1.01x,0.38928571428571423,0.15151193679039388,-0.13187572828838207,0.7418423416016037
1.5x,0.5464285714285714,0.035066660216709886,0.06955662717504352,0.8200209811808654
3x,0.6464285714285712,0.009214550689979985,0.22178521902128923,0.864968401806917
5x,0.6357142857142856,0.0108607461687898,0.20442095456309067,0.8603146798259388
7x,0.7714285714285712,0.0007568751073803471,0.4464359813207298,0.9166196167336529
10x,0.8964285714285712,6.066143021729969e-06,0.7211931580733906,0.9638391156066737
