,r,p-value,lower,upper
0.1x,0.41589267285861714,0.08605648033750418,-0.0808369815094641,0.7212481023639122
0.2x,0.3519091847265222,0.152106939189977,-0.1450324714988154,0.6982985986170946
0.3x,0.5541795665634675,0.017009913077973247,0.16464313332033553,0.818409699526719
0.4x,0.4757481940144479,0.0459785720312123,-0.01172761915281382,0.8069305580303621
0.5x,0.3663570691434469,0.13483747906980872,-0.15408904545816415,0.8735381647747636
1.01x,0.08565531475748193,0.7354104124232369,-0.449972116567049,0.5507894555059587
1.5x,0.3312693498452013,0.17932214439926797,-0.1659478418912381,0.7468882932357045
3x,0.3684210526315789,0.13248715636055652,-0.12596511527618007,0.7334554973821988
5x,0.479876160990712,0.04386464036882083,-0.018063254559604905,0.8134463443396226
7x,0.4055727554179567,0.0949534247922293,-0.09966230665443832,0.7914907770306713
10x,0.4324045407636739,0.0731081920707255,-0.03758130877742947,0.8153258946028883
