,r,p-value,lower,upper
0.1x,0.9029927760577915,2.8975155060171095e-07,0.7028976653422877,0.974683489198113
0.2x,0.9504643962848297,1.5597650189845142e-09,0.8056324574504753,0.9957767999902493
0.3x,0.9401444788441692,6.859458095524686e-09,0.7900151160463412,0.9916063336260897
0.4x,0.9401444788441692,6.859458095524686e-09,0.7916612356621481,0.9854018400243308
0.5x,0.9401444788441692,6.859458095524686e-09,0.7717768382960587,0.9875389408099688
1.01x,0.15376676986584106,0.5424031647570589,-0.40837004692387907,0.5970867538303669
1.5x,0.9752321981424149,6.588737187082592e-12,0.8751235624170599,0.9979144942648592
3x,0.9174406604747163,8.355803529821193e-08,0.6624831431535271,0.9937568278111132
5x,0.8802889576883385,1.4473368008429358e-06,0.6032149439645006,0.9895735541413964
7x,0.8431372549019607,1.1129003812786908e-05,0.5555322128851541,0.9791024480176257
10x,0.7894736842105263,9.781072774060512e-05,0.40010942213284434,0.9606150158343058
